hypothesis,label,outcome,mean_diff,hl_median_diff,perm_p,wilcoxon_p,p_holm,deterministic,mean_vs_median_direction_agree,robustness
H8,H8 N=100 mu=0.5: vs baseline mu=2.0 (template_generations),template_generations,22.266666666666666,22.0,9.999000099990002e-05,1.6752383396794872e-06,0.0015998400159984002,False,True,stable
H8,H8 N=100 mu=0.5: vs baseline mu=2.0 (effective_block_interval_s),effective_block_interval_s,39.31498784439961,32.05128205128199,0.3575642435756424,0.4754442113748394,0.7685231476852316,False,True,stable
H8,H8 N=500 mu=1.0: vs baseline mu=2.0 (exhausted_rounds),exhausted_rounds,7.133333333333334,7.0,9.999000099990002e-05,1.6416009966164372e-06,0.0015998400159984002,False,True,stable
H8,H8 N=500 mu=1.0: vs baseline mu=2.0 (coord_template_refresh_count),coord_template_refresh_count,7.133333333333334,7.0,9.999000099990002e-05,1.6416009966164372e-06,0.0015998400159984002,False,True,stable
H8,H8 N=500 mu=1.0: vs baseline mu=2.0 (template_generations),template_generations,6.366666666666666,6.5,9.999000099990002e-05,1.8454744786905325e-06,0.0015998400159984002,False,True,stable
H8,H8 N=500 mu=1.0: vs baseline mu=2.0 (effective_block_interval_s),effective_block_interval_s,33.566497565689914,27.31092436974788,0.25617438256174385,0.2918561106111549,0.7685231476852316,False,True,stable
H8,H8 N=500 mu=0.5: vs baseline mu=2.0 (exhausted_rounds),exhausted_rounds,23.1,23.0,9.999000099990002e-05,1.5820715270325305e-06,0.0015998400159984002,False,True,stable
H8,H8 N=500 mu=0.5: vs baseline mu=2.0 (coord_template_refresh_count),coord_template_refresh_count,23.1,23.0,9.999000099990002e-05,1.5820715270325305e-06,0.0015998400159984002,False,True,stable
H8,H8 N=500 mu=0.5: vs baseline mu=2.0 (template_generations),template_generations,21.933333333333334,22.0,9.999000099990002e-05,1.6805458207281375e-06,0.0015998400159984002,False,True,stable
H8,H8 N=500 mu=0.5: vs baseline mu=2.0 (effective_block_interval_s),effective_block_interval_s,50.113351411305366,43.6507936507937,0.15658434156584342,0.1753935456315695,0.6263373662633737,False,True,stable
