hypothesis,label,family,outcome,direction_expected,n_pairs,n_dropped_na,ref_mean,trt_mean,mean_diff,median_diff_hl,sd_diff,dz,rel_change_vs_a,boot_ci_lo,boot_ci_hi,perm_p,p_holm,wilcoxon_p,perm_deterministic,direction_met
H6,H6 N=100 inact=0.3: vs baseline (accepted_blocks),H6_inactive,accepted_blocks,<,30,0,17.166666666666668,13.066666666666666,-4.1,-4.0,2.643795599590444,-1.550800674846096,-0.23883495145631065,-5.033333333333333,-3.2,9.999000099990002e-05,0.0023997600239976003,2.3968694110205443e-06,False,True
H6,H6 N=100 inact=0.3: vs baseline (total_energy_kwh),H6_inactive,total_energy_kwh,<,30,0,8.420833333333329,5.894583333333335,-2.5262499999999997,-2.526249999999999,4.516810283266961e-16,-5592995591067397.0,-0.3000000000000001,-2.526249999999999,-2.526249999999999,,,4.320463057827488e-08,True,True
H6,H6 N=100 inact=0.3: vs baseline (energy_per_accepted_block_kwh),H6_inactive,energy_per_accepted_block_kwh,,30,0,0.5122051204341419,0.4824237549657587,-0.029781365468383298,-0.04125357744107744,0.09434728221623336,-0.31565684531460864,-0.05814343566722019,-0.062126203852508353,0.003907017493913563,0.09729027097290271,0.426957304269573,0.11556968139882542,False,
H6,H6 N=500 inact=0.05: vs baseline (inactive_domain),H6_inactive,inactive_domain,>,30,0,0.0,8460000000000000.0,8460000000000000.0,8460000000000000.0,0.0,,,8460000000000000.0,8460000000000000.0,,,4.320463057827488e-08,True,True
H6,H6 N=500 inact=0.05: vs baseline (exhausted_rounds),H6_inactive,exhausted_rounds,>,30,0,2.1666666666666665,2.4,0.23333333333333334,0.0,0.4301830671520762,0.5424047368439225,0.1076923076923077,0.1,0.4,0.0165983401659834,0.1493850614938506,0.015625,False,True
H6,H6 N=500 inact=0.05: vs baseline (effective_block_interval_s),H6_inactive,effective_block_interval_s,>,30,0,593.5958281260475,618.9604441539426,25.36461602789507,18.382352941176464,41.91901675485542,0.6050861396923658,0.042730448608390495,12.39412442245092,41.767835215641114,0.0005999400059994001,0.007799220077992201,0.000244140625,False,True
H6,H6 N=500 inact=0.05: vs baseline (accepted_blocks),H6_inactive,accepted_blocks,<,30,0,17.6,16.9,-0.7,-0.5,0.9523111632886269,-0.7350538636790543,-0.039772727272727265,-1.0666666666666667,-0.36666666666666664,0.0005999400059994001,0.007799220077992201,0.000244140625,False,True
H6,H6 N=500 inact=0.05: vs baseline (total_energy_kwh),H6_inactive,total_energy_kwh,<,30,0,8.420833333333329,7.9997916666666695,-0.42104166666666565,-0.42104166666666565,0.0,,-0.049999999999999906,-0.42104166666666565,-0.42104166666666565,,,4.320463057827488e-08,True,True
H6,H6 N=500 inact=0.05: vs baseline (energy_per_accepted_block_kwh),H6_inactive,energy_per_accepted_block_kwh,,30,0,0.4998571536011425,0.4951554603139009,-0.004701693287241591,-0.009253663003662926,0.03379154315588728,-0.13913816440852436,-0.00940607382202891,-0.01551273479026295,0.008398976983967785,0.4814518548145185,1.0,0.0976746213491496,False,
H6,H6 N=500 inact=0.15: vs baseline (inactive_domain),H6_inactive,inactive_domain,>,30,0,0.0,2.538e+16,2.538e+16,2.538e+16,0.0,,,2.538e+16,2.538e+16,,,4.320463057827488e-08,True,True
H6,H6 N=500 inact=0.15: vs baseline (exhausted_rounds),H6_inactive,exhausted_rounds,>,30,0,2.1666666666666665,2.533333333333333,0.36666666666666664,0.5,0.6686751354593717,0.5483479902610272,0.16923076923076924,0.13333333333333333,0.6,0.0115988401159884,0.1275872412758724,0.007632881787792299,False,True
H6,H6 N=500 inact=0.15: vs baseline (effective_block_interval_s),H6_inactive,effective_block_interval_s,>,30,0,593.5958281260475,671.3177698522296,77.72194172618187,74.4047619047619,67.87626603604441,1.1450532898334316,0.13093411045617717,54.22725871903083,101.51221363489165,9.999000099990002e-05,0.0023997600239976003,2.6929243565254072e-05,False,True
H6,H6 N=500 inact=0.15: vs baseline (accepted_blocks),H6_inactive,accepted_blocks,<,30,0,17.6,15.433333333333334,-2.1666666666666665,-2.0,1.8398525678065534,-1.1776305909389992,-0.1231060606060606,-2.8333333333333335,-1.5333333333333334,9.999000099990002e-05,0.0023997600239976003,2.424200943694308e-05,False,True
H6,H6 N=500 inact=0.15: vs baseline (total_energy_kwh),H6_inactive,total_energy_kwh,<,30,0,8.420833333333329,7.157708333333336,-1.2631249999999998,-1.2631249999999996,2.2584051416334807e-16,-5592995591067397.0,-0.15000000000000005,-1.2631249999999996,-1.2631249999999996,,,4.320463057827488e-08,True,True
H6,H6 N=500 inact=0.15: vs baseline (energy_per_accepted_block_kwh),H6_inactive,energy_per_accepted_block_kwh,,30,0,0.4998571536011425,0.48050967955860513,-0.019347474042537394,-0.02008257949561404,0.05582073108015474,-0.3466001549631399,-0.03870600611224937,-0.038640784535842174,7.807486205562217e-05,0.0694930506949305,0.416958304169583,0.08214978612203794,False,
H6,H6 N=500 inact=0.3: vs baseline (inactive_domain),H6_inactive,inactive_domain,>,30,0,0.0,5.076e+16,5.076e+16,5.076e+16,0.0,,,5.076e+16,5.076e+16,,,4.320463057827488e-08,True,True
H6,H6 N=500 inact=0.3: vs baseline (exhausted_rounds),H6_inactive,exhausted_rounds,>,30,0,2.1666666666666665,3.2333333333333334,1.0666666666666667,1.0,1.1724814044061258,0.9097514575994018,0.49230769230769234,0.6666666666666666,1.5,9.999000099990002e-05,0.0023997600239976003,0.0001779070634859494,False,True
H6,H6 N=500 inact=0.3: vs baseline (effective_block_interval_s),H6_inactive,effective_block_interval_s,>,30,0,593.5958281260475,878.1312641606759,284.5354360346284,242.91497975708512,227.18568398250315,1.2524355894561652,0.47934204142386344,208.93026240036272,368.01301226000874,9.999000099990002e-05,0.0023997600239976003,3.786882511451119e-06,False,True
H6,H6 N=500 inact=0.3: vs baseline (accepted_blocks),H6_inactive,accepted_blocks,<,30,0,17.6,12.3,-5.3,-5.5,3.0303066875631015,-1.7489978891417521,-0.3011363636363636,-6.366666666666666,-4.233333333333333,9.999000099990002e-05,0.0023997600239976003,3.6335474873107828e-06,False,True
H6,H6 N=500 inact=0.3: vs baseline (total_energy_kwh),H6_inactive,total_energy_kwh,<,30,0,8.420833333333329,5.894583333333335,-2.5262499999999997,-2.526249999999999,4.516810283266961e-16,-5592995591067397.0,-0.3000000000000001,-2.526249999999999,-2.526249999999999,,,4.320463057827488e-08,True,True
H6,H6 N=500 inact=0.3: vs baseline (energy_per_accepted_block_kwh),H6_inactive,energy_per_accepted_block_kwh,,30,0,0.4998571536011425,0.517621791420045,0.017764637818902602,-0.0009010145556198057,0.13627922436439469,0.13035470301329308,0.03553942899670447,-0.02816292639594547,0.067579430953135,0.4851514848515148,1.0,0.9913735067882429,False,
H8,H8 N=100 mu=1.0: vs baseline mu=2.0 (exhausted_rounds),H8_mu,exhausted_rounds,>,30,0,2.3666666666666667,9.266666666666667,6.9,7.0,1.7684982914598906,3.90161530453279,2.915492957746479,6.266666666666667,7.533333333333333,9.999000099990002e-05,0.0015998400159984002,1.5942375258103098e-06,False,True
H8,H8 N=100 mu=1.0: vs baseline mu=2.0 (coord_template_refresh_count),H8_mu,coord_template_refresh_count,>,30,0,2.3666666666666667,9.266666666666667,6.9,7.0,1.7684982914598906,3.90161530453279,2.915492957746479,6.266666666666667,7.533333333333333,9.999000099990002e-05,0.0015998400159984002,1.5942375258103098e-06,False,True
H8,H8 N=100 mu=1.0: vs baseline mu=2.0 (template_generations),H8_mu,template_generations,>,30,0,20.533333333333335,27.4,6.866666666666666,6.5,3.3603502827813214,2.043437763572436,0.3344155844155844,5.733333333333333,8.066666666666666,9.999000099990002e-05,0.0015998400159984002,1.679483202276532e-06,False,True
H8,H8 N=100 mu=1.0: vs baseline mu=2.0 (effective_block_interval_s),H8_mu,effective_block_interval_s,>,30,0,608.2594206046218,616.7595023941774,8.500081789555486,7.249694749694754,155.19213239422376,0.054771344773865985,0.013974435087427396,-46.252504762179655,62.59835697355049,0.7654234576542346,0.7685231476852316,0.7006408979922842,False,True
H8,H8 N=100 mu=0.5: vs baseline mu=2.0 (exhausted_rounds),H8_mu,exhausted_rounds,>,30,0,2.3666666666666667,25.433333333333334,23.066666666666666,23.0,2.164499358111332,10.656813817119286,9.746478873239436,22.3,23.8,9.999000099990002e-05,0.0015998400159984002,1.6249951586519442e-06,False,True
