hypothesis,label,outcome,n_pairs,ref_mean,trt_mean,mean_diff,median_diff_hl,boot_ci_lo,boot_ci_hi,perm_p,p_holm,perm_deterministic,direction_met
H6,H6 N=500 inact=0.05: vs baseline (inactive_domain),inactive_domain,30,0.0,8460000000000000.0,8460000000000000.0,8460000000000000.0,8460000000000000.0,8460000000000000.0,,,True,True
H6,H6 N=500 inact=0.05: vs baseline (exhausted_rounds),exhausted_rounds,30,2.1666666666666665,2.4,0.23333333333333334,0.0,0.1,0.4,0.0165983401659834,0.1493850614938506,False,True
H6,H6 N=500 inact=0.05: vs baseline (effective_block_interval_s),effective_block_interval_s,30,593.5958281260475,618.9604441539426,25.36461602789507,18.382352941176464,12.39412442245092,41.767835215641114,0.0005999400059994001,0.007799220077992201,False,True
H6,H6 N=500 inact=0.05: vs baseline (accepted_blocks),accepted_blocks,30,17.6,16.9,-0.7,-0.5,-1.0666666666666667,-0.36666666666666664,0.0005999400059994001,0.007799220077992201,False,True
H6,H6 N=500 inact=0.05: vs baseline (total_energy_kwh),total_energy_kwh,30,8.420833333333329,7.9997916666666695,-0.42104166666666565,-0.42104166666666565,-0.42104166666666565,-0.42104166666666565,,,True,True
H6,H6 N=500 inact=0.05: vs baseline (energy_per_accepted_block_kwh),energy_per_accepted_block_kwh,30,0.4998571536011425,0.4951554603139009,-0.004701693287241591,-0.009253663003662926,-0.01551273479026295,0.008398976983967785,0.4814518548145185,1.0,False,
H6,H6 N=500 inact=0.15: vs baseline (inactive_domain),inactive_domain,30,0.0,2.538e+16,2.538e+16,2.538e+16,2.538e+16,2.538e+16,,,True,True
H6,H6 N=500 inact=0.15: vs baseline (exhausted_rounds),exhausted_rounds,30,2.1666666666666665,2.533333333333333,0.36666666666666664,0.5,0.13333333333333333,0.6,0.0115988401159884,0.1275872412758724,False,True
H6,H6 N=500 inact=0.15: vs baseline (effective_block_interval_s),effective_block_interval_s,30,593.5958281260475,671.3177698522296,77.72194172618187,74.4047619047619,54.22725871903083,101.51221363489165,9.999000099990002e-05,0.0023997600239976003,False,True
H6,H6 N=500 inact=0.15: vs baseline (accepted_blocks),accepted_blocks,30,17.6,15.433333333333334,-2.1666666666666665,-2.0,-2.8333333333333335,-1.5333333333333334,9.999000099990002e-05,0.0023997600239976003,False,True
