tag,arm,N,seed,run_kind,accepted_blocks,closed_rounds,mean_interval_s,median_interval_s,p95_interval_s,blocks_per_hour,stale_blocks
primary,ND-PC,200,529132900484142986,physical,13,14,767.1233140964669,422.8988781486653,1473.020786726569,4.680000000000001,0
primary,ND-PC-NOLP,200,529132900484142986,derived,13,14,767.1233140964669,422.8988781486653,1473.020786726569,4.680000000000001,0
primary,ND-PW,200,8583420154531566926,physical,15,16,648.6922317162754,326.3212257701161,1854.8239849969457,5.4,0
primary,ND-PW-OFFSET,200,8583420154531566926,physical,15,16,648.6922317162754,326.3212257701161,1854.8239849969457,5.4,0
primary,ND-PC,200,8583420154531566926,physical,15,16,648.6922474136378,326.3212336447455,1854.8240299064973,5.4,0
primary,ND-PC-NOLP,200,8583420154531566926,derived,15,16,648.6922474136378,326.3212336447455,1854.8240299064973,5.4,0
primary,ND-PW,200,16465068975321571430,physical,11,12,877.5857571765978,868.0509566380152,1482.2103161678247,3.96,0
primary,ND-PW-OFFSET,200,16465068975321571430,physical,11,12,877.5857571765978,868.0509566380152,1482.2103161678247,3.96,0
primary,ND-PC,200,16465068975321571430,physical,11,12,877.5857784293964,868.0509776434816,1482.210352027757,3.96,0
primary,ND-PC-NOLP,200,16465068975321571430,derived,11,12,877.5857784293964,868.0509776434816,1482.210352027757,3.96,0
primary,ND-PW,200,1580318165844385263,physical,12,13,816.3850961682731,521.6514645887836,2302.3477682464363,4.32,0
primary,ND-PW-OFFSET,200,1580318165844385263,physical,12,13,816.3850961682731,521.6514645887836,2302.3477682464363,4.32,0
primary,ND-PC,200,1580318165844385263,physical,12,13,816.3851159262381,521.6514772194316,2302.347823949716,4.32,0
primary,ND-PC-NOLP,200,1580318165844385263,derived,12,13,816.3851159262381,521.6514772194316,2302.347823949716,4.32,0
primary,ND-PW,200,860680765458012691,physical,29,30,319.4658429456288,265.6633705919087,635.2833821388942,10.44,0
primary,ND-PW-OFFSET,200,860680765458012691,physical,29,30,319.4658429456288,265.6633705919087,635.2833821388942,10.44,0
primary,ND-PC,200,860680765458012691,physical,29,30,319.4658506765067,265.6633770719285,635.283397590332,10.44,0
primary,ND-PC-NOLP,200,860680765458012691,derived,29,30,319.4658506765067,265.6633770719285,635.283397590332,10.44,0
primary,ND-PW,200,405674777376978405,physical,21,22,469.08257050491176,301.9724980606208,739.1219359873684,7.5600000000000005,0
primary,ND-PW-OFFSET,200,405674777376978405,physical,21,22,469.08257050491176,301.9724980606208,739.1219359873684,7.5600000000000005,0
primary,ND-PC,200,405674777376978405,physical,21,22,469.0825818628909,301.97250534393197,739.1219539333237,7.5600000000000005,0
primary,ND-PC-NOLP,200,405674777376978405,derived,21,22,469.0825818628909,301.97250534393197,739.1219539333237,7.5600000000000005,0
primary,ND-PW,200,5516199827559636311,physical,15,16,634.1107518300676,437.7779147601508,1994.2985095081267,5.4,0
primary,ND-PW-OFFSET,200,5516199827559636311,physical,15,16,634.1107518300676,437.7779147601508,1994.2985095081267,5.4,0
primary,ND-PC,200,5516199827559636311,physical,15,16,634.1107671915288,437.7779253015219,1994.2985577784698,5.4,0
primary,ND-PC-NOLP,200,5516199827559636311,derived,15,16,634.1107671915288,437.7779253015219,1994.2985577784698,5.4,0
primary,ND-PW,200,676253669661655881,physical,18,19,505.27120687992795,445.6001061953159,1375.1734813052242,6.48,0
primary,ND-PW-OFFSET,200,676253669661655881,physical,18,19,505.27120687992795,445.6001061953159,1375.1734813052242,6.48,0
primary,ND-PC,200,676253669661655881,physical,18,19,505.2712191065043,445.6001169930719,1375.173514577376,6.48,0
primary,ND-PC-NOLP,200,676253669661655881,derived,18,19,505.2712191065043,445.6001169930719,1375.173514577376,6.48,0
primary,ND-PW,200,4902971022134724746,physical,12,13,675.2158082666647,405.49372712412264,1468.104557239051,4.32,0
primary,ND-PW-OFFSET,200,4902971022134724746,physical,12,13,675.2158082666647,405.49372712412264,1468.104557239051,4.32,0
primary,ND-PC,200,4902971022134724746,physical,12,13,675.2158246239693,405.4937369699403,1468.1045927990344,4.32,0
primary,ND-PC-NOLP,200,4902971022134724746,derived,12,13,675.2158246239693,405.4937369699403,1468.1045927990344,4.32,0
primary,ND-PW,200,7985863793510020389,physical,16,17,610.6543251710708,550.53451984919,1302.6528438562539,5.76,0
primary,ND-PW-OFFSET,200,7985863793510020389,physical,16,17,610.6543251710708,550.53451984919,1302.6528438562539,5.76,0
primary,ND-PC,200,7985863793510020389,physical,16,17,610.6543399648306,550.534533160122,1302.6528754279852,5.76,0
primary,ND-PC-NOLP,200,7985863793510020389,derived,16,17,610.6543399648306,550.534533160122,1302.6528754279852,5.76,0
primary,ND-PW,200,5259580605389323177,physical,16,17,566.811746748993,347.4067153508267,1303.7155845571804,5.76,0
primary,ND-PW-OFFSET,200,5259580605389323177,physical,16,17,566.811746748993,347.4067153508267,1303.7155845571804,5.76,0
