tag,arm,N,seed,run_kind,template_epochs_completed,header_renewals,nonce_domain_exhaustions,nonce_resets
primary,ND-PW-OFFSET,200,11237067994138084197,physical,108964739000,108964739000,108964739000,0
primary,ND-PC,200,11237067994138084197,physical,108964738584,108964738584,21792947716800,21792947716800
primary,ND-PC-NOLP,200,11237067994138084197,derived,108964738584,108964738584,21792947716800,21792947716800
primary,ND-PW,200,5926412735843326529,physical,108964740200,108964740200,108964740200,108964742600
primary,ND-PW-OFFSET,200,5926412735843326529,physical,108964740200,108964740200,108964740200,0
primary,ND-PC,200,5926412735843326529,physical,108964738586,108964738586,21792947717200,21792947717200
primary,ND-PC-NOLP,200,5926412735843326529,derived,108964738586,108964738586,21792947717200,21792947717200
primary,ND-PW,200,5192363207272324882,physical,108964739600,108964739600,108964739600,108964743200
primary,ND-PW-OFFSET,200,5192363207272324882,physical,108964739600,108964739600,108964739600,0
primary,ND-PC,200,5192363207272324882,physical,108964738585,108964738585,21792947717000,21792947717000
primary,ND-PC-NOLP,200,5192363207272324882,derived,108964738585,108964738585,21792947717000,21792947717000
primary,ND-PW,200,14936110819278713214,physical,108964739400,108964739400,108964739400,108964743000
primary,ND-PW-OFFSET,200,14936110819278713214,physical,108964739400,108964739400,108964739400,0
primary,ND-PC,200,14936110819278713214,physical,108964738581,108964738581,21792947716200,21792947716200
primary,ND-PC-NOLP,200,14936110819278713214,derived,108964738581,108964738581,21792947716200,21792947716200
primary,ND-PW,200,15027284727339452496,physical,108964739800,108964739800,108964739800,108964742800
primary,ND-PW-OFFSET,200,15027284727339452496,physical,108964739800,108964739800,108964739800,0
primary,ND-PC,200,15027284727339452496,physical,108964738584,108964738584,21792947716800,21792947716800
primary,ND-PC-NOLP,200,15027284727339452496,derived,108964738584,108964738584,21792947716800,21792947716800
primary,ND-PW,200,529132900484142986,physical,108964739800,108964739800,108964739800,108964742600
primary,ND-PW-OFFSET,200,529132900484142986,physical,108964739800,108964739800,108964739800,0
primary,ND-PC,200,529132900484142986,physical,108964738585,108964738585,21792947717000,21792947717000
primary,ND-PC-NOLP,200,529132900484142986,derived,108964738585,108964738585,21792947717000,21792947717000
primary,ND-PW,200,8583420154531566926,physical,108964739400,108964739400,108964739400,108964742600
primary,ND-PW-OFFSET,200,8583420154531566926,physical,108964739400,108964739400,108964739400,0
primary,ND-PC,200,8583420154531566926,physical,108964738584,108964738584,21792947716800,21792947716800
primary,ND-PC-NOLP,200,8583420154531566926,derived,108964738584,108964738584,21792947716800,21792947716800
primary,ND-PW,200,16465068975321571430,physical,108964739600,108964739600,108964739600,108964742000
primary,ND-PW-OFFSET,200,16465068975321571430,physical,108964739600,108964739600,108964739600,0
primary,ND-PC,200,16465068975321571430,physical,108964738586,108964738586,21792947717200,21792947717200
primary,ND-PC-NOLP,200,16465068975321571430,derived,108964738586,108964738586,21792947717200,21792947717200
primary,ND-PW,200,1580318165844385263,physical,108964740000,108964740000,108964740000,108964742600
primary,ND-PW-OFFSET,200,1580318165844385263,physical,108964740000,108964740000,108964740000,0
primary,ND-PC,200,1580318165844385263,physical,108964738585,108964738585,21792947717000,21792947717000
primary,ND-PC-NOLP,200,1580318165844385263,derived,108964738585,108964738585,21792947717000,21792947717000
primary,ND-PW,200,860680765458012691,physical,108964738000,108964738000,108964738000,108964744000
primary,ND-PW-OFFSET,200,860680765458012691,physical,108964738000,108964738000,108964738000,0
primary,ND-PC,200,860680765458012691,physical,108964738578,108964738578,21792947715600,21792947715600
primary,ND-PC-NOLP,200,860680765458012691,derived,108964738578,108964738578,21792947715600,21792947715600
primary,ND-PW,200,405674777376978405,physical,108964738600,108964738600,108964738600,108964743000
primary,ND-PW-OFFSET,200,405674777376978405,physical,108964738600,108964738600,108964738600,0
