tag,arm,N,seed,run_kind,T_active_s,T_low_s,F_low
primary,ND-PC-NOLP,200,5259580605389323177,derived,2000000.0,0.0,0.0
primary,ND-PW,200,14894895525097951974,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,14894895525097951974,physical,2000000.0,0.0,0.0
primary,ND-PC,200,14894895525097951974,physical,1999999.9515712273,0.048428772704,2.4214386352e-08
primary,ND-PC-NOLP,200,14894895525097951974,derived,2000000.0,0.0,0.0
primary,ND-PW,200,14255052758501613198,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,14255052758501613198,physical,2000000.0,0.0,0.0
primary,ND-PC,200,14255052758501613198,physical,1999999.9515712273,0.04842877270088889,2.4214386350444445e-08
primary,ND-PC-NOLP,200,14255052758501613198,derived,2000000.0,0.0,0.0
primary,ND-PW,200,14970427933435388700,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,14970427933435388700,physical,2000000.0,0.0,0.0
primary,ND-PC,200,14970427933435388700,physical,1999999.9515712273,0.04842877270177778,2.421438635088889e-08
primary,ND-PC-NOLP,200,14970427933435388700,derived,2000000.0,0.0,0.0
primary,ND-PW,200,6530983822519173908,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,6530983822519173908,physical,2000000.0,0.0,0.0
primary,ND-PC,200,6530983822519173908,physical,1999999.9515712273,0.04842877270177778,2.421438635088889e-08
primary,ND-PC-NOLP,200,6530983822519173908,derived,2000000.0,0.0,0.0
primary,ND-PW,200,16478255227937338382,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,16478255227937338382,physical,2000000.0,0.0,0.0
primary,ND-PC,200,16478255227937338382,physical,1999999.9515712273,0.048428772704,2.4214386352e-08
primary,ND-PC-NOLP,200,16478255227937338382,derived,2000000.0,0.0,0.0
primary,ND-PW,200,447822293856133746,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,447822293856133746,physical,2000000.0,0.0,0.0
primary,ND-PC,200,447822293856133746,physical,1999999.9515712273,0.048428772703555556,2.4214386351777777e-08
primary,ND-PC-NOLP,200,447822293856133746,derived,2000000.0,0.0,0.0
primary,ND-PW,200,9364596802063509215,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,9364596802063509215,physical,2000000.0,0.0,0.0
primary,ND-PC,200,9364596802063509215,physical,1999999.9515712273,0.04842877270311111,2.4214386351555557e-08
primary,ND-PC-NOLP,200,9364596802063509215,derived,2000000.0,0.0,0.0
primary,ND-PW,200,6483795830361016413,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,6483795830361016413,physical,2000000.0,0.0,0.0
primary,ND-PC,200,6483795830361016413,physical,1999999.9515712273,0.04842877270444444,2.421438635222222e-08
primary,ND-PC-NOLP,200,6483795830361016413,derived,2000000.0,0.0,0.0
primary,ND-PW,200,13726057523507487050,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,13726057523507487050,physical,2000000.0,0.0,0.0
primary,ND-PC,200,13726057523507487050,physical,1999999.9515712273,0.04842877270222222,2.421438635111111e-08
primary,ND-PC-NOLP,200,13726057523507487050,derived,2000000.0,0.0,0.0
primary,ND-PW,200,592649121540029029,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,592649121540029029,physical,2000000.0,0.0,0.0
primary,ND-PC,200,592649121540029029,physical,1999999.9515712273,0.04842877270266667,2.4214386351333333e-08
primary,ND-PC-NOLP,200,592649121540029029,derived,2000000.0,0.0,0.0
primary,ND-PW,200,13234303622947097637,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,13234303622947097637,physical,2000000.0,0.0,0.0
primary,ND-PC,200,13234303622947097637,physical,1999999.9515712273,0.04842877270177778,2.421438635088889e-08
primary,ND-PC-NOLP,200,13234303622947097637,derived,2000000.0,0.0,0.0
primary,ND-PW,200,17788360996555233988,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,17788360996555233988,physical,2000000.0,0.0,0.0
primary,ND-PC,200,17788360996555233988,physical,1999999.9515712273,0.04842877270311111,2.4214386351555557e-08
primary,ND-PC-NOLP,200,17788360996555233988,derived,2000000.0,0.0,0.0
primary,ND-PW,300,467376819415377580,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,467376819415377580,physical,3000000.0,0.0,0.0
primary,ND-PC,300,467376819415377580,physical,2999999.927356841,0.07264315905777778,2.4214386352592593e-08
primary,ND-PC-NOLP,300,467376819415377580,derived,3000000.0,0.0,0.0
primary,ND-PW,300,2704408835578762228,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,2704408835578762228,physical,3000000.0,0.0,0.0
primary,ND-PC,300,2704408835578762228,physical,2999999.927356841,0.07264315905511111,2.4214386351703702e-08
primary,ND-PC-NOLP,300,2704408835578762228,derived,3000000.0,0.0,0.0
primary,ND-PW,300,11237067994138084197,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,11237067994138084197,physical,3000000.0,0.0,0.0
primary,ND-PC,300,11237067994138084197,physical,2999999.927356841,0.07264315905644445,2.421438635214815e-08
primary,ND-PC-NOLP,300,11237067994138084197,derived,3000000.0,0.0,0.0
primary,ND-PW,300,5926412735843326529,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,5926412735843326529,physical,3000000.0,0.0,0.0
primary,ND-PC,300,5926412735843326529,physical,2999999.927356841,0.07264315905866667,2.421438635288889e-08
primary,ND-PC-NOLP,300,5926412735843326529,derived,3000000.0,0.0,0.0
primary,ND-PW,300,5192363207272324882,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,5192363207272324882,physical,3000000.0,0.0,0.0
primary,ND-PC,300,5192363207272324882,physical,2999999.927356841,0.07264315905644445,2.421438635214815e-08
primary,ND-PC-NOLP,300,5192363207272324882,derived,3000000.0,0.0,0.0
primary,ND-PW,300,14936110819278713214,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,14936110819278713214,physical,3000000.0,0.0,0.0
primary,ND-PC,300,14936110819278713214,physical,2999999.927356841,0.072643159056,2.4214386351999998e-08
primary,ND-PC-NOLP,300,14936110819278713214,derived,3000000.0,0.0,0.0
primary,ND-PW,300,15027284727339452496,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,15027284727339452496,physical,3000000.0,0.0,0.0
primary,ND-PC,300,15027284727339452496,physical,2999999.927356841,0.07264315905733333,2.4214386352444445e-08
primary,ND-PC-NOLP,300,15027284727339452496,derived,3000000.0,0.0,0.0
primary,ND-PW,300,529132900484142986,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,529132900484142986,physical,3000000.0,0.0,0.0
primary,ND-PC,300,529132900484142986,physical,2999999.927356841,0.07264315905777778,2.4214386352592593e-08
primary,ND-PC-NOLP,300,529132900484142986,derived,3000000.0,0.0,0.0
primary,ND-PW,300,8583420154531566926,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,8583420154531566926,physical,3000000.0,0.0,0.0
primary,ND-PC,300,8583420154531566926,physical,2999999.927356841,0.0726431590568889,2.4214386352296297e-08
primary,ND-PC-NOLP,300,8583420154531566926,derived,3000000.0,0.0,0.0
primary,ND-PW,300,16465068975321571430,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,16465068975321571430,physical,3000000.0,0.0,0.0
primary,ND-PC,300,16465068975321571430,physical,2999999.927356841,0.07264315905866667,2.421438635288889e-08
primary,ND-PC-NOLP,300,16465068975321571430,derived,3000000.0,0.0,0.0
primary,ND-PW,300,1580318165844385263,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,1580318165844385263,physical,3000000.0,0.0,0.0
primary,ND-PC,300,1580318165844385263,physical,2999999.927356841,0.07264315905777778,2.4214386352592593e-08
primary,ND-PC-NOLP,300,1580318165844385263,derived,3000000.0,0.0,0.0
primary,ND-PW,300,860680765458012691,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,860680765458012691,physical,3000000.0,0.0,0.0
primary,ND-PC,300,860680765458012691,physical,2999999.927356841,0.07264315905466667,2.4214386351555557e-08
primary,ND-PC-NOLP,300,860680765458012691,derived,3000000.0,0.0,0.0
primary,ND-PW,300,405674777376978405,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,405674777376978405,physical,3000000.0,0.0,0.0
primary,ND-PC,300,405674777376978405,physical,2999999.927356841,0.07264315905511111,2.4214386351703702e-08
primary,ND-PC-NOLP,300,405674777376978405,derived,3000000.0,0.0,0.0
primary,ND-PW,300,5516199827559636311,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,5516199827559636311,physical,3000000.0,0.0,0.0
primary,ND-PC,300,5516199827559636311,physical,2999999.927356841,0.0726431590568889,2.4214386352296297e-08
primary,ND-PC-NOLP,300,5516199827559636311,derived,3000000.0,0.0,0.0
primary,ND-PW,300,676253669661655881,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,676253669661655881,physical,3000000.0,0.0,0.0
primary,ND-PC,300,676253669661655881,physical,2999999.927356841,0.072643159056,2.4214386351999998e-08
primary,ND-PC-NOLP,300,676253669661655881,derived,3000000.0,0.0,0.0
primary,ND-PW,300,4902971022134724746,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,4902971022134724746,physical,3000000.0,0.0,0.0
primary,ND-PC,300,4902971022134724746,physical,2999999.927356841,0.07264315905733333,2.4214386352444445e-08
primary,ND-PC-NOLP,300,4902971022134724746,derived,3000000.0,0.0,0.0
primary,ND-PW,300,7985863793510020389,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,7985863793510020389,physical,3000000.0,0.0,0.0
primary,ND-PC,300,7985863793510020389,physical,2999999.927356841,0.07264315905733333,2.4214386352444445e-08
primary,ND-PC-NOLP,300,7985863793510020389,derived,3000000.0,0.0,0.0
primary,ND-PW,300,5259580605389323177,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,5259580605389323177,physical,3000000.0,0.0,0.0
primary,ND-PC,300,5259580605389323177,physical,2999999.927356841,0.0726431590568889,2.4214386352296297e-08
primary,ND-PC-NOLP,300,5259580605389323177,derived,3000000.0,0.0,0.0
primary,ND-PW,300,14894895525097951974,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,14894895525097951974,physical,3000000.0,0.0,0.0
primary,ND-PC,300,14894895525097951974,physical,2999999.927356841,0.07264315905644445,2.421438635214815e-08
primary,ND-PC-NOLP,300,14894895525097951974,derived,3000000.0,0.0,0.0
primary,ND-PW,300,14255052758501613198,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,14255052758501613198,physical,3000000.0,0.0,0.0
primary,ND-PC,300,14255052758501613198,physical,2999999.927356841,0.07264315905555556,2.4214386351851853e-08
primary,ND-PC-NOLP,300,14255052758501613198,derived,3000000.0,0.0,0.0
primary,ND-PW,300,14970427933435388700,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,14970427933435388700,physical,3000000.0,0.0,0.0
primary,ND-PC,300,14970427933435388700,physical,2999999.927356841,0.07264315905511111,2.4214386351703702e-08
primary,ND-PC-NOLP,300,14970427933435388700,derived,3000000.0,0.0,0.0
primary,ND-PW,300,6530983822519173908,physical,3000000.0,0.0,0.0
primary,ND-PW-OFFSET,300,6530983822519173908,physical,3000000.0,0.0,0.0
primary,ND-PC,300,6530983822519173908,physical,2999999.927356841,0.072643159056,2.4214386351999998e-08
primary,ND-PC-NOLP,300,6530983822519173908,derived,3000000.0,0.0,0.0
primary,ND-PW,300,16478255227937338382,physical,3000000.0,0.0,0.0
