tag,arm,N,seed,run_kind,alpha_case,alpha,energy_J,energy_kWh,saving_vs_ND_PW,energy_per_block_J
primary,ND-PC,100,15027284727339452496,physical,LP25,0.25,3509999997.548293,974.9999993189703,6.984920419839113e-10,250714285.5391638
primary,ND-PC,100,15027284727339452496,physical,LP50,0.5,3509999998.365529,974.9999995459802,4.656612873077393e-10,250714285.5975378
primary,ND-PC-NOLP,100,15027284727339452496,derived,LP0,0.0,3510000000.0,975.0,0.0,250714285.7142857
primary,ND-PC-NOLP,100,15027284727339452496,derived,LP10,0.1,3510000000.0,975.0,0.0,250714285.7142857
primary,ND-PC-NOLP,100,15027284727339452496,derived,LP25,0.25,3510000000.0,975.0,0.0,250714285.7142857
primary,ND-PC-NOLP,100,15027284727339452496,derived,LP50,0.5,3510000000.0,975.0,0.0,250714285.7142857
primary,ND-PW,100,529132900484142986,physical,LP0,0.0,3510000000.0,975.0,0.0,270000000.0
primary,ND-PW,100,529132900484142986,physical,LP10,0.1,3510000000.0,975.0,0.0,270000000.0
primary,ND-PW,100,529132900484142986,physical,LP25,0.25,3510000000.0,975.0,0.0,270000000.0
primary,ND-PW,100,529132900484142986,physical,LP50,0.5,3510000000.0,975.0,0.0,270000000.0
primary,ND-PW-OFFSET,100,529132900484142986,physical,LP0,0.0,3510000000.0,975.0,0.0,270000000.0
primary,ND-PW-OFFSET,100,529132900484142986,physical,LP10,0.1,3510000000.0,975.0,0.0,270000000.0
primary,ND-PW-OFFSET,100,529132900484142986,physical,LP25,0.25,3510000000.0,975.0,0.0,270000000.0
primary,ND-PW-OFFSET,100,529132900484142986,physical,LP50,0.5,3510000000.0,975.0,0.0,270000000.0
primary,ND-PC,100,529132900484142986,physical,LP0,0.0,3509999996.7310576,974.9999990919605,9.313225746154785e-10,269999999.7485429
primary,ND-PC,100,529132900484142986,physical,LP10,0.1,3509999997.057952,974.9999991827644,8.381902949494702e-10,269999999.7736886
primary,ND-PC,100,529132900484142986,physical,LP25,0.25,3509999997.548293,974.9999993189703,6.984920419839113e-10,269999999.81140715
primary,ND-PC,100,529132900484142986,physical,LP50,0.5,3509999998.365529,974.9999995459802,4.656612873077393e-10,269999999.87427145
primary,ND-PC-NOLP,100,529132900484142986,derived,LP0,0.0,3510000000.0,975.0,0.0,270000000.0
primary,ND-PC-NOLP,100,529132900484142986,derived,LP10,0.1,3510000000.0,975.0,0.0,270000000.0
primary,ND-PC-NOLP,100,529132900484142986,derived,LP25,0.25,3510000000.0,975.0,0.0,270000000.0
primary,ND-PC-NOLP,100,529132900484142986,derived,LP50,0.5,3510000000.0,975.0,0.0,270000000.0
primary,ND-PW,100,8583420154531566926,physical,LP0,0.0,3510000000.0,975.0,0.0,234000000.0
primary,ND-PW,100,8583420154531566926,physical,LP10,0.1,3510000000.0,975.0,0.0,234000000.0
primary,ND-PW,100,8583420154531566926,physical,LP25,0.25,3510000000.0,975.0,0.0,234000000.0
primary,ND-PW,100,8583420154531566926,physical,LP50,0.5,3510000000.0,975.0,0.0,234000000.0
primary,ND-PW-OFFSET,100,8583420154531566926,physical,LP0,0.0,3510000000.0,975.0,0.0,234000000.0
primary,ND-PW-OFFSET,100,8583420154531566926,physical,LP10,0.1,3510000000.0,975.0,0.0,234000000.0
primary,ND-PW-OFFSET,100,8583420154531566926,physical,LP25,0.25,3510000000.0,975.0,0.0,234000000.0
primary,ND-PW-OFFSET,100,8583420154531566926,physical,LP50,0.5,3510000000.0,975.0,0.0,234000000.0
primary,ND-PC,100,8583420154531566926,physical,LP0,0.0,3509999996.7310576,974.9999990919605,9.313225746154785e-10,233999999.78207052
primary,ND-PC,100,8583420154531566926,physical,LP10,0.1,3509999997.057952,974.9999991827644,8.381902949494702e-10,233999999.80386347
primary,ND-PC,100,8583420154531566926,physical,LP25,0.25,3509999997.548293,974.9999993189703,6.984920419839113e-10,233999999.8365529
primary,ND-PC,100,8583420154531566926,physical,LP50,0.5,3509999998.365529,974.9999995459802,4.656612873077393e-10,233999999.89103526
primary,ND-PC-NOLP,100,8583420154531566926,derived,LP0,0.0,3510000000.0,975.0,0.0,234000000.0
primary,ND-PC-NOLP,100,8583420154531566926,derived,LP10,0.1,3510000000.0,975.0,0.0,234000000.0
primary,ND-PC-NOLP,100,8583420154531566926,derived,LP25,0.25,3510000000.0,975.0,0.0,234000000.0
primary,ND-PC-NOLP,100,8583420154531566926,derived,LP50,0.5,3510000000.0,975.0,0.0,234000000.0
primary,ND-PW,100,16465068975321571430,physical,LP0,0.0,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PW,100,16465068975321571430,physical,LP10,0.1,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PW,100,16465068975321571430,physical,LP25,0.25,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PW,100,16465068975321571430,physical,LP50,0.5,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PW-OFFSET,100,16465068975321571430,physical,LP0,0.0,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PW-OFFSET,100,16465068975321571430,physical,LP10,0.1,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PW-OFFSET,100,16465068975321571430,physical,LP25,0.25,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PW-OFFSET,100,16465068975321571430,physical,LP50,0.5,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PC,100,16465068975321571430,physical,LP0,0.0,3509999996.7310576,974.9999990919605,9.313225746154785e-10,319090908.7937325
primary,ND-PC,100,16465068975321571430,physical,LP10,0.1,3509999997.057952,974.9999991827644,8.381902949494702e-10,319090908.82345015
primary,ND-PC,100,16465068975321571430,physical,LP25,0.25,3509999997.548293,974.9999993189703,6.984920419839113e-10,319090908.8680267
primary,ND-PC,100,16465068975321571430,physical,LP50,0.5,3509999998.365529,974.9999995459802,4.656612873077393e-10,319090908.9423208
primary,ND-PC-NOLP,100,16465068975321571430,derived,LP0,0.0,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PC-NOLP,100,16465068975321571430,derived,LP10,0.1,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PC-NOLP,100,16465068975321571430,derived,LP25,0.25,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PC-NOLP,100,16465068975321571430,derived,LP50,0.5,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PW,100,1580318165844385263,physical,LP0,0.0,3510000000.0,975.0,0.0,292500000.0
primary,ND-PW,100,1580318165844385263,physical,LP10,0.1,3510000000.0,975.0,0.0,292500000.0
primary,ND-PW,100,1580318165844385263,physical,LP25,0.25,3510000000.0,975.0,0.0,292500000.0
primary,ND-PW,100,1580318165844385263,physical,LP50,0.5,3510000000.0,975.0,0.0,292500000.0
primary,ND-PW-OFFSET,100,1580318165844385263,physical,LP0,0.0,3510000000.0,975.0,0.0,292500000.0
primary,ND-PW-OFFSET,100,1580318165844385263,physical,LP10,0.1,3510000000.0,975.0,0.0,292500000.0
primary,ND-PW-OFFSET,100,1580318165844385263,physical,LP25,0.25,3510000000.0,975.0,0.0,292500000.0
primary,ND-PW-OFFSET,100,1580318165844385263,physical,LP50,0.5,3510000000.0,975.0,0.0,292500000.0
primary,ND-PC,100,1580318165844385263,physical,LP0,0.0,3509999996.7310576,974.9999990919605,9.313225746154785e-10,292499999.7275881
primary,ND-PC,100,1580318165844385263,physical,LP10,0.1,3509999997.057952,974.9999991827644,8.381902949494702e-10,292499999.75482935
primary,ND-PC,100,1580318165844385263,physical,LP25,0.25,3509999997.548293,974.9999993189703,6.984920419839113e-10,292499999.7956911
primary,ND-PC,100,1580318165844385263,physical,LP50,0.5,3509999998.365529,974.9999995459802,4.656612873077393e-10,292499999.8637941
primary,ND-PC-NOLP,100,1580318165844385263,derived,LP0,0.0,3510000000.0,975.0,0.0,292500000.0
primary,ND-PC-NOLP,100,1580318165844385263,derived,LP10,0.1,3510000000.0,975.0,0.0,292500000.0
primary,ND-PC-NOLP,100,1580318165844385263,derived,LP25,0.25,3510000000.0,975.0,0.0,292500000.0
primary,ND-PC-NOLP,100,1580318165844385263,derived,LP50,0.5,3510000000.0,975.0,0.0,292500000.0
primary,ND-PW,100,860680765458012691,physical,LP0,0.0,3510000000.0,975.0,0.0,121034482.7586207
primary,ND-PW,100,860680765458012691,physical,LP10,0.1,3510000000.0,975.0,0.0,121034482.7586207
primary,ND-PW,100,860680765458012691,physical,LP25,0.25,3510000000.0,975.0,0.0,121034482.7586207
primary,ND-PW,100,860680765458012691,physical,LP50,0.5,3510000000.0,975.0,0.0,121034482.7586207
primary,ND-PW-OFFSET,100,860680765458012691,physical,LP0,0.0,3510000000.0,975.0,0.0,121034482.7586207
primary,ND-PW-OFFSET,100,860680765458012691,physical,LP10,0.1,3510000000.0,975.0,0.0,121034482.7586207
primary,ND-PW-OFFSET,100,860680765458012691,physical,LP25,0.25,3510000000.0,975.0,0.0,121034482.7586207
primary,ND-PW-OFFSET,100,860680765458012691,physical,LP50,0.5,3510000000.0,975.0,0.0,121034482.7586207
primary,ND-PC,100,860680765458012691,physical,LP0,0.0,3509999996.7310576,974.9999990919605,9.313225746154785e-10,121034482.64589854
primary,ND-PC,100,860680765458012691,physical,LP10,0.1,3509999997.057952,974.9999991827644,8.381902949494702e-10,121034482.65717076
primary,ND-PC,100,860680765458012691,physical,LP25,0.25,3509999997.548293,974.9999993189703,6.984920419839113e-10,121034482.67407908
primary,ND-PC,100,860680765458012691,physical,LP50,0.5,3509999998.365529,974.9999995459802,4.656612873077393e-10,121034482.70225963
primary,ND-PC-NOLP,100,860680765458012691,derived,LP0,0.0,3510000000.0,975.0,0.0,121034482.7586207
primary,ND-PC-NOLP,100,860680765458012691,derived,LP10,0.1,3510000000.0,975.0,0.0,121034482.7586207
primary,ND-PC-NOLP,100,860680765458012691,derived,LP25,0.25,3510000000.0,975.0,0.0,121034482.7586207
primary,ND-PC-NOLP,100,860680765458012691,derived,LP50,0.5,3510000000.0,975.0,0.0,121034482.7586207
primary,ND-PW,100,405674777376978405,physical,LP0,0.0,3510000000.0,975.0,0.0,167142857.14285713
primary,ND-PW,100,405674777376978405,physical,LP10,0.1,3510000000.0,975.0,0.0,167142857.14285713
primary,ND-PW,100,405674777376978405,physical,LP25,0.25,3510000000.0,975.0,0.0,167142857.14285713
primary,ND-PW,100,405674777376978405,physical,LP50,0.5,3510000000.0,975.0,0.0,167142857.14285713
primary,ND-PW-OFFSET,100,405674777376978405,physical,LP0,0.0,3510000000.0,975.0,0.0,167142857.14285713
primary,ND-PW-OFFSET,100,405674777376978405,physical,LP10,0.1,3510000000.0,975.0,0.0,167142857.14285713
primary,ND-PW-OFFSET,100,405674777376978405,physical,LP25,0.25,3510000000.0,975.0,0.0,167142857.14285713
primary,ND-PW-OFFSET,100,405674777376978405,physical,LP50,0.5,3510000000.0,975.0,0.0,167142857.14285713
primary,ND-PC,100,405674777376978405,physical,LP0,0.0,3509999996.7310576,974.9999990919605,9.313225746154785e-10,167142856.98719323
primary,ND-PC,100,405674777376978405,physical,LP10,0.1,3509999997.057952,974.9999991827644,8.381902949494702e-10,167142857.0027596
primary,ND-PC,100,405674777376978405,physical,LP25,0.25,3509999997.548293,974.9999993189703,6.984920419839113e-10,167142857.0261092
primary,ND-PC,100,405674777376978405,physical,LP50,0.5,3509999998.365529,974.9999995459802,4.656612873077393e-10,167142857.06502518
primary,ND-PC-NOLP,100,405674777376978405,derived,LP0,0.0,3510000000.0,975.0,0.0,167142857.14285713
primary,ND-PC-NOLP,100,405674777376978405,derived,LP10,0.1,3510000000.0,975.0,0.0,167142857.14285713
primary,ND-PC-NOLP,100,405674777376978405,derived,LP25,0.25,3510000000.0,975.0,0.0,167142857.14285713
primary,ND-PC-NOLP,100,405674777376978405,derived,LP50,0.5,3510000000.0,975.0,0.0,167142857.14285713
primary,ND-PW,100,5516199827559636311,physical,LP0,0.0,3510000000.0,975.0,0.0,234000000.0
primary,ND-PW,100,5516199827559636311,physical,LP10,0.1,3510000000.0,975.0,0.0,234000000.0
primary,ND-PW,100,5516199827559636311,physical,LP25,0.25,3510000000.0,975.0,0.0,234000000.0
primary,ND-PW,100,5516199827559636311,physical,LP50,0.5,3510000000.0,975.0,0.0,234000000.0
primary,ND-PW-OFFSET,100,5516199827559636311,physical,LP0,0.0,3510000000.0,975.0,0.0,234000000.0
primary,ND-PW-OFFSET,100,5516199827559636311,physical,LP10,0.1,3510000000.0,975.0,0.0,234000000.0
primary,ND-PW-OFFSET,100,5516199827559636311,physical,LP25,0.25,3510000000.0,975.0,0.0,234000000.0
primary,ND-PW-OFFSET,100,5516199827559636311,physical,LP50,0.5,3510000000.0,975.0,0.0,234000000.0
primary,ND-PC,100,5516199827559636311,physical,LP0,0.0,3509999996.7310576,974.9999990919605,9.313225746154785e-10,233999999.78207052
primary,ND-PC,100,5516199827559636311,physical,LP10,0.1,3509999997.057952,974.9999991827644,8.381902949494702e-10,233999999.80386347
primary,ND-PC,100,5516199827559636311,physical,LP25,0.25,3509999997.548293,974.9999993189703,6.984920419839113e-10,233999999.8365529
primary,ND-PC,100,5516199827559636311,physical,LP50,0.5,3509999998.365529,974.9999995459802,4.656612873077393e-10,233999999.89103526
primary,ND-PC-NOLP,100,5516199827559636311,derived,LP0,0.0,3510000000.0,975.0,0.0,234000000.0
primary,ND-PC-NOLP,100,5516199827559636311,derived,LP10,0.1,3510000000.0,975.0,0.0,234000000.0
primary,ND-PC-NOLP,100,5516199827559636311,derived,LP25,0.25,3510000000.0,975.0,0.0,234000000.0
primary,ND-PC-NOLP,100,5516199827559636311,derived,LP50,0.5,3510000000.0,975.0,0.0,234000000.0
primary,ND-PW,100,676253669661655881,physical,LP0,0.0,3510000000.0,975.0,0.0,195000000.0
primary,ND-PW,100,676253669661655881,physical,LP10,0.1,3510000000.0,975.0,0.0,195000000.0
primary,ND-PW,100,676253669661655881,physical,LP25,0.25,3510000000.0,975.0,0.0,195000000.0
primary,ND-PW,100,676253669661655881,physical,LP50,0.5,3510000000.0,975.0,0.0,195000000.0
primary,ND-PW-OFFSET,100,676253669661655881,physical,LP0,0.0,3510000000.0,975.0,0.0,195000000.0
primary,ND-PW-OFFSET,100,676253669661655881,physical,LP10,0.1,3510000000.0,975.0,0.0,195000000.0
primary,ND-PW-OFFSET,100,676253669661655881,physical,LP25,0.25,3510000000.0,975.0,0.0,195000000.0
primary,ND-PW-OFFSET,100,676253669661655881,physical,LP50,0.5,3510000000.0,975.0,0.0,195000000.0
primary,ND-PC,100,676253669661655881,physical,LP0,0.0,3509999996.7310576,974.9999990919605,9.313225746154785e-10,194999999.8183921
primary,ND-PC,100,676253669661655881,physical,LP10,0.1,3509999997.057952,974.9999991827644,8.381902949494702e-10,194999999.8365529
primary,ND-PC,100,676253669661655881,physical,LP25,0.25,3509999997.548293,974.9999993189703,6.984920419839113e-10,194999999.86379406
primary,ND-PC,100,676253669661655881,physical,LP50,0.5,3509999998.365529,974.9999995459802,4.656612873077393e-10,194999999.90919605
primary,ND-PC-NOLP,100,676253669661655881,derived,LP0,0.0,3510000000.0,975.0,0.0,195000000.0
primary,ND-PC-NOLP,100,676253669661655881,derived,LP10,0.1,3510000000.0,975.0,0.0,195000000.0
