tag,arm,N,seed,run_kind,W_total,hashes_per_block,W_unique_exact_secondary,exact_duplicates_secondary
primary,ND-PC-NOLP,100,6483795830361016413,derived,233999999782070517768,1.6714285698719322e+19,233999999782070517768,0
primary,ND-PW,100,13726057523507487050,physical,234000000000000000000,1.0636363636363637e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,13726057523507487050,physical,234000000000000000000,1.0636363636363637e+19,234000000000000000000,0
primary,ND-PC,100,13726057523507487050,physical,233999999782070517788,1.0636363626457752e+19,233999999782070517788,0
primary,ND-PC-NOLP,100,13726057523507487050,derived,233999999782070517788,1.0636363626457752e+19,233999999782070517788,0
primary,ND-PW,100,592649121540029029,physical,234000000000000000000,1.3e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,592649121540029029,physical,234000000000000000000,1.3e+19,234000000000000000000,0
primary,ND-PC,100,592649121540029029,physical,233999999782070517780,1.2999999987892806e+19,233999999782070517780,0
primary,ND-PC-NOLP,100,592649121540029029,derived,233999999782070517780,1.2999999987892806e+19,233999999782070517780,0
primary,ND-PW,100,13234303622947097637,physical,234000000000000000000,1.0636363636363637e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,13234303622947097637,physical,234000000000000000000,1.0636363636363637e+19,234000000000000000000,0
primary,ND-PC,100,13234303622947097637,physical,233999999782070517788,1.0636363626457752e+19,233999999782070517788,0
primary,ND-PC-NOLP,100,13234303622947097637,derived,233999999782070517788,1.0636363626457752e+19,233999999782070517788,0
primary,ND-PW,100,17788360996555233988,physical,234000000000000000000,1.4625e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,17788360996555233988,physical,234000000000000000000,1.4625e+19,234000000000000000000,0
primary,ND-PC,100,17788360996555233988,physical,233999999782070517780,1.4624999986379407e+19,233999999782070517780,0
primary,ND-PC-NOLP,100,17788360996555233988,derived,233999999782070517780,1.4624999986379407e+19,233999999782070517780,0
primary,ND-PW,200,467376819415377580,physical,468000000000000000000,2.463157894736842e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,467376819415377580,physical,468000000000000000000,2.463157894736842e+19,468000000000000000000,0
primary,ND-PC,200,467376819415377580,physical,467999988667667187576,2.463157835092985e+19,467999988667667187576,0
primary,ND-PC-NOLP,200,467376819415377580,derived,467999988667667187576,2.463157835092985e+19,467999988667667187576,0
primary,ND-PW,200,2704408835578762228,physical,468000000000000000000,2.1272727272727273e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,2704408835578762228,physical,468000000000000000000,2.1272727272727273e+19,468000000000000000000,0
primary,ND-PC,200,2704408835578762228,physical,467999988667667187784,2.1272726757621236e+19,467999988667667187784,0
