tag,arm,N,seed,run_kind,block_retention,latency_ratio,saving_LP0,energy_per_block_ratio_LP0,saving_LP10,energy_per_block_ratio_LP10,saving_LP25,energy_per_block_ratio_LP25,saving_LP50,energy_per_block_ratio_LP50
primary,ND-PC,100,7985863793510020389,physical,1.0,1.0000000009784813,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.999999999301508,4.656612873077393e-10,0.9999999995343387
primary,ND-PC-NOLP,100,7985863793510020389,derived,1.0,1.0000000009784813,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,5259580605389323177,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,5259580605389323177,physical,1.0,1.0000000011381205,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.999999999301508,4.656612873077393e-10,0.9999999995343387
primary,ND-PC-NOLP,100,5259580605389323177,derived,1.0,1.0000000011381205,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,14894895525097951974,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,14894895525097951974,physical,1.0,1.0000000007187373,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.9999999993015081,4.656612873077393e-10,0.9999999995343387
primary,ND-PC-NOLP,100,14894895525097951974,derived,1.0,1.0000000007187373,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,14255052758501613198,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,14255052758501613198,physical,1.0,1.0000000007827659,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.999999999301508,4.656612873077393e-10,0.9999999995343387
primary,ND-PC-NOLP,100,14255052758501613198,derived,1.0,1.0000000007827659,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,14970427933435388700,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,14970427933435388700,physical,1.0,1.0000000007803107,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.9999999993015081,4.656612873077393e-10,0.9999999995343387
primary,ND-PC-NOLP,100,14970427933435388700,derived,1.0,1.0000000007803107,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,6530983822519173908,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,6530983822519173908,physical,1.0,1.0000000008902814,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.9999999993015081,4.656612873077393e-10,0.9999999995343387
primary,ND-PC-NOLP,100,6530983822519173908,derived,1.0,1.0000000008902814,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,16478255227937338382,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,16478255227937338382,physical,1.0,1.0000000009810872,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.999999999301508,4.656612873077393e-10,0.9999999995343387
primary,ND-PC-NOLP,100,16478255227937338382,derived,1.0,1.0000000009810872,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,447822293856133746,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
