tag,arm,N,seed,run_kind,per_miner_domain_size,per_miner_domain_size_max,C_nonce,U_nonce_run,R_nonce,rho_nonce,cross_miner_m_max,cross_miner_M_ge2,rho_exact_secondary,domain_sweeps_per_miner
primary,ND-PW-OFFSET,100,5516199827559636311,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823697.0
primary,ND-PC,100,5516199827559636311,physical,42949672,42949673,233999999782070517780,4294967296,233999999777775550484,0.9999999999816455,1,0,0.0,544823705.55
primary,ND-PC-NOLP,100,5516199827559636311,derived,42949672,42949673,233999999782070517780,4294967296,233999999777775550484,0.9999999999816455,1,0,0.0,544823705.55
primary,ND-PW,100,676253669661655881,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823698.0
primary,ND-PW-OFFSET,100,676253669661655881,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823698.0
primary,ND-PC,100,676253669661655881,physical,42949672,42949673,233999999782070517772,4294967296,233999999777775550476,0.9999999999816455,1,0,0.0,544823705.57
primary,ND-PC-NOLP,100,676253669661655881,derived,42949672,42949673,233999999782070517772,4294967296,233999999777775550476,0.9999999999816455,1,0,0.0,544823705.57
primary,ND-PW,100,4902971022134724746,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823700.0
primary,ND-PW-OFFSET,100,4902971022134724746,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823700.0
primary,ND-PC,100,4902971022134724746,physical,42949672,42949673,233999999782070517776,4294967296,233999999777775550480,0.9999999999816455,1,0,0.0,544823705.56
primary,ND-PC-NOLP,100,4902971022134724746,derived,42949672,42949673,233999999782070517776,4294967296,233999999777775550480,0.9999999999816455,1,0,0.0,544823705.56
primary,ND-PW,100,7985863793510020389,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823697.0
primary,ND-PW-OFFSET,100,7985863793510020389,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823697.0
primary,ND-PC,100,7985863793510020389,physical,42949672,42949673,233999999782070517776,4294967296,233999999777775550480,0.9999999999816455,1,0,0.0,544823705.56
primary,ND-PC-NOLP,100,7985863793510020389,derived,42949672,42949673,233999999782070517776,4294967296,233999999777775550480,0.9999999999816455,1,0,0.0,544823705.56
primary,ND-PW,100,5259580605389323177,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823697.0
primary,ND-PW-OFFSET,100,5259580605389323177,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823697.0
primary,ND-PC,100,5259580605389323177,physical,42949672,42949673,233999999782070517780,4294967296,233999999777775550484,0.9999999999816455,1,0,0.0,544823705.55
primary,ND-PC-NOLP,100,5259580605389323177,derived,42949672,42949673,233999999782070517780,4294967296,233999999777775550484,0.9999999999816455,1,0,0.0,544823705.55
primary,ND-PW,100,14894895525097951974,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823700.0
primary,ND-PW-OFFSET,100,14894895525097951974,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823700.0
primary,ND-PC,100,14894895525097951974,physical,42949672,42949673,233999999782070517776,4294967296,233999999777775550480,0.9999999999816455,1,0,0.0,544823705.56
primary,ND-PC-NOLP,100,14894895525097951974,derived,42949672,42949673,233999999782070517776,4294967296,233999999777775550480,0.9999999999816455,1,0,0.0,544823705.56
primary,ND-PW,100,14255052758501613198,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823692.0
primary,ND-PW-OFFSET,100,14255052758501613198,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823692.0
primary,ND-PC,100,14255052758501613198,physical,42949672,42949673,233999999782070517792,4294967296,233999999777775550496,0.9999999999816455,1,0,0.0,544823705.52
primary,ND-PC-NOLP,100,14255052758501613198,derived,42949672,42949673,233999999782070517792,4294967296,233999999777775550496,0.9999999999816455,1,0,0.0,544823705.52
primary,ND-PW,100,14970427933435388700,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823693.0
primary,ND-PW-OFFSET,100,14970427933435388700,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823693.0
primary,ND-PC,100,14970427933435388700,physical,42949672,42949673,233999999782070517784,4294967296,233999999777775550488,0.9999999999816455,1,0,0.0,544823705.54
primary,ND-PC-NOLP,100,14970427933435388700,derived,42949672,42949673,233999999782070517784,4294967296,233999999777775550488,0.9999999999816455,1,0,0.0,544823705.54
primary,ND-PW,100,6530983822519173908,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823690.0
primary,ND-PW-OFFSET,100,6530983822519173908,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823690.0
primary,ND-PC,100,6530983822519173908,physical,42949672,42949673,233999999782070517792,4294967296,233999999777775550496,0.9999999999816455,1,0,0.0,544823705.52
primary,ND-PC-NOLP,100,6530983822519173908,derived,42949672,42949673,233999999782070517792,4294967296,233999999777775550496,0.9999999999816455,1,0,0.0,544823705.52
primary,ND-PW,100,16478255227937338382,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823696.0
primary,ND-PW-OFFSET,100,16478255227937338382,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823696.0
primary,ND-PC,100,16478255227937338382,physical,42949672,42949673,233999999782070517780,4294967296,233999999777775550484,0.9999999999816455,1,0,0.0,544823705.55
primary,ND-PC-NOLP,100,16478255227937338382,derived,42949672,42949673,233999999782070517780,4294967296,233999999777775550484,0.9999999999816455,1,0,0.0,544823705.55
primary,ND-PW,100,447822293856133746,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823697.0
primary,ND-PW-OFFSET,100,447822293856133746,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823697.0
primary,ND-PC,100,447822293856133746,physical,42949672,42949673,233999999782070517772,4294967296,233999999777775550476,0.9999999999816455,1,0,0.0,544823705.57
primary,ND-PC-NOLP,100,447822293856133746,derived,42949672,42949673,233999999782070517772,4294967296,233999999777775550476,0.9999999999816455,1,0,0.0,544823705.57
primary,ND-PW,100,9364596802063509215,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823695.0
primary,ND-PW-OFFSET,100,9364596802063509215,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823695.0
primary,ND-PC,100,9364596802063509215,physical,42949672,42949673,233999999782070517780,4294967296,233999999777775550484,0.9999999999816455,1,0,0.0,544823705.55
primary,ND-PC-NOLP,100,9364596802063509215,derived,42949672,42949673,233999999782070517780,4294967296,233999999777775550484,0.9999999999816455,1,0,0.0,544823705.55
primary,ND-PW,100,6483795830361016413,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823700.0
primary,ND-PW-OFFSET,100,6483795830361016413,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823700.0
