tag,arm,N,seed,run_kind,rounds,accepted_blocks,W_total,t_active_miner_s,t_low_miner_s,F_low,state_time_conservation_rel,work_identity_rel
primary,ND-PW-OFFSET,100,14894895525097951974,physical,16,15,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,14894895525097951974,physical,16,15,233999999782070517776,999999.9990686774,0.0009313225736068376,9.313225736068376e-10,0.0,0.0
primary,ND-PC-NOLP,100,14894895525097951974,derived,16,15,233999999782070517776,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,14255052758501613198,physical,28,27,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,14255052758501613198,physical,28,27,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,14255052758501613198,physical,28,27,233999999782070517792,999999.9990686774,0.0009313225735384616,9.313225735384615e-10,0.0,0.0
primary,ND-PC-NOLP,100,14255052758501613198,derived,28,27,233999999782070517792,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,14970427933435388700,physical,26,25,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,14970427933435388700,physical,26,25,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,14970427933435388700,physical,26,25,233999999782070517784,999999.9990686774,0.0009313225735726496,9.313225735726496e-10,0.0,0.0
primary,ND-PC-NOLP,100,14970427933435388700,derived,26,25,233999999782070517784,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,6530983822519173908,physical,26,25,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,6530983822519173908,physical,26,25,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,6530983822519173908,physical,26,25,233999999782070517792,999999.9990686774,0.0009313225735384616,9.313225735384615e-10,0.0,0.0
primary,ND-PC-NOLP,100,6530983822519173908,derived,26,25,233999999782070517792,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,16478255227937338382,physical,19,18,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,16478255227937338382,physical,19,18,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,16478255227937338382,physical,19,18,233999999782070517780,999999.9990686774,0.0009313225735897436,9.313225735897435e-10,0.0,0.0
primary,ND-PC-NOLP,100,16478255227937338382,derived,19,18,233999999782070517780,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,447822293856133746,physical,16,15,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,447822293856133746,physical,16,15,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,447822293856133746,physical,16,15,233999999782070517772,999999.9990686774,0.0009313225736239316,9.313225736239316e-10,0.0,0.0
primary,ND-PC-NOLP,100,447822293856133746,derived,16,15,233999999782070517772,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,9364596802063509215,physical,19,18,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,9364596802063509215,physical,19,18,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,9364596802063509215,physical,19,18,233999999782070517780,999999.9990686774,0.0009313225735897436,9.313225735897435e-10,0.0,0.0
primary,ND-PC-NOLP,100,9364596802063509215,derived,19,18,233999999782070517780,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,6483795830361016413,physical,15,14,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,6483795830361016413,physical,15,14,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,6483795830361016413,physical,15,14,233999999782070517768,999999.9990686774,0.0009313225736410257,9.313225736410256e-10,0.0,0.0
primary,ND-PC-NOLP,100,6483795830361016413,derived,15,14,233999999782070517768,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,13726057523507487050,physical,23,22,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,13726057523507487050,physical,23,22,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,13726057523507487050,physical,23,22,233999999782070517788,999999.9990686774,0.0009313225735555555,9.313225735555555e-10,0.0,0.0
