tag,arm,N,seed,run_kind,alpha_case,alpha,energy_J,energy_kWh,saving_vs_ND_PW,energy_per_block_J
pilot,ND-PW-OFFSET,500,18045328320792528348,physical,LP25,0.25,17550000000.0,4875.0,0.0,975000000.0
pilot,ND-PW-OFFSET,500,18045328320792528348,physical,LP50,0.5,17550000000.0,4875.0,0.0,975000000.0
pilot,ND-PC,500,18045328320792528348,physical,LP0,0.0,17549999166.41977,4874.999768449936,4.7497449084943355e-08,974999953.6899872
pilot,ND-PC,500,18045328320792528348,physical,LP10,0.1,17549999249.777794,4874.999791604942,4.2747704043222257e-08,974999958.3209885
pilot,ND-PC,500,18045328320792528348,physical,LP25,0.25,17549999374.814827,4874.999826337452,3.5623086813707516e-08,974999965.2674904
pilot,ND-PC,500,18045328320792528348,physical,LP50,0.5,17549999583.209885,4874.999884224968,2.3748724542471678e-08,974999976.8449936
pilot,ND-PC-NOLP,500,18045328320792528348,derived,LP0,0.0,17550000000.0,4875.0,0.0,975000000.0
pilot,ND-PC-NOLP,500,18045328320792528348,derived,LP10,0.1,17550000000.0,4875.0,0.0,975000000.0
pilot,ND-PC-NOLP,500,18045328320792528348,derived,LP25,0.25,17550000000.0,4875.0,0.0,975000000.0
pilot,ND-PC-NOLP,500,18045328320792528348,derived,LP50,0.5,17550000000.0,4875.0,0.0,975000000.0
