N,boot_ci_high,boot_ci_low,cohens_d,comparison,mean_diff,median_diff,metric,n,other_mean,pocol_mean,tost_ci_high,tost_ci_low,tost_equivalent,tost_margin,tost_mean_diff
300,23739016903121.105,-300186084181079.1,-0.1549191813223829,pocol_minus_independent_header_pow,-132387233549220.0,-91329140699550.0,total_attempts,100,2483357042058900.0,2350969808509680.0,,,,,
300,0.009903636588705819,-0.12523407767254188,-0.15491918132240032,pocol_minus_independent_header_pow,-0.05523038529379539,-0.03810143541906347,mean_discovery_time_s,100,1.0360271347763501,0.9807967494825549,,,,,
300,0.0,0.0,nan,pocol_minus_independent_header_pow,0.0,0.0,accepted_blocks,100,17.0,17.0,,,,,
400,-3.492465490042514,-3.773190225665728,-5.061136162138421,pocol_minus_common_template_duplicate_pow,-3.631036284597509,-3.659515706837718,total_energy_kwh,100,3.6418447763749975,0.01080849177748798,,,,,
400,-5.84784919262932e+17,-6.317899912742612e+17,-5.061136162138428,pocol_minus_common_template_duplicate_pow,-6.079874709093503e+17,-6.127561183542262e+17,total_attempts,100,6.097972648813948e+17,1809793972044484.5,,,,,
400,-189.9784018019606,-205.4648303738541,-5.017822596584864,pocol_minus_common_template_duplicate_pow,-198.01179840408437,-197.321868071687,mean_discovery_time_s,100,198.7668230065226,0.7550246024382554,,,,,
400,2.66,2.06,1.5448489155076466,pocol_minus_common_template_duplicate_pow,2.36,2.0,accepted_blocks,100,14.64,17.0,,,,,
400,0.00037564545848970256,-0.0011614925322102644,-0.09658858185777655,pocol_minus_independent_header_pow,-0.0003848945906545091,9.32768373609217e-05,total_energy_kwh,100,0.01119338636814249,0.01080849177748798,0.00025836617129431543,-0.0010436770383138803,False,0.00011193386368142491,-0.0003848945906545091
400,62898774444823.27,-194482470509620.0,-0.0965885818577454,pocol_minus_independent_header_pow,-64447466342132.0,15618447186200.0,total_attempts,100,1874241438386615.8,1809793972044484.5,,,,,
400,0.026240623464660037,-0.08113578244039461,-0.09658858185777705,pocol_minus_independent_header_pow,-0.026886719375114883,0.0065158311163989735,mean_discovery_time_s,100,0.7819113218133701,0.7550246024382554,,,,,
400,0.0,0.0,nan,pocol_minus_independent_header_pow,0.0,0.0,accepted_blocks,100,17.0,17.0,,,,,
500,-3.536098501639659,-3.8140877908762554,-5.255115009801798,pocol_minus_common_template_duplicate_pow,-3.674838186465085,-3.782759484830565,total_energy_kwh,100,3.6836574665775834,0.008819280112498204,,,,,
500,-5.920909119024531e+17,-6.386379556816052e+17,-5.255115009801786,pocol_minus_common_template_duplicate_pow,-6.153217428499671e+17,-6.333922858320934e+17,total_attempts,100,6.167984595199667e+17,1476716669999690.2,,,,,
500,-191.3620074081586,-207.35925292908198,-4.978254655751154,pocol_minus_common_template_duplicate_pow,-199.07687175600577,-195.57028202258232,mean_discovery_time_s,100,199.69294045437857,0.6160686983728403,,,,,
500,2.75,2.1397500000000003,1.5986011054283662,pocol_minus_common_template_duplicate_pow,2.44,2.0,accepted_blocks,100,14.56,17.0,,,,,
500,0.00042992207307763716,-0.0008358032104878697,-0.05946805452395506,pocol_minus_independent_header_pow,-0.00019663600888862,7.887566730196971e-05,total_energy_kwh,100,0.009015916121386825,0.008819280112498204,0.0003379185982462641,-0.0007380096244701955,False,9.015916121386825e-05,-0.00019663600888862
500,71986951771131.36,-139948444546797.25,-0.05946805452399513,pocol_minus_independent_header_pow,-32925099162765.0,13207088478500.0,total_attempts,100,1509641769162454.8,1476716669999690.2,,,,,
500,0.03003210336718265,-0.058384832935672294,-0.05946805452395708,pocol_minus_independent_header_pow,-0.013735961269397906,0.005509840833732377,mean_discovery_time_s,100,0.6298046596422382,0.6160686983728403,,,,,
500,0.0,0.0,nan,pocol_minus_independent_header_pow,0.0,0.0,accepted_blocks,100,17.0,17.0,,,,,
