M,N,accepted_block_interval_s,accepted_blocks,active_miner_seconds,co2_kg,duplicate_header_evaluations,empty_rounds,energy_fairness_cv,energy_per_accepted_block_kwh,energy_per_tx_kwh,exhausted_templates,hardware,idle_miner_seconds,idle_ratio,mean_discovery_time_s,mean_post_discovery_idle_s,median_discovery_time_s,n_rounds,p_success,pct_time_active,per_miner_energy_kwh_max,per_miner_energy_kwh_min,placement,protocol,round_seconds,seed,sim_seconds,sleep_miner_seconds,sleep_ratio,throughput_tx_per_s,total_attempts,total_energy_j,total_energy_kwh,total_hashes,unique_candidate_evaluations,use_sleep,winner_max_share,workload_fairness_cv
846000000000000,100,685.7142857142857,15,344388.6273590288,1.290517458634193,480732084930468987,2,1.0767103497600122e-15,0.1933359488590551,9.666797442952756e-05,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,675611.3726409723,0.0,149.59241823935292,450.4075817606473,146.23930598968946,17,2.364066193853428e-15,33.76359091755184,0.029000392328858267,0.029000392328858267,last,common_template_duplicate_pow,600.0,35,10200.0,0.0,0.0,2.9411764705882355,485587964576231300,10440141.238388976,2.9000392328858267,4.855879645762308e+17,4855879645762313,False,1.0,0.0
846000000000000,100,750.0,13,489981.04266475426,1.8360916700638867,683964537455730663,4,1.6817285528730033e-15,0.31738836129021375,0.0001586941806451069,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,530018.9573352457,0.0,192.2931097421188,407.70689025788124,123.06432939498609,17,2.364066193853428e-15,48.03735712399551,0.04126048696772787,0.04126048696772787,last,common_template_duplicate_pow,600.0,36,10200.0,0.0,0.0,2.549019607843137,690873270157303700,14853775.308382004,4.126048696772779,6.908732701573036e+17,6908732701573037,False,1.0,0.0
846000000000000,100,640.0,16,399229.48135746416,1.4960209912976203,557284433026884354,1,1.857612309372989e-15,0.2101153077665197,0.00010505765388325986,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,620770.5186425358,0.0,212.01842584841518,387.9815741515846,182.89815950659204,17,2.364066193853428e-15,39.14014523112394,0.03361844924264314,0.03361844924264314,last,common_template_duplicate_pow,600.0,40,10200.0,0.0,0.0,3.1372549019607843,562913568714024600,12102641.727351535,3.3618449242643154,5.6291356871402374e+17,5629135687140246,False,1.0,0.0
846000000000000,100,800.0,13,452701.52274463914,1.6963952123865729,631926055599242283,4,1.0921303354403946e-15,0.2932403132906781,0.00014662015664533904,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,567298.4772553605,0.0,163.61655595741496,436.3834440425849,142.48483443229088,17,2.364066193853428e-15,44.38250222986658,0.03812124072778817,0.03812124072778817,last,common_template_duplicate_pow,600.0,42,10200.0,0.0,0.0,2.549019607843137,638309147069941700,13723646.662003735,3.8121240727788153,6.383091470699406e+17,6383091470699417,False,1.0,0.0
846000000000000,100,738.4615384615385,14,566293.8473293921,2.1220564171935594,790489581487100649,3,2.3281626348633057e-15,0.34061900757521013,0.00017030950378760508,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,453706.15267060755,0.0,275.92417666385256,324.0758233361474,265.1042736930135,17,2.364066193853428e-15,55.51900464013649,0.047686661060529344,0.047686661060529344,last,common_template_duplicate_pow,600.0,37,10200.0,0.0,0.0,2.7450980392156863,798474324734445100,17167197.98179059,4.768666106052942,7.984743247344466e+17,7984743247344451,False,1.0,0.0
846000000000000,100,640.0,16,394347.6863159974,1.4777275831244183,550469935328501529,1,6.268694898507687e-16,0.20754600886578908,0.00010377300443289455,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,625652.3136840017,0.0,208.9673039474987,391.0326960525012,268.057046538991,17,2.364066193853428e-15,38.66153787411739,0.03320736141852633,0.03320736141852633,last,common_template_duplicate_pow,600.0,38,10200.0,0.0,0.0,3.1372549019607843,556030237705557100,11954650.11066945,3.3207361418526253,5.560302377055565e+17,5560302377055571,False,1.0,0.0
846000000000000,100,738.4615384615385,14,472550.7474285438,1.770775633108855,659633588335505322,3,2.266888050838447e-15,0.28423364897413406,0.00014211682448706702,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,547449.2525714563,0.0,208.96481959181747,391.03518040818227,170.32216617650693,17,2.364066193853428e-15,46.32850464985724,0.03979271085637868,0.03979271085637868,last,common_template_duplicate_pow,600.0,39,10200.0,0.0,0.0,2.7450980392156863,666296553874247800,14325375.908296356,3.9792710856378766,6.662965538742476e+17,6662965538742478,False,1.0,0.0
846000000000000,100,780.0,11,574679.8492761784,2.1534810376970137,802195601604616593,6,2.867736221667305e-16,0.43993483916180054,0.00021996741958090027,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,445320.15072382183,0.0,195.16349934197981,404.8365006580201,161.6245877980732,17,2.364066193853428e-15,56.34116169374298,0.048392832307798145,0.048392832307798145,last,common_template_duplicate_pow,600.0,41,10200.0,0.0,0.0,2.156862745098039,810298587479410700,17421419.630807303,4.839283230779806,8.102985874794111e+17,8102985874794107,False,1.0,0.0
846000000000000,100,800.0,13,431615.1144278295,1.617378729521237,602491538229807996,4,1.5273146509860388e-15,0.279581457134181,0.0001397907285670905,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,588384.8855721699,0.0,147.39624186756143,452.60375813243866,119.78550012814048,17,2.364066193853428e-15,42.31520729684603,0.03634558942744351,0.03634558942744351,last,common_template_duplicate_pow,600.0,43,10200.0,0.0,0.0,2.549019607843137,608577311343240400,13084412.19387967,3.6345589427443525,6.0857731134324e+17,6085773113432404,False,1.0,0.0
846000000000000,100,685.7142857142857,15,438256.35570267873,1.6422652592476037,611762046925368339,2,1.6921913149329107e-15,0.24603224857642003,0.00012301612428821003,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,581743.6442973212,0.0,212.17090380178536,387.8290961982145,184.23454691026473,17,2.364066193853428e-15,42.96630938261556,0.03690483728646301,0.03690483728646301,last,common_template_duplicate_pow,600.0,46,10200.0,0.0,0.0,2.9411764705882355,617941461540776100,13285741.423126683,3.6904837286463006,6.179414615407748e+17,6179414615407761,False,1.0,0.0
846000000000000,100,738.4615384615385,14,520093.2843637697,1.9489303951088872,725998215643384662,3,6.337440875237e-16,0.3128299189580878,0.00015641495947904392,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,499906.7156362304,0.0,242.92377454554898,357.0762254544511,223.0576171368382,17,2.364066193853428e-15,50.98953768272251,0.04379618865413235,0.04379618865413235,last,common_template_duplicate_pow,600.0,44,10200.0,0.0,0.0,2.7450980392156863,733331530952913800,15766627.915487628,4.37961886541323,7.333315309529135e+17,7333315309529138,False,1.0,0.0
