N,boot_ci_high,boot_ci_low,cohens_d,comparison,hardware,mean_diff,median_diff,metric,n,other_mean,pocol_mean,tost_ci_high,tost_ci_low,tost_equivalent,tost_margin,tost_mean_diff
500,-235.52,-337.92,-1.0795394413384838,pocol_minus_common_template_duplicate_baseline,H1,-286.72,-512.0,total_attempts,100,1.4382e+18,1.4382e+18,,,,,
500,1.7763568394002505e-17,-3.019806626980426e-16,-0.17222926972008737,pocol_minus_independent_header_pow,H1,-1.4210854715202004e-16,0.0,total_energy_kwh,100,8.589250000000076,8.589250000000076,0.0,-2.842170943040401e-16,True,0.08589250000000076,-1.4210854715202004e-16
500,0.04627579949559422,-0.040349388379660504,0.011891633247020875,pocol_minus_independent_header_pow,H1,0.0026025095302845466,-1.1102230246251565e-16,energy_per_accepted_block_kwh,100,0.5265829150608771,0.5291854245911616,,,,,
500,65.19962459248453,-38.1423596411019,0.04287141695323493,pocol_minus_independent_header_pow,H1,11.054767566622147,3.3170702578774183,mean_block_interval_s,100,584.3185941031098,595.3733616697319,,,,,
500,1.02,-1.35,-0.022224575653144667,pocol_minus_independent_header_pow,H1,-0.13,0.0,accepted_blocks,100,17.32,17.19,,,,,
500,25.6,-102.4,-0.120882364824077,pocol_minus_independent_header_pow,H1,-40.96,0.0,total_attempts,100,1.4382e+18,1.4382e+18,,,,,
100,6.217248937900876e-16,2.8377300509419007e-16,0.5215151215238365,pocol_minus_common_template_duplicate_baseline,H2,4.440892098500626e-16,0.0,total_energy_kwh,100,8.589249999999998,8.589249999999998,,,,,
100,-8.044702619491437,-8.1517237166832,-74.88085316201862,pocol_minus_common_template_duplicate_baseline,H2,-8.096080061786411,-8.052421875000002,energy_per_accepted_block_kwh,15,8.58925,0.5181274220528698,,,,,
100,nan,nan,nan,pocol_minus_common_template_duplicate_baseline,H2,nan,nan,mean_block_interval_s,0,nan,574.1014811910403,,,,,
100,18.03025,16.56975,4.327985724899851,pocol_minus_common_template_duplicate_baseline,H2,17.28,17.0,accepted_blocks,100,0.15,17.43,,,,,
100,2.56,-71.68,-0.18284451258437912,pocol_minus_common_template_duplicate_baseline,H2,-35.84,0.0,total_attempts,100,1.4382e+18,1.4382e+18,,,,,
