protocol,n_miners,seed,config_hash,sim_time,aggregate_hashrate_THs,aggregate_power_W,energy_kWh,co2_kg,created_blocks,accepted_main_blocks,stale_blocks,stale_rate_pct,accepted_block_interval_s,created_block_interval_s,throughput_tx_per_s,confirmation_time_6blk_s,energy_per_accepted_block_kWh,energy_per_tx_kWh,total_hashes,active_mining_time_s,exhausted_rounds,_cmd
PoCol,100,21,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333343,3.7472708333333395,17,17,0,0.0,596.2668591937867,588.2352941176471,3.1113,3577.60115516272,0.49534313725490253,0.0002706532103408011,1.41e+18,1000000.0,2,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 21
PoCol,100,22,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333345,3.7472708333333395,16,16,0,0.0,625.2468797823319,625.0,2.9425,3751.4812786939915,0.5263020833333341,0.00028617955253469314,1.4099999999999997e+18,1000000.0,3,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 22
PoCol,100,23,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333345,3.7472708333333395,21,21,0,0.0,484.47695332410376,476.1904761904762,3.8586,2906.8617199446226,0.40099206349206407,0.00021823545672869292,1.41e+18,1000000.0,5,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 23
PoCol,100,24,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333343,3.7472708333333395,18,18,0,0.0,524.0498035426956,555.5555555555555,3.3474,3144.2988212561736,0.4678240740740746,0.00025156340244169635,1.41e+18,1000000.0,4,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 24
PoCol,100,25,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333343,3.747270833333338,22,22,0,0.0,449.2276084831642,454.54545454545456,4.0797,2695.365650898985,0.38276515151515195,0.00020640815092613042,1.4100000000000003e+18,1000000.0,2,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 25
PoCol,100,26,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333345,3.7472708333333395,16,16,0,0.0,582.4147049572756,625.0,2.9423,3494.4882297436534,0.5263020833333341,0.00028619900531330405,1.4099999999999997e+18,1000000.0,1,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 26
PoCol,100,27,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333345,3.7472708333333395,21,21,0,0.0,489.1612381176307,476.1904761904762,3.8934,2934.967428705784,0.40099206349206407,0.0002162848238900022,1.4099999999999997e+18,1000000.0,3,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 27
PoCol,100,28,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333343,3.7472708333333395,26,26,0,0.0,346.5844485352601,384.61538461538464,4.7673,2079.506691211561,0.32387820512820553,0.0001766373698599489,1.4099999999999997e+18,1000000.0,1,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 28
PoCol,100,29,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333343,3.7472708333333395,18,18,0,0.0,518.7163898579963,555.5555555555555,3.3345,3112.298339147978,0.4678240740740746,0.0002525366121857353,1.41e+18,1000000.0,1,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 29
PoCol,100,30,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333343,3.747270833333338,14,14,0,0.0,603.6087674899522,714.2857142857143,2.5449,3621.6526049397135,0.601488095238096,0.0003308905392484319,1.4100000000000003e+18,1000000.0,7,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 30
PoCol,200,1,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,17,17,0,0.0,511.9838318959605,588.2352941176471,3.1382,3071.902991375763,0.49534313725490065,0.0002683332271153308,1.41e+18,2000000.0,1,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 1
PoCol,200,2,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,23,23,0,0.0,388.738904808983,434.7826086956522,4.2134,2332.433428853898,0.36612318840579616,0.00019985838831664004,1.41e+18,2000000.0,2,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 2
PoCol,200,3,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,19,19,0,0.0,516.7917574123657,526.3157894736842,3.5207,3100.7505444741937,0.44320175438596376,0.00023918065536209591,1.4099999999999997e+18,2000000.0,2,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 3
PoCol,200,4,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,15,15,0,0.0,683.9907328119054,666.6666666666666,2.7513,4103.944396871433,0.5613888888888874,0.00030606743478840226,1.4100000000000003e+18,2000000.0,2,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 4
PoCol,200,5,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,19,19,0,0.0,498.0240556519079,526.3157894736842,3.4798,2988.144333911447,0.44320175438596376,0.00024199187692779215,1.4099999999999997e+18,2000000.0,2,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 5
