protocol,n_miners,metric,mean,median,std,ci95_low,ci95_high,min,max,n
PoW,300,energy_kWh,8.420833333333293,8.420833333333293,0.0,8.420833333333293,8.420833333333293,8.420833333333293,8.420833333333293,30
PoW,300,co2_kg,3.747270833333359,3.7472708333333586,4.516810283266961e-16,3.747270833333359,3.747270833333359,3.7472708333333586,3.7472708333333586,30
PoW,300,created_blocks,15.1,14.5,3.8268560968772913,13.730577133057233,16.469422866942768,7.0,23.0,30
PoW,300,accepted_main_blocks,15.1,14.5,3.8268560968772913,13.730577133057233,16.469422866942768,7.0,23.0,30
PoW,300,stale_blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoW,300,stale_rate_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoW,300,accepted_block_interval_s,670.4232546687958,663.0040073428107,240.67886552121917,584.2974287451227,756.549080592469,407.343248639055,1494.350343046307,30
PoW,300,created_block_interval_s,712.0659449657295,690.4761904761905,219.0331828936465,633.6859270918997,790.4459628395593,434.7826086956522,1428.5714285714287,30
PoW,300,throughput_tx_per_s,2.7837799999999997,2.67125,0.7035878973101934,2.532004304470978,3.0355556955290215,1.2989,4.2384,30
PoW,300,confirmation_time_6blk_s,4022.5395280127723,3978.024044056864,1444.0731931273147,3505.784572470734,4539.2944835548105,2444.05949183433,8966.102058277842,30
PoW,300,energy_per_accepted_block_kWh,0.5996188644898885,0.5814384920634894,0.18444419276169058,0.533616357771968,0.6656213712078091,0.3661231884057954,1.2029761904761849,30
PoW,300,energy_per_tx_kWh,0.0003250151462160452,0.0003154129294666374,9.921880930368552e-05,0.00028951015129288294,0.00036052014113920744,0.00019867953315716528,0.0006483049760053348,30
PoW,300,total_hashes,1.41e+18,1.41e+18,0.0,1.41e+18,1.41e+18,1.41e+18,1.41e+18,30
PoW,300,active_mining_time_s,3000000.0,3000000.0,0.0,3000000.0,3000000.0,3000000.0,3000000.0,30
PoW,300,exhausted_rounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoW,400,energy_kWh,8.420833333333313,8.420833333333311,1.8067241133067846e-15,8.420833333333313,8.420833333333313,8.420833333333311,8.420833333333311,30
PoW,400,co2_kg,3.747270833333305,3.7472708333333054,4.516810283266961e-16,3.747270833333305,3.747270833333305,3.7472708333333054,3.7472708333333054,30
PoW,400,created_blocks,16.666666666666668,17.0,4.365486372028644,15.104497431178235,18.2288359021551,8.0,28.0,30
PoW,400,accepted_main_blocks,16.666666666666668,17.0,4.365486372028644,15.104497431178235,18.2288359021551,8.0,28.0,30
PoW,400,stale_blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoW,400,stale_rate_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoW,400,accepted_block_interval_s,598.9143307550128,566.1189875318792,160.4854769101744,541.4853403959704,656.3433211140551,365.38428673385056,1057.3476369023003,30
PoW,400,created_block_interval_s,644.6274618976194,588.2352941176471,188.60631484393372,577.135558920696,712.1193648745427,357.14285714285717,1250.0,30
PoW,400,throughput_tx_per_s,3.0742233333333338,3.1189,0.8030614412374055,2.7868514872668206,3.361595179399847,1.4744,5.1649,30
PoW,400,confirmation_time_6blk_s,3593.485984530077,3396.713925191275,962.9128614610464,3248.912042375823,3938.059926684331,2192.3057204031034,6344.0858214138025,30
PoW,400,energy_per_accepted_block_kWh,0.5428300418729521,0.49534313725490065,0.15882223429149542,0.4859962352411347,0.5996638485047695,0.30074404761904683,1.052604166666664,30
PoW,400,energy_per_tx_kWh,0.0002942077612313512,0.00026999409514960474,8.606459793553826e-05,0.00026340994039263874,0.0003250055820700637,0.00016303961999909603,0.000571136281425211,30
PoW,400,total_hashes,1.41e+18,1.41e+18,0.0,1.41e+18,1.41e+18,1.41e+18,1.41e+18,30
PoW,400,active_mining_time_s,4000000.0,4000000.0,0.0,4000000.0,4000000.0,4000000.0,4000000.0,30
PoW,400,exhausted_rounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoW,500,energy_kWh,8.420833333333414,8.420833333333418,3.613448226613569e-15,8.420833333333412,8.420833333333416,8.420833333333418,8.420833333333418,30
PoW,500,co2_kg,3.747270833333307,3.7472708333333076,4.516810283266961e-16,3.747270833333307,3.747270833333307,3.7472708333333076,3.7472708333333076,30
PoW,500,created_blocks,17.166666666666668,17.0,3.696068118992111,15.844045676539524,18.48928765679381,11.0,27.0,30
PoW,500,accepted_main_blocks,17.166666666666668,17.0,3.696068118992111,15.844045676539524,18.48928765679381,11.0,27.0,30
PoW,500,stale_blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoW,500,stale_rate_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoW,500,accepted_block_interval_s,566.4754859199275,547.2284811098025,139.09615994248216,516.7005643375361,616.2504075023188,379.65782222520306,876.11090593986,30
PoW,500,created_block_interval_s,608.3066954067984,588.2352941176471,128.84558880480031,562.1998935968279,654.413497216769,370.3703703703704,909.0909090909091,30
PoW,500,throughput_tx_per_s,3.1636100000000003,3.1581,0.6751641477805792,2.922005612611326,3.4052143873886744,2.0426,4.9486,30
PoW,500,confirmation_time_6blk_s,3398.8529155195656,3283.370886658815,834.576959654893,3100.2033860252172,3697.502445013914,2277.9469333512184,5256.66543563916,30
PoW,500,energy_per_accepted_block_kWh,0.5122449297571467,0.4953431372549069,0.10849872290604333,0.473419160399667,0.5510706991146265,0.31188271604938583,0.7655303030303107,30
PoW,500,energy_per_tx_kWh,0.00027778655551328384,0.0002666474084216568,5.844937826457193e-05,0.00025687071412081383,0.00029870239690575384,0.00017016597286774883,0.0004122605176409193,30
PoW,500,total_hashes,1.41e+18,1.41e+18,0.0,1.41e+18,1.41e+18,1.41e+18,1.41e+18,30
PoW,500,active_mining_time_s,5000000.0,5000000.0,0.0,5000000.0,5000000.0,5000000.0,5000000.0,30
PoW,500,exhausted_rounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoCol,100,energy_kWh,8.420833333333345,8.420833333333343,1.4378315665204502e-15,8.420833333333345,8.420833333333345,8.420833333333343,8.420833333333345,30
PoCol,100,co2_kg,3.74727083333334,3.7472708333333395,7.093932994683876e-16,3.7472708333333395,3.7472708333333404,3.747270833333338,3.74727083333334,30
PoCol,100,created_blocks,18.466666666666665,18.0,3.7667632985265267,17.11874773144144,19.81458560189189,9.0,26.0,30
PoCol,100,accepted_main_blocks,18.433333333333334,18.0,3.784572433676904,17.079041480941118,19.78762518572555,9.0,26.0,30
PoCol,100,stale_blocks,0.03333333333333333,0.0,0.18257418583505533,-0.03199999999999998,0.09866666666666665,0.0,1.0,30
PoCol,100,stale_rate_pct,0.196,0.0,1.0735362127101253,-0.18815999999999988,0.5801599999999999,0.0,5.88,30
PoCol,100,accepted_block_interval_s,533.3975211990917,515.5309459846974,117.47877961162068,491.3582798197361,575.4367625784473,346.5844485352601,959.4782466697675,30
PoCol,100,created_block_interval_s,569.4511275107586,555.5555555555555,149.9827553383018,515.7804877981887,623.1217672233286,384.61538461538464,1111.111111111111,30
PoCol,100,throughput_tx_per_s,3.3991200000000004,3.3504,0.6996507303031942,3.1487532015901456,3.649486798409855,1.6501,4.7673,30
PoCol,100,confirmation_time_6blk_s,3200.38512719455,3093.1856759081847,704.872677669724,2948.1496789184166,3452.6205754706834,2079.506691211561,5756.869480018605,30
PoCol,100,energy_per_accepted_block_kWh,0.4805572684939664,0.4678240740740746,0.12655789420195834,0.43526910768392,0.5258454293040128,0.32387820512820553,0.9356481481481492,30
PoCol,100,energy_per_tx_kWh,0.00026070796400016235,0.0002513383501940298,6.900194503291038e-05,0.0002360159350867414,0.0002853999929135833,0.0001766373698599489,0.000510322606710705,30
PoCol,100,total_hashes,1.41e+18,1.41e+18,207.21336663049715,1.41e+18,1.41e+18,1.4099999999999997e+18,1.4100000000000003e+18,30
PoCol,100,active_mining_time_s,1000000.0,1000000.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,30
PoCol,100,exhausted_rounds,3.1333333333333333,3.0,2.873581609136552,2.105035360804693,4.161631305861974,0.0,16.0,30
PoCol,200,energy_kWh,8.420833333333313,8.420833333333311,1.8067241133067846e-15,8.420833333333313,8.420833333333313,8.420833333333311,8.420833333333311,30
PoCol,200,co2_kg,3.747270833333345,3.7472708333333444,5.59306849654464e-16,3.747270833333345,3.747270833333345,3.7472708333333435,3.7472708333333444,30
PoCol,200,created_blocks,17.9,18.0,3.1985988311694573,16.7553961082691,19.044603891730898,12.0,25.0,30
PoCol,200,accepted_main_blocks,17.9,18.0,3.1985988311694573,16.7553961082691,19.044603891730898,12.0,25.0,30
PoCol,200,stale_blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoCol,200,stale_rate_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoCol,200,accepted_block_interval_s,543.8190908632034,512.726976544498,108.86563190192952,504.86202480777274,582.7761569186341,387.6338322805396,833.1330686373927,30
PoCol,200,created_block_interval_s,576.1265476072314,555.5555555555555,103.09062587227903,539.2360409189504,613.0170542955124,400.0,833.3333333333334,30
PoCol,200,throughput_tx_per_s,3.3021166666666657,3.31225,0.5887728477642016,3.091427008954887,3.5128063243784444,2.2168,4.5812,30
PoCol,200,confirmation_time_6blk_s,3262.9145451792215,3076.3618592669877,653.1937914115772,3029.1721488466374,3496.6569415118056,2325.8029936832377,4998.798411824357,30
PoCol,200,energy_per_accepted_block_kWh,0.48514656363092146,0.46782407407407284,0.08681089786994806,0.45408168279049826,0.5162114444713446,0.33683333333333243,0.7017361111111092,30
PoCol,200,energy_per_tx_kWh,0.0002629893804392328,0.0002542385554937753,4.713977074949411e-05,0.0002461206301197543,0.0002798581307587113,0.0001838128292441568,0.00037986436906050665,30
PoCol,200,total_hashes,1.41e+18,1.41e+18,196.00422233312676,1.41e+18,1.41e+18,1.4099999999999997e+18,1.4100000000000003e+18,30
PoCol,200,active_mining_time_s,2000000.0,2000000.0,4.3235565111285974e-11,2000000.0,2000000.0,2000000.0,2000000.0000000002,30
PoCol,200,exhausted_rounds,2.6,2.0,1.132589343358684,2.1947081085916236,3.0052918914083766,1.0,5.0,30
PoCol,300,energy_kWh,8.420833333333293,8.420833333333293,0.0,8.420833333333293,8.420833333333293,8.420833333333293,8.420833333333293,30
PoCol,300,co2_kg,3.747270833333359,3.7472708333333586,4.516810283266961e-16,3.747270833333359,3.747270833333359,3.7472708333333586,3.7472708333333586,30
PoCol,300,created_blocks,15.466666666666667,15.0,4.232333124667872,13.95214570880548,16.981187624527852,7.0,24.0,30
PoCol,300,accepted_main_blocks,15.466666666666667,15.0,4.232333124667872,13.95214570880548,16.981187624527852,7.0,24.0,30
PoCol,300,stale_blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoCol,300,stale_rate_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoCol,300,accepted_block_interval_s,657.6581347829156,612.1819775524632,223.33957915545068,577.737092797977,737.5791767678542,418.7624277646545,1577.277067625226,30
PoCol,300,created_block_interval_s,701.7611530769426,666.6666666666666,223.37342786277117,621.82799848765,781.6943076662352,416.6666666666667,1428.5714285714287,30
PoCol,300,throughput_tx_per_s,2.851306666666667,2.7613,0.7754453505426162,2.5738171117382684,3.1287962215950653,1.2999,4.3689,30
PoCol,300,confirmation_time_6blk_s,3945.9488086974934,3673.091865314779,1340.037474932704,3466.4225567878616,4425.475060607125,2512.5745665879267,9463.662405751356,30
PoCol,300,energy_per_accepted_block_kWh,0.5909413709868725,0.5613888888888863,0.18809904071277428,0.5236309937264727,0.6582517482472723,0.3508680555555539,1.2029761904761849,30
PoCol,300,energy_per_tx_kWh,0.0003201190535594731,0.00030495953523451496,0.00010079463608433714,0.0002840501562649815,0.0003561879508539647,0.00019274493198135213,0.0006478062415057538,30
PoCol,300,total_hashes,1.41e+18,1.41e+18,125.77374321677247,1.41e+18,1.41e+18,1.4099999999999997e+18,1.4100000000000003e+18,30
PoCol,300,active_mining_time_s,3000000.0,3000000.0,0.0,3000000.0,3000000.0,3000000.0,3000000.0,30
PoCol,300,exhausted_rounds,2.9,3.0,1.2689936278745482,2.445896462259425,3.354103537740575,1.0,6.0,30
PoCol,400,energy_kWh,8.420833333333313,8.420833333333311,1.8067241133067846e-15,8.420833333333313,8.420833333333313,8.420833333333311,8.420833333333311,30
PoCol,400,co2_kg,3.747270833333305,3.7472708333333054,4.285022476198176e-16,3.747270833333305,3.747270833333305,3.747270833333305,3.7472708333333054,30
PoCol,400,created_blocks,16.866666666666667,16.5,3.775906681098967,15.515475814008719,18.217857519324614,9.0,27.0,30
PoCol,400,accepted_main_blocks,16.866666666666667,16.5,3.775906681098967,15.515475814008719,18.217857519324614,9.0,27.0,30
PoCol,400,stale_blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoCol,400,stale_rate_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoCol,400,accepted_block_interval_s,581.0399897354374,558.4273561854781,156.5624606531587,525.0148327147141,637.0651467561607,341.9567227360888,1066.6059167939945,30
