time_s,H_effective,H_pipeline,floor_threshold,live_activation_requests,waking_miners,active_hashing_miners,accepted_block_event,round_boundary
40.786667,400.0,1400.0,3200.0,4,4,4,0,0
41.186667,0.0,1000.0,3200.0,4,4,0,0,0
41.586667,800.0,1000.0,3200.0,1,1,3,0,0
41.653333,1000.0,1000.0,3200.0,0,0,4,0,0
41.786667,600.0,600.0,3200.0,0,0,3,0,0
41.853333,300.0,300.0,3200.0,0,0,2,0,0
42.053333,100.0,100.0,3200.0,0,0,1,0,0
42.386667,0.0,0.0,3200.0,0,0,0,0,1
43.386667,2400.0,2400.0,3200.0,0,0,8,0,0
43.386667,3600.0,3600.0,3200.0,0,0,12,0,0
43.470000,2700.0,2700.0,3200.0,0,0,9,0,0
43.511667,300.0,300.0,3200.0,0,0,1,0,0
43.523333,0.0,0.0,3200.0,0,0,0,1,1
44.463333,300.0,300.0,3200.0,0,0,1,0,0
44.546667,0.0,0.0,3200.0,0,0,0,1,1
45.546667,2800.0,2800.0,3200.0,0,0,12,0,0
45.546667,4000.0,4000.0,3200.0,0,0,16,0,0
45.746667,2400.0,3200.0,3200.0,3,3,12,0,0
45.813333,1200.0,2200.0,3200.0,4,4,8,0,0
45.946667,400.0,1400.0,3200.0,4,4,4,0,0
46.346667,0.0,1000.0,3200.0,4,4,0,0,0
46.746667,800.0,1000.0,3200.0,1,1,3,0,0
46.813333,1000.0,1000.0,3200.0,0,0,4,0,0
46.946667,600.0,600.0,3200.0,0,0,3,0,0
47.013333,300.0,300.0,3200.0,0,0,2,0,0
47.213333,100.0,100.0,3200.0,0,0,1,0,0
47.546667,0.0,0.0,3200.0,0,0,0,0,1
48.536667,400.0,400.0,3200.0,0,0,1,0,0
48.599167,0.0,0.0,3200.0,0,0,0,1,1
49.599167,2800.0,2800.0,3200.0,0,0,8,0,0
49.661667,1200.0,1200.0,3200.0,0,0,4,0,0
49.682500,300.0,300.0,3200.0,0,0,1,0,0
49.695833,0.0,0.0,3200.0,0,0,0,1,1
50.695833,2400.0,2400.0,3200.0,0,0,8,0,0
50.695833,3600.0,3600.0,3200.0,0,0,12,0,0
50.820833,2800.0,2800.0,3200.0,0,0,8,0,0
50.862500,1600.0,1600.0,3200.0,0,0,4,0,0
50.883333,400.0,400.0,3200.0,0,0,1,0,0
50.888333,0.0,0.0,3200.0,0,0,0,1,1
51.828333,400.0,400.0,3200.0,0,0,1,0,0
51.890833,0.0,0.0,3200.0,0,0,0,1,1
52.890833,2800.0,2800.0,3200.0,0,0,8,0,0
52.953333,1200.0,1200.0,3200.0,0,0,4,0,0
52.974167,600.0,600.0,3200.0,0,0,2,0,0
53.004167,0.0,0.0,3200.0,0,0,0,2,1
54.004167,4000.0,4000.0,3200.0,0,0,16,0,0
54.204167,2400.0,3200.0,3200.0,3,3,12,0,0
54.270833,1200.0,2200.0,3200.0,4,4,8,0,0
54.404167,400.0,1400.0,3200.0,4,4,4,0,0
54.804167,0.0,1000.0,3200.0,4,4,0,0,0
55.204167,800.0,1000.0,3200.0,1,1,3,0,0
55.270833,1000.0,1000.0,3200.0,0,0,4,0,0
55.404167,600.0,600.0,3200.0,0,0,3,0,0
55.470833,300.0,300.0,3200.0,0,0,2,0,0
55.670833,100.0,100.0,3200.0,0,0,1,0,0
56.004167,0.0,0.0,3200.0,0,0,0,0,1
57.004167,2800.0,2800.0,3200.0,0,0,12,0,0
57.004167,4000.0,4000.0,3200.0,0,0,16,0,0
57.204167,2400.0,3200.0,3200.0,3,3,12,0,0
57.270833,1200.0,2200.0,3200.0,4,4,8,0,0
57.404167,400.0,1400.0,3200.0,4,4,4,0,0
57.804167,0.0,1000.0,3200.0,4,4,0,0,0
58.204167,800.0,1000.0,3200.0,1,1,3,0,0
58.270833,1000.0,1000.0,3200.0,0,0,4,0,0
58.404167,600.0,600.0,3200.0,0,0,3,0,0
58.470833,300.0,300.0,3200.0,0,0,2,0,0
58.520833,100.0,100.0,3200.0,0,0,1,0,0
58.594167,0.0,0.0,3200.0,0,0,0,1,1
59.559167,200.0,200.0,3200.0,0,0,1,0,0
59.594167,3000.0,3000.0,3200.0,0,0,9,0,0
59.656667,1400.0,1400.0,3200.0,0,0,5,0,0
59.677500,200.0,200.0,3200.0,0,0,1,0,0
59.684167,0.0,0.0,3200.0,0,0,0,1,1
60.639167,200.0,200.0,3200.0,0,0,1,0,0
60.684167,1800.0,1800.0,3200.0,0,0,5,0,0
60.746667,200.0,200.0,3200.0,0,0,1,0,0
60.764167,0.0,0.0,3200.0,0,0,0,1,1
