outcome,inactive_fraction,value
accepted_blocks,0.15,22
accepted_blocks,0.15,15
accepted_blocks,0.15,14
accepted_blocks,0.15,15
accepted_blocks,0.15,13
accepted_blocks,0.3,12
accepted_blocks,0.3,12
accepted_blocks,0.3,12
accepted_blocks,0.3,8
accepted_blocks,0.3,10
accepted_blocks,0.3,15
accepted_blocks,0.3,9
accepted_blocks,0.3,15
accepted_blocks,0.3,15
accepted_blocks,0.3,12
accepted_blocks,0.3,11
accepted_blocks,0.3,10
accepted_blocks,0.3,10
accepted_blocks,0.3,6
accepted_blocks,0.3,17
accepted_blocks,0.3,20
accepted_blocks,0.3,15
accepted_blocks,0.3,12
accepted_blocks,0.3,14
accepted_blocks,0.3,10
accepted_blocks,0.3,14
accepted_blocks,0.3,10
accepted_blocks,0.3,14
accepted_blocks,0.3,16
accepted_blocks,0.3,14
accepted_blocks,0.3,18
accepted_blocks,0.3,7
accepted_blocks,0.3,13
accepted_blocks,0.3,8
accepted_blocks,0.3,10
accepted_blocks,0.3,8
accepted_blocks,0.3,14
accepted_blocks,0.3,9
accepted_blocks,0.3,16
accepted_blocks,0.3,12
accepted_blocks,0.3,14
accepted_blocks,0.3,15
accepted_blocks,0.3,9
accepted_blocks,0.3,9
accepted_blocks,0.3,10
accepted_blocks,0.3,11
accepted_blocks,0.3,16
accepted_blocks,0.3,13
accepted_blocks,0.3,13
accepted_blocks,0.3,16
accepted_blocks,0.3,14
accepted_blocks,0.3,11
accepted_blocks,0.3,10
accepted_blocks,0.3,12
accepted_blocks,0.3,17
accepted_blocks,0.3,15
accepted_blocks,0.3,10
accepted_blocks,0.3,15
accepted_blocks,0.3,11
accepted_blocks,0.3,18
accepted_blocks,0.3,22
accepted_blocks,0.3,10
accepted_blocks,0.3,21
accepted_blocks,0.3,12
accepted_blocks,0.3,9
