scenario_id,seed,miners,domain_size,config_hash,total_candidate_evaluations,distinct_candidate_identities,duplicate_evaluations,duplicate_rate,overlap_headers,unsearched_candidates,active_energy_kwh,idle_energy_kwh,coordination_energy_kwh,total_energy_kwh,total_active_time_s,total_idle_time_s,finders,idle_policy,common_template
B2,1,20,2000,2ad55ba5842b82bf,2000,1416,584,0.292,525,584,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,3,False,True
B2,2,20,2000,1091c6c4f71eedfb,2000,1474,526,0.263,448,526,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,1,False,True
B2,3,20,2000,74486b2e9cf39d29,2000,1431,569,0.2845,468,569,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,2,False,True
B3,1,20,2000,89df8f434ee5311b,2000,2000,0,0.0,0,0,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,0,False,True
B3,2,20,2000,1bb085dbc75d73f8,2000,2000,0,0.0,0,0,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,1,False,True
B3,3,20,2000,64f9ef9f6f829e2b,2000,2000,0,0.0,0,0,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,1,False,True
C1,1,20,2000,70fbf4fe33074ee1,2000,2000,0,0.0,0,0,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,0,False,True
C1,2,20,2000,68278c1b1d86827d,2000,2000,0,0.0,0,0,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,1,False,True
C1,3,20,2000,e00a26b2291b58ce,2000,2000,0,0.0,0,0,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,1,False,True
C2,1,20,2000,6178549b6e3c6ad4,2000,2000,0,0.0,0,0,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,0,True,True
C2,2,20,2000,c2d05f4798388a63,2000,2000,0,0.0,0,0,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,1,True,True
C2,3,20,2000,7c77d2157e99c6a4,2000,2000,0,0.0,0,0,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,1,True,True
