N,M,mode,schedule,hardware,idle_ratio,sleep_ratio,use_sleep,slot_seconds,sim_seconds,per_miner_hashrate_hps,per_miner_active_power_w,aggregate_active_power_w,n_slots,successful_rounds,exhausted_rounds,active_miner_seconds,idle_miner_seconds,sleep_miner_seconds,unique_candidate_evaluations,duplicate_header_evaluations,total_energy_j,total_energy_kwh,co2_kg,energy_per_successful_round_kwh,avg_discovery_time_s,pct_time_active,slot_utilization,total_state_time_s,seed,p_success,deterministic
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,15,2,442626.36000000045,557373.6399999999,0.0,7377106,730333494,49836372.399999954,13.843436777777764,6.160329366111105,0.9228957851851843,215.08423999999997,44.26263600000004,0.8823529411764706,1000000.0000000003,23,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,14,3,386580.2800000004,613419.7200000004,0.0,6776338,670857462,44792225.199999936,12.44228477777776,5.536816726111103,0.8887346269841256,161.84305714285716,38.65802800000004,0.8235294117647058,1000000.0000000008,16,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,14,3,408550.0799999995,591449.9200000003,0.0,6809168,674107632,46769507.19999994,12.991529777777762,5.781230751111104,0.9279664126984116,163.25005714285712,40.85500799999995,0.8235294117647058,999999.9999999998,18,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,15,2,401372.1399999996,598627.8600000002,0.0,7022869,695264031,46123492.59999996,12.812081277777766,5.701376168611106,0.8541387518518511,200.91475999999997,40.137213999999965,0.8823529411764706,999999.9999999998,26,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,13,4,386123.04,613876.9600000001,0.0,6435384,637103016,44751073.600000076,12.430853777777799,5.53172993111112,0.956219521367523,112.40233846153845,38.612304,0.7647058823529411,1000000.0,25,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,17,0,213873.96000000008,786126.0400000018,0.0,3564566,352892034,29248656.399999958,8.124626777777767,3.6154589161111064,0.47791922222222155,125.80821176470587,21.387396000000006,1.0,1000000.0000000019,24,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,16,1,420909.12000000064,579090.8799999988,0.0,7015152,694500048,47881820.79999993,13.300505777777758,5.918725071111102,0.8312816111111099,225.56820000000002,42.09091200000007,0.9411764705882353,999999.9999999995,30,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,16,1,379258.6799999994,620741.3199999998,0.0,6320978,625776822,44133281.19999992,12.259244777777756,5.455363926111102,0.7662027986111097,199.53667499999997,37.92586799999994,0.9411764705882353,999999.9999999993,29,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,16,1,376522.8599999993,623477.1400000006,0.0,6275381,621262719,43887057.400000036,12.190849277777788,5.424927928611116,0.7619280798611118,197.8267875,37.652285999999926,0.9411764705882353,999999.9999999999,28,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,13,4,445788.4199999989,554211.5799999987,0.0,7429807,735550893,50120957.8000001,13.922488277777806,6.195507283611124,1.070960636752139,158.2987846153846,44.57884199999989,0.7647058823529411,999999.9999999976,33,2e-06,False
