tag,arm,N,seed,k_active,alpha_case,alpha,energy_J,energy_kWh,saving_vs_MT100,energy_per_block_J
pilot,E50-PC10,300,9878713980055163606,30,LP50,0.5,5791499987.251126,1608.7499964586461,0.45000000121071926,
pilot,E50-PC20,300,9878713980055163606,60,LP0,0.0,2105999949.0045023,584.999985834584,0.8000000048428773,2105999949.0045023
pilot,E50-PC20,300,9878713980055163606,60,LP10,0.1,2948399954.104052,818.9999872511256,0.7200000043585896,2948399954.104052
pilot,E50-PC20,300,9878713980055163606,60,LP25,0.25,4211999961.7533765,1169.999989375938,0.600000003632158,4211999961.7533765
pilot,E50-PC20,300,9878713980055163606,60,LP50,0.5,6317999974.502251,1754.9999929172918,0.4000000024214386,6317999974.502251
pilot,E50-PC30,300,9878713980055163606,90,LP0,0.0,3158999923.506754,877.4999787518761,0.7000000072643159,1579499961.753377
pilot,E50-PC30,300,9878713980055163606,90,LP10,0.1,3896099931.1560783,1082.2499808766884,0.6300000065378843,1948049965.5780392
pilot,E50-PC30,300,9878713980055163606,90,LP25,0.25,5001749942.630065,1389.3749840639068,0.5250000054482369,2500874971.3150325
pilot,E50-PC30,300,9878713980055163606,90,LP50,0.5,6844499961.753378,1901.2499893759384,0.3500000036321579,3422249980.876689
pilot,E50-PC40,300,9878713980055163606,120,LP0,0.0,4211999898.0090046,1169.999971669168,0.6000000096857545,2105999949.0045023
pilot,E50-PC40,300,9878713980055163606,120,LP10,0.1,4843799908.208104,1345.4999745022512,0.540000008717179,2421899954.104052
pilot,E50-PC40,300,9878713980055163606,120,LP25,0.25,5791499923.506753,1608.749978751876,0.450000007264316,2895749961.7533765
pilot,E50-PC40,300,9878713980055163606,120,LP50,0.5,7370999949.004502,2047.4999858345839,0.30000000484287725,3685499974.502251
pilot,E50-PC50,300,9878713980055163606,150,LP0,0.0,5264999872.511256,1462.49996458646,0.5000000121071931,1754999957.503752
pilot,E50-PC50,300,9878713980055163606,150,LP10,0.1,5791499885.260131,1608.749968127814,0.4500000108964738,1930499961.753377
pilot,E50-PC50,300,9878713980055163606,150,LP25,0.25,6581249904.383442,1828.124973439845,0.3750000090803949,2193749968.127814
pilot,E50-PC50,300,9878713980055163606,150,LP50,0.5,7897499936.255628,2193.74998229323,0.2500000060535966,2632499978.751876
pilot,E50-PC60,300,9878713980055163606,180,LP0,0.0,6317999847.013508,1754.9999575037523,0.40000001452863176,1263599969.4027016
pilot,E50-PC60,300,9878713980055163606,180,LP10,0.1,6739199862.312157,1871.999961753377,0.36000001307576857,1347839972.4624314
pilot,E50-PC60,300,9878713980055163606,180,LP25,0.25,7370999885.260131,2047.499968127814,0.30000001089647377,1474199977.0520263
pilot,E50-PC60,300,9878713980055163606,180,LP50,0.5,8423999923.506753,2339.999978751876,0.200000007264316,1684799984.7013507
