N,arm,metric,mean,median,sd,iqr,ci95_lo,ci95_hi,n
300,E50-PC30,block_ratio_per_seed,11.0,11.0,0.0,0.0,11.0,11.0,1
300,E50-PC40,coverage_retention,119.9999969019289,119.99999690706922,2.8154731365824844e-08,0.0,119.99999689141575,119.99999691244204,30
300,E50-PC40,saving_LP0,0.6000000096857545,0.6000000096857545,0.0,0.0,0.6000000096857545,0.6000000096857545,30
300,E50-PC40,saving_LP50,0.30000000484287725,0.30000000484287725,0.0,0.0,0.30000000484287725,0.30000000484287725,30
300,E50-PC40,block_ratio_per_seed,12.0,12.0,0.0,0.0,12.0,12.0,1
300,E50-PC50,coverage_retention,149.99999612741112,149.99999613383653,3.519341745045009e-08,0.0,149.9999961142697,149.99999614055255,30
300,E50-PC50,saving_LP0,0.5000000121071931,0.5000000121071931,0.0,0.0,0.5000000121071931,0.5000000121071931,30
300,E50-PC50,saving_LP50,0.2500000060535966,0.2500000060535966,0.0,0.0,0.2500000060535966,0.2500000060535966,30
300,E50-PC50,block_ratio_per_seed,14.0,14.0,0.0,0.0,14.0,14.0,1
300,E50-PC60,coverage_retention,179.99999535289334,179.99999536060383,4.2232100940540107e-08,0.0,179.9999953371236,179.99999536866306,30
300,E50-PC60,saving_LP0,0.40000001452863176,0.40000001452863176,0.0,0.0,0.40000001452863176,0.40000001452863176,30
300,E50-PC60,saving_LP50,0.200000007264316,0.200000007264316,0.0,0.0,0.200000007264316,0.200000007264316,30
300,E50-PC60,block_ratio_per_seed,14.0,14.0,0.0,0.0,14.0,14.0,1
300,E50-PC80,coverage_retention,239.9999938038578,239.99999381413843,5.630946273164969e-08,0.0,239.9999937828315,239.9999938248841,30
300,E50-PC80,saving_LP0,0.20000001937150913,0.20000001937150913,0.0,0.0,0.20000001937150913,0.20000001937150913,30
300,E50-PC80,saving_LP50,0.10000000968575451,0.10000000968575451,0.0,0.0,0.10000000968575451,0.10000000968575451,30
300,E50-PC80,block_ratio_per_seed,19.0,19.0,0.0,0.0,19.0,19.0,1
300,E50-PC100,coverage_retention,299.99999225482225,299.99999226767306,7.038683490090018e-08,0.0,299.9999922285394,299.9999922811051,30
300,E50-PC100,saving_LP0,2.4214386273868627e-08,2.4214386273868627e-08,0.0,0.0,2.4214386273868627e-08,2.4214386273868627e-08,30
300,E50-PC100,saving_LP50,1.2107193247956616e-08,1.2107193247956616e-08,0.0,0.0,1.2107193247956616e-08,1.2107193247956616e-08,30
300,E50-PC100,block_ratio_per_seed,22.0,22.0,0.0,0.0,22.0,22.0,1
400,E50-PC10,coverage_retention,39.99999710441794,39.9999971063781,1.0736251643665255e-08,0.0,39.99999710040896,39.999997108426925,30
400,E50-PC10,saving_LP0,0.9000000070780511,0.9000000070780511,0.0,0.0,0.9000000070780511,0.9000000070780511,30
400,E50-PC10,saving_LP50,0.4500000035390256,0.4500000035390256,0.0,0.0,0.4500000035390256,0.4500000035390256,30
400,E50-PC10,block_ratio_per_seed,5.0,5.0,0.0,0.0,5.0,5.0,1
400,E50-PC20,coverage_retention,79.99999420883589,79.9999942127562,2.147250328733051e-08,0.0,79.99999420081792,79.99999421685385,30
400,E50-PC20,saving_LP0,0.8000000141561021,0.8000000141561021,0.0,0.0,0.8000000141561021,0.8000000141561021,30
400,E50-PC20,saving_LP50,0.40000000707805106,0.40000000707805106,0.0,0.0,0.40000000707805106,0.40000000707805106,30
400,E50-PC20,block_ratio_per_seed,8.0,8.0,0.0,0.0,8.0,8.0,1
400,E50-PC30,coverage_retention,119.99999131325382,119.99999131913431,3.2208757525531e-08,0.0,119.99999130122687,119.99999132528076,30
400,E50-PC30,saving_LP0,0.7000000212341532,0.7000000212341532,0.0,0.0,0.7000000212341532,0.7000000212341532,30
400,E50-PC30,saving_LP50,0.35000001061707675,0.35000001061707675,0.0,0.0,0.35000001061707675,0.35000001061707675,30
400,E50-PC30,block_ratio_per_seed,11.0,11.0,0.0,0.0,11.0,11.0,1
400,E50-PC40,coverage_retention,159.99998841767177,159.9999884255124,4.294500657466102e-08,0.0,159.99998840163585,159.9999884337077,30
400,E50-PC40,saving_LP0,0.6000000283122042,0.6000000283122042,0.0,0.0,0.6000000283122042,0.6000000283122042,30
400,E50-PC40,saving_LP50,0.3000000141561022,0.3000000141561022,0.0,0.0,0.3000000141561022,0.3000000141561022,30
400,E50-PC40,block_ratio_per_seed,12.0,12.0,0.0,0.0,12.0,12.0,1
400,E50-PC50,coverage_retention,199.99998552208973,199.99998553189053,5.3681266001931965e-08,0.0,199.9999855020448,199.99998554213465,30
400,E50-PC50,saving_LP0,0.5000000353902554,0.5000000353902554,0.0,0.0,0.5000000353902554,0.5000000353902554,30
400,E50-PC50,saving_LP50,0.2500000176951277,0.2500000176951277,0.0,0.0,0.2500000176951277,0.2500000176951277,30
400,E50-PC50,block_ratio_per_seed,14.0,14.0,0.0,0.0,14.0,14.0,1
400,E50-PC60,coverage_retention,239.99998262650763,239.99998263826862,6.4417515051062e-08,0.0,239.99998260245374,239.99998265056152,30
400,E50-PC60,saving_LP0,0.40000004246830634,0.40000004246830634,0.0,0.0,0.40000004246830634,0.40000004246830634,30
400,E50-PC60,saving_LP50,0.20000002123415317,0.20000002123415317,0.0,0.0,0.20000002123415317,0.20000002123415317,30
400,E50-PC60,block_ratio_per_seed,14.0,14.0,0.0,0.0,14.0,14.0,1
400,E50-PC80,coverage_retention,319.99997683534355,319.9999768510248,8.589001314932204e-08,0.0,319.9999768032717,319.9999768674154,30
400,E50-PC80,saving_LP0,0.20000005662440856,0.20000005662440856,0.0,0.0,0.20000005662440856,0.20000005662440856,30
400,E50-PC80,saving_LP50,0.10000002831220423,0.10000002831220423,0.0,0.0,0.10000002831220423,0.10000002831220423,30
400,E50-PC80,block_ratio_per_seed,19.0,19.0,0.0,0.0,19.0,19.0,1
400,E50-PC100,coverage_retention,399.99997104417946,399.99997106378106,1.0736253200386393e-07,0.0,399.9999710040896,399.9999710842693,30
400,E50-PC100,saving_LP0,7.078051067477276e-08,7.078051067477276e-08,0.0,0.0,7.078051067477276e-08,7.078051067477276e-08,30
400,E50-PC100,saving_LP50,3.539025550391983e-08,3.539025550391983e-08,0.0,0.0,3.539025550391983e-08,3.539025550391983e-08,30
400,E50-PC100,block_ratio_per_seed,22.0,22.0,0.0,0.0,22.0,22.0,1
500,E50-PC10,coverage_retention,49.999997544464954,49.99999754712571,1.4573542005695125e-08,0.0,49.999997539023106,49.9999975499068,30
500,E50-PC10,saving_LP0,0.900000004749745,0.900000004749745,0.0,0.0,0.900000004749745,0.900000004749745,30
500,E50-PC10,saving_LP50,0.4500000023748725,0.4500000023748725,0.0,0.0,0.4500000023748725,0.4500000023748725,30
500,E50-PC10,block_ratio_per_seed,5.0,5.0,0.0,0.0,5.0,5.0,1
500,E50-PC20,coverage_retention,99.99999508892991,99.99999509425142,2.914708401139025e-08,0.0,99.99999507804621,99.9999950998136,30
500,E50-PC20,saving_LP0,0.8000000094994898,0.8000000094994898,0.0,0.0,0.8000000094994898,0.8000000094994898,30
500,E50-PC20,saving_LP50,0.40000000474974495,0.40000000474974495,0.0,0.0,0.40000000474974495,0.40000000474974495,30
500,E50-PC20,block_ratio_per_seed,8.0,8.0,0.0,0.0,8.0,8.0,1
500,E50-PC30,coverage_retention,149.99999263339487,149.99999264137713,4.3720627314352993e-08,0.0,149.99999261706932,149.9999926497204,30
500,E50-PC30,saving_LP0,0.7000000142492346,0.7000000142492346,0.0,0.0,0.7000000142492346,0.7000000142492346,30
500,E50-PC30,saving_LP50,0.3500000071246173,0.3500000071246173,0.0,0.0,0.3500000071246173,0.3500000071246173,30
