tag,arm,N,seed,k_active,epochs_completed,exhaustions,unique_per_epoch,epoch_seconds
pilot,E50-PC20,300,6918711742289843946,60,163447107886,9806826473160,858993459.2065428,6.118187179533782e-08
pilot,E50-PC30,300,6918711742289843946,90,163447107885,14710239709650,1288490188.8176975,6.118187179571214e-08
pilot,E50-PC40,300,6918711742289843946,120,163447107885,19613652946200,1717986918.4235969,6.118187179571214e-08
pilot,E50-PC50,300,6918711742289843946,150,163447107885,24517066182750,2147483648.0294957,6.118187179571214e-08
pilot,E50-PC60,300,6918711742289843946,180,163447107883,29420479418940,2576980377.666928,6.118187179646079e-08
pilot,E50-PC80,300,6918711742289843946,240,163447107881,39227305891440,3435973836.931281,6.118187179720942e-08
pilot,E50-PC100,300,6918711742289843946,300,163447107879,49034132363700,4294967296.216657,6.118187179795806e-08
pilot,E50-CONV100,300,9878713980055163606,300,163447111200,163447111200,4294967312.949365,6.118187055483426e-08
pilot,E50-MT100,300,9878713980055163606,300,544823706,163447111800,4294967303.883224,1.8354561099072293e-05
pilot,E50-PC10,300,9878713980055163606,30,163447107887,4903413236610,429496729.6006437,6.11818717949635e-08
pilot,E50-PC20,300,9878713980055163606,60,163447107887,9806826473220,858993459.2012874,6.11818717949635e-08
pilot,E50-PC30,300,9878713980055163606,90,163447107886,14710239709740,1288490188.8098145,6.118187179533782e-08
pilot,E50-PC40,300,9878713980055163606,120,163447107886,19613652946320,1717986918.4130857,6.118187179533782e-08
pilot,E50-PC50,300,9878713980055163606,150,163447107884,24517066182600,2147483648.0426345,6.118187179608646e-08
pilot,E50-PC60,300,9878713980055163606,180,163447107883,29420479418940,2576980377.666928,6.118187179646079e-08
pilot,E50-PC80,300,9878713980055163606,240,163447107882,39227305891680,3435973836.9102592,6.11818717968351e-08
pilot,E50-PC100,300,9878713980055163606,300,163447107884,49034132365200,4294967296.085269,6.118187179608646e-08
pilot,E50-CONV100,500,6918711742289843946,500,272411849000,272411849000,4294967360.24871,3.6709122737168453e-08
pilot,E50-MT100,500,6918711742289843946,500,544823706,272411853000,4294967303.883224,1.8354561099072293e-05
pilot,E50-PC10,500,6918711742289843946,50,272411840134,13620592006700,429496729.6034045,3.670912393191492e-08
pilot,E50-PC20,500,6918711742289843946,100,272411840134,27241184013400,858993459.206809,3.670912393191492e-08
pilot,E50-PC30,500,6918711742289843946,150,272411840133,40861776019950,1288490188.8149436,3.6709123932049675e-08
pilot,E50-PC40,500,6918711742289843946,200,272411840133,54482368026600,1717986918.4199247,3.6709123932049675e-08
pilot,E50-PC50,500,6918711742289843946,250,272411840133,68102960033250,2147483648.0249057,3.6709123932049675e-08
pilot,E50-PC60,500,6918711742289843946,300,272411840131,81723552039300,2576980377.648807,3.6709123932319183e-08
pilot,E50-PC80,500,6918711742289843946,400,272411840130,108964736052000,3435973836.877689,3.670912393245394e-08
pilot,E50-PC100,500,6918711742289843946,500,272411840127,136205920063500,4294967296.14441,3.670912393285821e-08
pilot,E50-CONV100,500,9878713980055163606,500,272411852000,272411852000,4294967312.949365,3.670912233290055e-08
pilot,E50-MT100,500,9878713980055163606,500,544823706,272411853000,4294967303.883224,1.8354561099072293e-05
