tag,arm,N,seed,k_active,duty_min,duty_max,duty_sd,jain_index,duty_max_min_ratio,transitions_total,active_episode_s,low_episode_s
primary,E50-PC80,200,4972874671198070758,160,0.799999962747098,0.8,1.861154392214434e-08,1.0000000000000027,1.0000000465661298,217929477171,1.468364923076923e-05,3.6709123076923077e-06
primary,E50-PC100,200,4972874671198070758,200,0.9999999534338724,1.0,2.3264429902680375e-08,1.0,1.0000000465661298,217929477166,1.8354561538461537e-05,0.0
primary,E50-CONV100,200,15110839482730944980,200,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-MT100,200,15110839482730944980,200,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-PC10,200,15110839482730944980,20,0.09999999534338724,0.1,2.3264429902680425e-09,1.0000000000000027,1.0000000465661298,217929477182,1.8354561538461539e-06,1.6519105384615384e-05
primary,E50-PC20,200,15110839482730944980,40,0.1999999906867745,0.2,4.652885980536085e-09,1.0000000000000027,1.0000000465661298,217929477180,3.6709123076923077e-06,1.468364923076923e-05
primary,E50-PC30,200,15110839482730944980,60,0.2999999860301617,0.3,6.979328970804207e-09,0.9999999999999933,1.0000000465661298,217929477178,5.5063684615384616e-06,1.2848193076923076e-05
primary,E50-PC40,200,15110839482730944980,80,0.399999981373549,0.4,9.30577196107217e-09,1.0000000000000027,1.0000000465661298,217929477176,7.341824615384615e-06,1.1012736923076923e-05
primary,E50-PC50,200,15110839482730944980,100,0.4999999767169362,0.5,1.1632214951340188e-08,1.0,1.0000000465661298,217929477180,9.177280769230768e-06,9.177280769230768e-06
primary,E50-PC60,200,15110839482730944980,120,0.5999999720603234,0.6,1.3958657941608414e-08,0.9999999999999933,1.0000000465661298,217929477178,1.1012736923076923e-05,7.341824615384615e-06
primary,E50-PC80,200,15110839482730944980,160,0.799999962747098,0.8,1.861154392214434e-08,1.0000000000000027,1.0000000465661298,217929477176,1.468364923076923e-05,3.6709123076923077e-06
primary,E50-PC100,200,15110839482730944980,200,0.9999999534338724,1.0,2.3264429902680375e-08,1.0,1.0000000465661298,217929477176,1.8354561538461537e-05,0.0
primary,E50-CONV100,200,8623653743411919337,200,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-MT100,200,8623653743411919337,200,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-PC10,200,8623653743411919337,20,0.09999999534338724,0.1,2.3264429902680425e-09,1.0000000000000027,1.0000000465661298,217929477178,1.8354561538461539e-06,1.6519105384615384e-05
primary,E50-PC20,200,8623653743411919337,40,0.1999999906867745,0.2,4.652885980536085e-09,1.0000000000000027,1.0000000465661298,217929477176,3.6709123076923077e-06,1.468364923076923e-05
primary,E50-PC30,200,8623653743411919337,60,0.2999999860301617,0.3,6.979328970804207e-09,0.9999999999999933,1.0000000465661298,217929477176,5.5063684615384616e-06,1.2848193076923076e-05
primary,E50-PC40,200,8623653743411919337,80,0.399999981373549,0.4,9.30577196107217e-09,1.0000000000000027,1.0000000465661298,217929477171,7.341824615384615e-06,1.1012736923076923e-05
primary,E50-PC50,200,8623653743411919337,100,0.4999999767169362,0.5,1.1632214951340188e-08,1.0,1.0000000465661298,217929477171,9.177280769230768e-06,9.177280769230768e-06
primary,E50-PC60,200,8623653743411919337,120,0.5999999720603234,0.6,1.3958657941608414e-08,0.9999999999999933,1.0000000465661298,217929477166,1.1012736923076923e-05,7.341824615384615e-06
primary,E50-PC80,200,8623653743411919337,160,0.799999962747098,0.8,1.861154392214434e-08,1.0000000000000027,1.0000000465661298,217929477164,1.468364923076923e-05,3.6709123076923077e-06
primary,E50-PC100,200,8623653743411919337,200,0.9999999534338724,1.0,2.3264429902680375e-08,1.0,1.0000000465661298,217929477167,1.8354561538461537e-05,0.0
primary,E50-CONV100,200,1326031443968983885,200,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-MT100,200,1326031443968983885,200,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-PC10,200,1326031443968983885,20,0.09999999534338724,0.1,2.3264429902680425e-09,1.0000000000000027,1.0000000465661298,217929477180,1.8354561538461539e-06,1.6519105384615384e-05
primary,E50-PC20,200,1326031443968983885,40,0.1999999906867745,0.2,4.652885980536085e-09,1.0000000000000027,1.0000000465661298,217929477178,3.6709123076923077e-06,1.468364923076923e-05
primary,E50-PC30,200,1326031443968983885,60,0.2999999860301617,0.3,6.979328970804207e-09,0.9999999999999933,1.0000000465661298,217929477178,5.5063684615384616e-06,1.2848193076923076e-05
primary,E50-PC40,200,1326031443968983885,80,0.399999981373549,0.4,9.30577196107217e-09,1.0000000000000027,1.0000000465661298,217929477176,7.341824615384615e-06,1.1012736923076923e-05
primary,E50-PC50,200,1326031443968983885,100,0.4999999767169362,0.5,1.1632214951340188e-08,1.0,1.0000000465661298,217929477171,9.177280769230768e-06,9.177280769230768e-06
primary,E50-PC60,200,1326031443968983885,120,0.5999999720603234,0.6,1.3958657941608414e-08,0.9999999999999933,1.0000000465661298,217929477169,1.1012736923076923e-05,7.341824615384615e-06
primary,E50-PC80,200,1326031443968983885,160,0.799999962747098,0.8,1.861154392214434e-08,1.0000000000000027,1.0000000465661298,217929477162,1.468364923076923e-05,3.6709123076923077e-06
primary,E50-PC100,200,1326031443968983885,200,0.9999999534338724,1.0,2.3264429902680375e-08,1.0,1.0000000465661298,217929477156,1.8354561538461537e-05,0.0
primary,E50-CONV100,200,8177548632312565564,200,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-MT100,200,8177548632312565564,200,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-PC10,200,8177548632312565564,20,0.09999999534338724,0.1,2.3264429902680425e-09,1.0000000000000027,1.0000000465661298,217929477180,1.8354561538461539e-06,1.6519105384615384e-05
primary,E50-PC20,200,8177548632312565564,40,0.1999999906867745,0.2,4.652885980536085e-09,1.0000000000000027,1.0000000465661298,217929477178,3.6709123076923077e-06,1.468364923076923e-05
primary,E50-PC30,200,8177548632312565564,60,0.2999999860301617,0.3,6.979328970804207e-09,0.9999999999999933,1.0000000465661298,217929477180,5.5063684615384616e-06,1.2848193076923076e-05
primary,E50-PC40,200,8177548632312565564,80,0.399999981373549,0.4,9.30577196107217e-09,1.0000000000000027,1.0000000465661298,217929477178,7.341824615384615e-06,1.1012736923076923e-05
primary,E50-PC50,200,8177548632312565564,100,0.4999999767169362,0.5,1.1632214951340188e-08,1.0,1.0000000465661298,217929477176,9.177280769230768e-06,9.177280769230768e-06
primary,E50-PC60,200,8177548632312565564,120,0.5999999720603234,0.6,1.3958657941608414e-08,0.9999999999999933,1.0000000465661298,217929477173,1.1012736923076923e-05,7.341824615384615e-06
primary,E50-PC80,200,8177548632312565564,160,0.799999962747098,0.8,1.861154392214434e-08,1.0000000000000027,1.0000000465661298,217929477169,1.468364923076923e-05,3.6709123076923077e-06
primary,E50-PC100,200,8177548632312565564,200,0.9999999534338724,1.0,2.3264429902680375e-08,1.0,1.0000000465661298,217929477164,1.8354561538461537e-05,0.0
primary,E50-CONV100,200,11117893399474783980,200,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-MT100,200,11117893399474783980,200,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-PC10,200,11117893399474783980,20,0.09999999534338724,0.1,2.3264429902680425e-09,1.0000000000000027,1.0000000465661298,217929477176,1.8354561538461539e-06,1.6519105384615384e-05
primary,E50-PC20,200,11117893399474783980,40,0.1999999906867745,0.2,4.652885980536085e-09,1.0000000000000027,1.0000000465661298,217929477173,3.6709123076923077e-06,1.468364923076923e-05
primary,E50-PC30,200,11117893399474783980,60,0.2999999860301617,0.3,6.979328970804207e-09,0.9999999999999933,1.0000000465661298,217929477171,5.5063684615384616e-06,1.2848193076923076e-05
primary,E50-PC40,200,11117893399474783980,80,0.399999981373549,0.4,9.30577196107217e-09,1.0000000000000027,1.0000000465661298,217929477169,7.341824615384615e-06,1.1012736923076923e-05
