tag,arm,N,seed,k_active,accepted_blocks,mean_interval_s,median_interval_s,p95_interval_s,stale_blocks
primary,E50-PC10,400,5708610443790281403,40,2,4401.765162513312,4401.765162513312,788.9902513068012,0
primary,E50-PC20,400,5708610443790281403,80,5,1760.2573941762428,2062.2413057325075,2291.2547958327573,0
primary,E50-PC30,400,5708610443790281403,120,7,1157.9190403014338,1374.8275371469686,1887.6656301466735,0
primary,E50-PC40,400,5708610443790281403,160,8,1008.4357834245081,1088.3740253653923,1988.4113058656344,0
primary,E50-PC50,400,5708610443790281403,200,11,826.8094213983038,824.8965222917464,1602.908014713543,0
primary,E50-PC60,400,5708610443790281403,240,16,579.437687719286,400.83156944081827,1335.756678952755,0
primary,E50-PC80,400,5708610443790281403,320,19,513.0658893494705,515.5603264256085,1091.5926173385615,0
primary,E50-PC100,400,5708610443790281403,400,20,458.2227262443625,433.49722127003906,1044.0785987755714,0
primary,E50-CONV100,400,4972874671198070758,400,19,518.0235317242732,468.6934739909562,1234.2282627092343,0
primary,E50-MT100,400,4972874671198070758,400,0,,,,0
primary,E50-PC10,400,4972874671198070758,40,2,3111.661617578142,3111.661617578142,1983.7442655910422,0
primary,E50-PC20,400,4972874671198070758,80,4,1368.48042657352,1555.8308088003648,2119.789484802551,0
primary,E50-PC30,400,4972874671198070758,120,6,1372.3440491761194,1037.2205392031922,1562.3116905340066,0
primary,E50-PC40,400,4972874671198070758,160,8,1100.1810431158497,1018.6038290729209,1648.5872078512461,0
primary,E50-PC50,400,4972874671198070758,200,8,880.1448344834267,814.8830632595477,1318.8697662720328,0
primary,E50-PC60,400,4972874671198070758,240,9,1018.6289347793144,706.5964949344001,2057.0472501082854,0
primary,E50-PC80,400,4972874671198070758,320,13,740.9403387898836,585.8668839461973,1542.7854376175192,0
primary,E50-PC100,400,4972874671198070758,400,19,518.0235683838811,468.69350713960165,1234.2283500583856,0
primary,E50-CONV100,400,15110839482730944980,400,6,1463.8905412930953,980.6203455609168,2137.167680809085,0
primary,E50-MT100,400,15110839482730944980,400,0,,,,0
primary,E50-PC10,400,15110839482730944980,40,1,8475.712480996353,8475.712480996353,8475.712480996353,0
primary,E50-PC20,400,15110839482730944980,80,2,2913.3540406041816,2913.3540406041816,1588.8518406808473,0
primary,E50-PC30,400,15110839482730944980,120,3,2532.234664541816,2825.2374936912834,2825.2374936912834,0
primary,E50-PC40,400,15110839482730944980,160,3,1899.17599840009,2118.9281202765505,2118.9281202765505,0
primary,E50-PC50,400,15110839482730944980,200,3,1519.340798702135,1695.1424961958214,1695.1424961958214,0
primary,E50-PC60,400,15110839482730944980,240,3,1266.1173322687691,1412.6187468482829,1412.6187468482829,0
primary,E50-PC80,400,15110839482730944980,320,4,1925.4228891796124,1225.775518707594,1392.0869772972148,0
primary,E50-PC100,400,15110839482730944980,400,6,1463.890644907975,980.6204149626137,2137.167832054433,0
primary,E50-CONV100,400,8623653743411919337,400,15,598.6217735863878,260.239462327303,1655.6398183000008,0
primary,E50-MT100,400,8623653743411919337,400,0,,,,0
primary,E50-PC10,400,8623653743411919337,40,4,2001.0794199314626,2173.8813962260833,2179.6193332389034,0
primary,E50-PC20,400,8623653743411919337,80,6,1204.6470203967554,1195.5035351805468,1558.115436823398,0
primary,E50-PC30,400,8623653743411919337,120,6,803.0980136019086,797.0023567936014,1038.7436245380063,0
primary,E50-PC40,400,8623653743411919337,160,8,1118.062513580635,597.7517675915803,962.2629393808376,0
primary,E50-PC50,400,8623653743411919337,200,8,894.4500108641924,478.2014140633972,769.8103515279614,0
primary,E50-PC60,400,8623653743411919337,240,12,735.7702366007236,378.4305051398504,2438.0865108820185,0
primary,E50-PC80,400,8623653743411919337,320,13,668.5755422080371,295.19334104606116,2069.5499193677792,0
primary,E50-PC100,400,8623653743411919337,400,15,598.6218159628365,260.2394807473229,1655.6399355119631,0
primary,E50-CONV100,400,1326031443968983885,400,26,382.37927758420005,276.4537214024766,693.2706945168223,0
primary,E50-MT100,400,1326031443968983885,400,0,,,,0
primary,E50-PC10,400,1326031443968983885,40,3,3320.832039742941,3011.644796596328,3011.644796596328,0
primary,E50-PC20,400,1326031443968983885,80,6,1180.539295050974,1037.7282859611378,1505.8223983019695,0
primary,E50-PC30,400,1326031443968983885,120,6,787.0261967056671,691.8188573273833,1003.8815988687749,0
primary,E50-PC40,400,1326031443968983885,160,6,590.2696475312481,518.8641430024443,752.9111991356527,0
primary,E50-PC50,400,1326031443968983885,200,10,956.5050859444485,415.0913143818992,1386.5414871871626,0
primary,E50-PC60,400,1326031443968983885,240,13,734.0263072907585,398.44202993458873,1155.4512392954273,0
primary,E50-PC80,400,1326031443968983885,320,20,496.9773926077364,345.5671761935357,866.5884294736253,0
primary,E50-PC100,400,1326031443968983885,400,26,382.3793046555432,276.45374097728717,693.270743625449,0
primary,E50-CONV100,400,8177548632312565564,400,18,549.0433809829439,277.0691908722208,1612.6023351846845,0
primary,E50-MT100,400,8177548632312565564,400,0,,,,0
primary,E50-PC10,400,8177548632312565564,40,1,9392.854811227646,9392.854811227646,9392.854811227646,0
primary,E50-PC20,400,8177548632312565564,80,3,1881.8607964156818,741.9066605895409,741.9066605895409,0
primary,E50-PC30,400,8177548632312565564,120,4,2284.7657726435646,1812.7780220838822,3130.9516037478606,0
primary,E50-PC40,400,8177548632312565564,160,6,1648.2548169039692,1517.6157917308078,2348.2137028071297,0
primary,E50-PC50,400,8177548632312565564,200,9,1079.8823678651013,1199.2407431051731,1878.5709622374327,0
primary,E50-PC60,400,8177548632312565564,240,9,899.901973219102,999.3672859245868,1565.4758018513364,0
primary,E50-PC80,400,8177548632312565564,320,16,560.354623387783,322.9539102517916,1439.7412793399576,0
primary,E50-PC100,400,8177548632312565564,400,18,549.0434198508137,277.06921050972437,1612.6024493378925,0
primary,E50-CONV100,400,11117893399474783980,400,22,451.83620402043505,378.7368658745544,864.3883601114175,0
primary,E50-MT100,400,11117893399474783980,400,1,5935.804799852931,5935.804799852931,5935.804799852931,0
primary,E50-PC10,400,11117893399474783980,40,5,1256.6924422672237,325.37679579274214,607.2544265017394,0
primary,E50-PC20,400,11117893399474783980,80,8,833.436966667897,301.23470507670254,2237.424713615808,0
primary,E50-PC30,400,11117893399474783980,120,11,881.8272007300912,319.4469806209145,2376.1487709164935,0
primary,E50-PC40,400,11117893399474783980,160,12,702.4675557538304,367.1670470115707,1782.111578185978,0
primary,E50-PC50,400,11117893399474783980,200,14,642.0366852495968,455.9236513204696,1535.7037805227583,0
primary,E50-PC60,400,11117893399474783980,240,14,535.0305710503259,379.93637610610415,1279.7531504751023,0
primary,E50-PC80,400,11117893399474783980,320,19,522.4639228821251,387.48605326951053,1080.4855266202055,0
primary,E50-PC100,400,11117893399474783980,400,22,451.836236000686,378.73689269695103,864.3884213048394,0
primary,E50-CONV100,400,10081885022360105039,400,22,439.44879587079225,386.3830316097057,760.4016552923179,0
primary,E50-MT100,400,10081885022360105039,400,0,,,,0
primary,E50-PC10,400,10081885022360105039,40,2,4361.389053508747,4361.389053508747,1118.7610158807236,0
primary,E50-PC20,400,10081885022360105039,80,5,1863.8180858698695,1668.5396091064147,1922.2516835010774,0
primary,E50-PC30,400,10081885022360105039,120,7,1247.811661487632,1112.3597393988787,2448.441086998443,0
primary,E50-PC40,400,10081885022360105039,160,10,925.7002302217996,897.6978231451287,1836.3308152381426,0
primary,E50-PC50,400,10081885022360105039,200,11,800.0921698128429,768.9006734101639,1469.0646521906233,0
primary,E50-PC60,400,10081885022360105039,240,12,830.8202123491609,643.9717649368004,1267.3361818443664,0
primary,E50-PC80,400,10081885022360105039,320,18,550.1513330293392,448.84891159349064,1148.8356614859426,0
primary,E50-PC100,400,10081885022360105039,400,22,439.44882697317524,386.3830589477218,760.4017090852176,0
primary,E50-CONV100,400,4923552916831257795,400,17,570.4978249440467,377.6392836159085,1386.3539619890482,0
primary,E50-MT100,400,4923552916831257795,400,0,,,,0
primary,E50-PC10,400,4923552916831257795,40,0,,,,0
primary,E50-PC20,400,4923552916831257795,80,1,6222.62822685711,6222.62822685711,6222.62822685711,0
primary,E50-PC30,400,4923552916831257795,120,1,4148.418817926316,4148.418817926316,4148.418817926316,0
primary,E50-PC40,400,4923552916831257795,160,3,2790.3072129534057,3111.3141133945387,3111.3141133945387,0
primary,E50-PC50,400,4923552916831257795,200,5,1832.4521534586563,1883.1831053289854,2489.0512907525926,0
primary,E50-PC60,400,4923552916831257795,240,8,1218.3476313583278,1005.1893008844431,2074.209408972843,0
primary,E50-PC80,400,4923552916831257795,320,15,663.1317414068695,472.0491379312502,1555.6570566751225,0
primary,E50-PC100,400,4923552916831257795,400,17,570.4978653206631,377.6393103536726,1386.3540601447903,0
primary,E50-CONV100,400,6572291145813621428,400,7,1350.3202204461516,1196.659507728484,2345.192546182088,0
primary,E50-MT100,400,6572291145813621428,400,0,,,,0
primary,E50-PC10,400,6572291145813621428,40,0,,,,0
primary,E50-PC20,400,6572291145813621428,80,1,7232.1184049220865,7232.1184049220865,7232.1184049220865,0
primary,E50-PC30,400,6572291145813621428,120,1,4821.412269949196,4821.412269949196,4821.412269949196,0
primary,E50-PC40,400,6572291145813621428,160,1,3616.0592024451166,3616.0592024451166,3616.0592024451166,0
primary,E50-PC50,400,6572291145813621428,200,3,3252.6669943872203,2892.847361939788,2892.847361939788,0
primary,E50-PC60,400,6572291145813621428,240,5,1970.1299691919194,1058.627692907374,2410.706134965688,0
primary,E50-PC80,400,6572291145813621428,320,6,1480.63531249597,1144.8976301086013,1808.0296011907049,0
primary,E50-PC100,400,6572291145813621428,400,7,1350.3203160205492,1196.6595924518842,2345.192712162052,0
primary,E50-CONV100,400,17112478889879003015,400,21,474.60644436361235,343.7124318648502,1240.0546960046224,0
primary,E50-MT100,400,17112478889879003015,400,0,,,,0
primary,E50-PC10,400,17112478889879003015,40,1,5664.719036069855,5664.719036069855,5664.719036069855,0
primary,E50-PC20,400,17112478889879003015,80,2,4908.350978560242,4908.350978560242,2832.3595180322213,0
primary,E50-PC30,400,17112478889879003015,120,3,3286.308420765757,3314.4572909064564,3314.4572909064564,0
primary,E50-PC40,400,17112478889879003015,160,3,2464.7313155659863,2485.8429681697025,2485.8429681697025,0
primary,E50-PC50,400,17112478889879003015,200,7,1398.5945452163073,1132.9438071925592,2175.7757792421107,0
primary,E50-PC60,400,17112478889879003015,240,8,1096.9161095467541,869.356045589625,1813.1464827305103,0
primary,E50-PC80,400,17112478889879003015,320,13,768.0376366990881,595.9441888652476,1579.0508623269902,0
primary,E50-PC100,400,17112478889879003015,400,21,474.6064779554615,343.71245621084705,1240.0547837805318,0
primary,E50-CONV100,400,9839921138141735050,400,12,768.8459455726114,611.9848589755261,1872.36465053494,0
primary,E50-MT100,400,9839921138141735050,400,0,,,,0
primary,E50-PC10,400,9839921138141735050,40,3,3207.4922932684644,3578.411044670075,3578.411044670075,0
primary,E50-PC20,400,9839921138141735050,80,4,1618.9891483888196,1726.9618380121947,1789.2055223117247,0
primary,E50-PC30,400,9839921138141735050,120,4,1079.326098935338,1151.3078920142852,1192.803681545591,0
primary,E50-PC40,400,9839921138141735050,160,5,1583.7780508882095,894.6027611551228,1247.4065358820521,0
primary,E50-PC50,400,9839921138141735050,200,5,1267.0224407081637,715.6822089045606,997.9252287223443,0
primary,E50-PC60,400,9839921138141735050,240,7,1396.5474008464198,831.6043572809355,3120.6079717643274,0
primary,E50-PC80,400,9839921138141735050,320,10,999.0924128028367,764.9811278567506,2340.4559788447514,0
primary,E50-PC100,400,9839921138141735050,400,12,768.8459999883963,611.9849022707507,1872.3647830333111,0
primary,E50-CONV100,400,76950829605806397,400,18,508.6720293356846,472.4963896744499,1231.2518011533448,0
primary,E50-MT100,400,76950829605806397,400,0,,,,0
primary,E50-PC10,400,76950829605806397,40,0,,,,0
primary,E50-PC20,400,76950829605806397,80,2,4336.984557410854,4336.984557410854,3222.8661335767024,0
primary,E50-PC30,400,76950829605806397,120,3,3295.6063458590575,3634.0686541625473,3634.0686541625473,0
primary,E50-PC40,400,76950829605806397,160,6,1591.147172615539,1409.8452278085197,2725.551490633086,0
primary,E50-PC50,400,76950829605806397,200,7,1222.983744278767,966.6059110666816,2180.441192532579,0
primary,E50-PC60,400,76950829605806397,240,8,1167.0493140854499,939.8968185341439,2052.0864805185256,0
primary,E50-PC80,400,76950829605806397,320,15,624.1011206654944,577.1123633551581,1539.064860399044,0
primary,E50-PC100,400,76950829605806397,400,18,508.67206534513724,472.49642311902574,1231.2518883107045,0
primary,E50-CONV100,400,4559695916379544378,400,17,582.0951287039918,407.86889088132125,1489.3440045137386,0
primary,E50-MT100,400,4559695916379544378,400,0,,,,0
primary,E50-PC10,400,4559695916379544378,40,0,,,,0
