tag,arm,N,seed,k_active,C_total,U_exact,R_exact,rho_exact
primary,E50-PC10,100,5708610443790281403,10,23399999978207051781,23399999978207051781,0,0.0
primary,E50-PC20,100,5708610443790281403,20,46799999956414103553,46799999956414103553,0,0.0
primary,E50-PC30,100,5708610443790281403,30,70199999934621155330,70199999934621155330,0,0.0
primary,E50-PC40,100,5708610443790281403,40,93599999912828207108,93599999912828207108,0,0.0
primary,E50-PC50,100,5708610443790281403,50,116999999891035258882,116999999891035258882,0,0.0
primary,E50-PC60,100,5708610443790281403,60,140399999869242310665,140399999869242310665,0,0.0
primary,E50-PC80,100,5708610443790281403,80,187199999825656414220,187199999825656414220,0,0.0
primary,E50-PC100,100,5708610443790281403,100,233999999782070517776,233999999782070517776,0,0.0
primary,E50-CONV100,100,4972874671198070758,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,4972874671198070758,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,4972874671198070758,10,23399999978207051780,23399999978207051780,0,0.0
primary,E50-PC20,100,4972874671198070758,20,46799999956414103551,46799999956414103551,0,0.0
primary,E50-PC30,100,4972874671198070758,30,70199999934621155329,70199999934621155329,0,0.0
primary,E50-PC40,100,4972874671198070758,40,93599999912828207107,93599999912828207107,0,0.0
primary,E50-PC50,100,4972874671198070758,50,116999999891035258878,116999999891035258878,0,0.0
primary,E50-PC60,100,4972874671198070758,60,140399999869242310660,140399999869242310660,0,0.0
primary,E50-PC80,100,4972874671198070758,80,187199999825656414216,187199999825656414216,0,0.0
primary,E50-PC100,100,4972874671198070758,100,233999999782070517776,233999999782070517776,0,0.0
primary,E50-CONV100,100,15110839482730944980,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,15110839482730944980,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,15110839482730944980,10,23399999978207051780,23399999978207051780,0,0.0
primary,E50-PC20,100,15110839482730944980,20,46799999956414103552,46799999956414103552,0,0.0
primary,E50-PC30,100,15110839482730944980,30,70199999934621155327,70199999934621155327,0,0.0
primary,E50-PC40,100,15110839482730944980,40,93599999912828207103,93599999912828207103,0,0.0
primary,E50-PC50,100,15110839482730944980,50,116999999891035258876,116999999891035258876,0,0.0
primary,E50-PC60,100,15110839482730944980,60,140399999869242310655,140399999869242310655,0,0.0
primary,E50-PC80,100,15110839482730944980,80,187199999825656414207,187199999825656414207,0,0.0
primary,E50-PC100,100,15110839482730944980,100,233999999782070517756,233999999782070517756,0,0.0
primary,E50-CONV100,100,8623653743411919337,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,8623653743411919337,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,8623653743411919337,10,23399999978207051781,23399999978207051781,0,0.0
primary,E50-PC20,100,8623653743411919337,20,46799999956414103552,46799999956414103552,0,0.0
primary,E50-PC30,100,8623653743411919337,30,70199999934621155328,70199999934621155328,0,0.0
primary,E50-PC40,100,8623653743411919337,40,93599999912828207108,93599999912828207108,0,0.0
primary,E50-PC50,100,8623653743411919337,50,116999999891035258878,116999999891035258878,0,0.0
primary,E50-PC60,100,8623653743411919337,60,140399999869242310664,140399999869242310664,0,0.0
primary,E50-PC80,100,8623653743411919337,80,187199999825656414226,187199999825656414226,0,0.0
primary,E50-PC100,100,8623653743411919337,100,233999999782070517776,233999999782070517776,0,0.0
primary,E50-CONV100,100,1326031443968983885,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,1326031443968983885,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,1326031443968983885,10,23399999978207051780,23399999978207051780,0,0.0
primary,E50-PC20,100,1326031443968983885,20,46799999956414103554,46799999956414103554,0,0.0
primary,E50-PC30,100,1326031443968983885,30,70199999934621155328,70199999934621155328,0,0.0
primary,E50-PC40,100,1326031443968983885,40,93599999912828207103,93599999912828207103,0,0.0
primary,E50-PC50,100,1326031443968983885,50,116999999891035258878,116999999891035258878,0,0.0
primary,E50-PC60,100,1326031443968983885,60,140399999869242310663,140399999869242310663,0,0.0
primary,E50-PC80,100,1326031443968983885,80,187199999825656414222,187199999825656414222,0,0.0
