tag,arm,N,seed,k_active,duty_min,duty_max,duty_sd,jain_index,duty_max_min_ratio,transitions_total,active_episode_s,low_episode_s
pilot,E50-PC80,300,6918711742289843946,240,0.7999999441206469,0.8,2.6593458461880147e-08,1.0000000000000124,1.0000000698491962,326894215761,1.468364923076923e-05,3.6709123076923077e-06
pilot,E50-PC100,300,6918711742289843946,300,0.9999999301508086,1.0,3.324182307734973e-08,0.9999999999999989,1.0000000698491962,326894215757,1.8354561538461537e-05,0.0
pilot,E50-CONV100,300,9878713980055163606,300,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
pilot,E50-MT100,300,9878713980055163606,300,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
pilot,E50-PC10,300,9878713980055163606,30,0.09999999301508086,0.1,3.3241823077350183e-09,1.0000000000000124,1.0000000698491962,326894215774,1.8354561538461539e-06,1.6519105384615384e-05
pilot,E50-PC20,300,9878713980055163606,60,0.19999998603016172,0.2,6.648364615470037e-09,1.0000000000000124,1.0000000698491962,326894215774,3.6709123076923077e-06,1.468364923076923e-05
pilot,E50-PC30,300,9878713980055163606,90,0.29999997904524256,0.3,9.972546923205072e-09,0.9999999999999903,1.0000000698491962,326894215772,5.5063684615384616e-06,1.2848193076923076e-05
pilot,E50-PC40,300,9878713980055163606,120,0.39999997206032345,0.4,1.3296729230940073e-08,1.0000000000000124,1.0000000698491962,326894215772,7.341824615384615e-06,1.1012736923076923e-05
pilot,E50-PC50,300,9878713980055163606,150,0.4999999650754043,0.5,1.6620911538674866e-08,0.9999999999999989,1.0000000698491962,326894215768,9.177280769230768e-06,9.177280769230768e-06
pilot,E50-PC60,300,9878713980055163606,180,0.5999999580904851,0.6,1.9945093846410144e-08,0.9999999999999903,1.0000000698491962,326894215766,1.1012736923076923e-05,7.341824615384615e-06
pilot,E50-PC80,300,9878713980055163606,240,0.7999999441206469,0.8,2.6593458461880147e-08,1.0000000000000124,1.0000000698491962,326894215764,1.468364923076923e-05,3.6709123076923077e-06
pilot,E50-PC100,300,9878713980055163606,300,0.9999999301508086,1.0,3.324182307734973e-08,0.9999999999999989,1.0000000698491962,326894215768,1.8354561538461537e-05,0.0
pilot,E50-CONV100,500,6918711742289843946,500,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
pilot,E50-MT100,500,6918711742289843946,500,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
pilot,E50-PC10,500,6918711742289843946,50,0.09999998835846836,0.1,5.721383481986511e-09,1.0000000000000173,1.00000011641533,544823680268,1.8354561965811965e-06,1.6519105769230768e-05
pilot,E50-PC20,500,6918711742289843946,100,0.19999997671693673,0.2,1.1442766963973022e-08,1.0000000000000173,1.00000011641533,544823680268,3.670912393162393e-06,1.4683649572649572e-05
pilot,E50-PC30,500,6918711742289843946,150,0.2999999650754051,0.3,1.7164150425498106e-08,0.9999999999999877,1.0000001164153298,544823680266,5.50636858974359e-06,1.2848193376068376e-05
pilot,E50-PC40,500,6918711742289843946,200,0.39999995343387346,0.4,2.2885533927946045e-08,1.0000000000000173,1.00000011641533,544823680266,7.341824786324786e-06,1.101273717948718e-05
pilot,E50-PC50,500,6918711742289843946,250,0.49999994179234186,0.5,2.860691737583008e-08,0.9999999999999972,1.0000001164153298,544823680266,9.177280982905983e-06,9.177280982905983e-06
pilot,E50-PC60,500,6918711742289843946,300,0.5999999301508102,0.6,3.432830085099621e-08,0.9999999999999877,1.0000001164153298,544823680261,1.101273717948718e-05,7.341824786324786e-06
pilot,E50-PC80,500,6918711742289843946,400,0.7999999068677469,0.8,4.577106785589209e-08,1.0000000000000173,1.00000011641533,544823680260,1.4683649572649572e-05,3.670912393162393e-06
