tag,arm,N,seed,k_active,rounds,accepted_blocks,C_total,U_exact,R_exact,rho_exact,t_active_miner_s,t_low_miner_s,F_low,epochs_completed,exhaustions,state_time_conservation_rel,work_identity_rel
primary,E50-PC30,100,5634683829678867503,30,10,9,70199999934621155329,70199999934621155329,0,0.0,299999.9997206032,700000.0002793968,0.7000000002793968,54482370560,1634471116800,0.0,0.0
primary,E50-PC40,100,5634683829678867503,40,13,12,93599999912828207109,93599999912828207109,0,0.0,399999.99962747097,600000.000372529,0.600000000372529,54482370558,2179294822320,0.0,0.0
primary,E50-PC50,100,5634683829678867503,50,14,13,116999999891035258884,116999999891035258884,0,0.0,499999.9995343387,500000.0004656613,0.5000000004656613,54482370558,2724118527900,0.0,0.0
primary,E50-PC60,100,5634683829678867503,60,14,13,140399999869242310661,140399999869242310661,0,0.0,599999.9994412065,400000.00055879354,0.40000000055879353,54482370558,3268942233480,0.0,0.0
primary,E50-PC80,100,5634683829678867503,80,16,15,187199999825656414219,187199999825656414219,0,0.0,799999.9992549419,200000.00074505806,0.20000000074505805,54482370557,4358589644560,0.0,0.0
primary,E50-PC100,100,5634683829678867503,100,19,18,233999999782070517784,233999999782070517784,0,0.0,999999.9990686774,0.0009313225735726496,9.313225735726496e-10,54482370554,5448237055400,0.0,0.0
primary,E50-CONV100,100,11032126464482234521,100,17,16,234000000000000000000,234000000000000000000,0,0.0,1000000.0,0.0,0.0,54482369800,54482369800,0.0,0.0
primary,E50-MT100,100,11032126464482234521,100,1,0,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,1000000.0,0.0,0.0,544823706,54482370600,0.0,0.0
primary,E50-PC10,100,11032126464482234521,10,3,2,23399999978207051779,23399999978207051779,0,0.0,99999.99990686774,900000.0000931323,0.9000000000931323,54482370562,544823705620,0.0,0.0
primary,E50-PC20,100,11032126464482234521,20,5,4,46799999956414103554,46799999956414103554,0,0.0,199999.99981373549,800000.0001862645,0.8000000001862645,54482370561,1089647411220,0.0,0.0
primary,E50-PC30,100,11032126464482234521,30,8,7,70199999934621155330,70199999934621155330,0,0.0,299999.9997206032,700000.0002793968,0.7000000002793968,54482370560,1634471116800,0.0,0.0
primary,E50-PC40,100,11032126464482234521,40,10,9,93599999912828207110,93599999912828207110,0,0.0,399999.99962747097,600000.000372529,0.600000000372529,54482370558,2179294822320,0.0,0.0
primary,E50-PC50,100,11032126464482234521,50,10,9,116999999891035258886,116999999891035258886,0,0.0,499999.9995343387,500000.0004656613,0.5000000004656613,54482370557,2724118527850,0.0,0.0
primary,E50-PC60,100,11032126464482234521,60,12,11,140399999869242310672,140399999869242310672,0,0.0,599999.9994412065,400000.00055879354,0.40000000055879353,54482370555,3268942233300,0.0,0.0
primary,E50-PC80,100,11032126464482234521,80,14,13,187199999825656414227,187199999825656414227,0,0.0,799999.9992549419,200000.00074505806,0.20000000074505805,54482370555,4358589644400,0.0,0.0
primary,E50-PC100,100,11032126464482234521,100,17,16,233999999782070517784,233999999782070517784,0,0.0,999999.9990686774,0.0009313225735726496,9.313225735726496e-10,54482370554,5448237055400,0.0,0.0
primary,E50-CONV100,100,5708610443790281403,100,21,20,234000000000000000000,234000000000000000000,0,0.0,1000000.0,0.0,0.0,54482369600,54482369600,0.0,0.0
primary,E50-MT100,100,5708610443790281403,100,1,0,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,1000000.0,0.0,0.0,544823706,54482370600,0.0,0.0
primary,E50-PC10,100,5708610443790281403,10,3,2,23399999978207051781,23399999978207051781,0,0.0,99999.99990686774,900000.0000931323,0.9000000000931323,54482370563,544823705630,0.0,0.0
