tag,arm,N,seed,k_active,accepted_blocks,mean_interval_s,median_interval_s,p95_interval_s,stale_blocks
pilot,E50-PC50,300,6918711742289843946,150,4,1784.364883675284,1734.9898653890714,1969.8175915064278,0
pilot,E50-PC60,300,6918711742289843946,180,6,1495.5395082353416,1445.8248877739143,2629.7524089790686,0
pilot,E50-PC80,300,6918711742289843946,240,10,959.5820931679791,973.2124039403684,1972.3143067758194,0
pilot,E50-PC100,300,6918711742289843946,300,14,702.3264608538828,745.4020205360017,1577.8514454147073,0
pilot,E50-CONV100,300,9878713980055163606,300,7,1197.7702693610684,1365.3183014100398,1516.4727462561389,0
pilot,E50-MT100,300,9878713980055163606,300,0,,,,0
pilot,E50-PC10,300,9878713980055163606,30,0,,,,0
pilot,E50-PC20,300,9878713980055163606,60,1,7308.99908181011,7308.99908181011,7308.99908181011,0
pilot,E50-PC30,300,9878713980055163606,90,2,4471.993151907307,4471.993151907307,4071.3202492754276,0
pilot,E50-PC40,300,9878713980055163606,120,2,3353.9948639470213,3353.9948639470213,3053.4901869976325,0
pilot,E50-PC50,300,9878713980055163606,150,3,2975.469936539176,2923.599632727769,2923.599632727769,0
pilot,E50-PC60,300,9878713980055163606,180,5,1983.5417085640065,2275.5305574775357,2436.333027282895,0
pilot,E50-PC80,300,9878713980055163606,240,6,1430.8165220081876,1616.6965058114524,1827.2497704615064,0
pilot,E50-PC100,300,9878713980055163606,300,7,1197.770298352251,1365.318334460251,1516.4727829783517,0
pilot,E50-CONV100,500,6918711742289843946,500,14,702.3264438411825,745.4020024680572,1577.8514071840134,0
pilot,E50-MT100,500,6918711742289843946,500,0,,,,0
pilot,E50-PC10,500,6918711742289843946,50,2,4658.391527853149,4658.391527853149,1815.9721846623793,0
pilot,E50-PC20,500,6918711742289843946,100,2,2329.1957639293514,2329.1957639293514,907.9860923309699,0
pilot,E50-PC30,500,6918711742289843946,150,3,2870.9122575393976,2500.270290370244,2500.270290370244,0
pilot,E50-PC40,500,6918711742289843946,200,4,2230.456156528214,2168.7373822135573,2462.2720466517007,0
pilot,E50-PC50,500,6918711742289843946,250,4,1784.3649252207656,1734.9899057604785,1969.8176373086346,0
pilot,E50-PC60,500,6918711742289843946,300,6,1495.539543080556,1445.8249214860928,2629.7524702077617,0
pilot,E50-PC80,500,6918711742289843946,400,10,959.5821155063194,973.212426599735,1972.3143526483939,0
pilot,E50-PC100,500,6918711742289843946,500,14,702.3264771992024,745.4020378790082,1577.8514821029776,0
pilot,E50-CONV100,500,9878713980055163606,500,7,1197.7702693610686,1365.3183014100398,1516.472746256139,0
pilot,E50-MT100,500,9878713980055163606,500,0,,,,0
pilot,E50-PC10,500,9878713980055163606,50,0,,,,0
pilot,E50-PC20,500,9878713980055163606,100,1,7308.999251961529,7308.999251961529,7308.999251961529,0
pilot,E50-PC30,500,9878713980055163606,150,2,4471.993256035127,4471.993256035127,4071.3203440804728,0
pilot,E50-PC40,500,9878713980055163606,200,2,3353.994942019943,3353.994942019943,3053.4902580555304,0
pilot,E50-PC50,500,9878713980055163606,250,3,2975.4700058009175,2923.5997007858896,2923.5997007858896,0
pilot,E50-PC60,500,9878713980055163606,300,5,1983.5417547298039,2275.530610434386,2436.3330839837195,0
pilot,E50-PC80,500,9878713980055163606,400,6,1430.8165553077042,1616.6965434286274,1827.2498129810067,0
