tag,arm,N,seed,k_active,epochs_completed,exhaustions,unique_per_epoch,epoch_seconds
primary,E50-PC50,100,8623653743411919337,50,54482370561,2724118528050,2147483648.128687,1.8354561112211e-07
primary,E50-PC60,100,8623653743411919337,60,54482370558,3268942233480,2576980377.8963223,1.835456111322167e-07
primary,E50-PC80,100,8623653743411919337,80,54482370556,4358589644480,3435973837.321228,1.835456111389545e-07
primary,E50-PC100,100,8623653743411919337,100,54482370556,5448237055600,4294967296.651535,1.835456111389545e-07
primary,E50-CONV100,100,1326031443968983885,100,54482369000,54482369000,4294967423.314504,1.835456163809617e-07
primary,E50-MT100,100,1326031443968983885,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,1326031443968983885,10,54482370563,544823705630,429496729.6099709,1.835456111153722e-07
primary,E50-PC20,100,1326031443968983885,20,54482370561,1089647411220,858993459.2514747,1.8354561112211e-07
primary,E50-PC30,100,1326031443968983885,30,54482370562,1634471116860,1288490188.8535626,1.835456111187411e-07
primary,E50-PC40,100,1326031443968983885,40,54482370562,2179294822480,1717986918.4714167,1.835456111187411e-07
primary,E50-PC50,100,1326031443968983885,50,54482370561,2724118528050,2147483648.128687,1.8354561112211e-07
primary,E50-PC60,100,1326031443968983885,60,54482370559,3268942233540,2576980377.849023,1.835456111288478e-07
primary,E50-PC80,100,1326031443968983885,80,54482370555,4358589644400,3435973837.384294,1.8354561114232339e-07
primary,E50-PC100,100,1326031443968983885,100,54482370550,5448237055000,4294967297.124529,1.8354561115916788e-07
primary,E50-CONV100,100,8177548632312565564,100,54482369500,54482369500,4294967383.898382,1.8354561469651204e-07
primary,E50-MT100,100,8177548632312565564,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,8177548632312565564,10,54482370563,544823705630,429496729.6099709,1.835456111153722e-07
primary,E50-PC20,100,8177548632312565564,20,54482370562,1089647411240,858993459.2357084,1.835456111187411e-07
primary,E50-PC30,100,8177548632312565564,30,54482370561,1634471116830,1288490188.8772123,1.8354561112211e-07
primary,E50-PC40,100,8177548632312565564,40,54482370560,2179294822400,1717986918.5344825,1.835456111254789e-07
primary,E50-PC50,100,8177548632312565564,50,54482370561,2724118528050,2147483648.128687,1.8354561112211e-07
primary,E50-PC60,100,8177548632312565564,60,54482370560,3268942233600,2576980377.801724,1.835456111254789e-07
primary,E50-PC80,100,8177548632312565564,80,54482370558,4358589644640,3435973837.1950965,1.835456111322167e-07
