run_id,scenario_id,block_id,pair_id,master_seed,seed_index,condition,control_or_treatment,template_seed,adversarial_seed,num_miners,horizon_T,difficulty,config_sha256
A03-S20,A03,A,A03-S20,7204546077592663632,20,A03,CONTROL,569641493284683202,13765921241000322430,141,10000.0,1000,95399160bd77675c28cc3d984f85174d7b3eb52bd0ee6d350571c3c4c8c8320e
A03-S21,A03,A,A03-S21,9956737151618003453,21,A03,CONTROL,16877700863488327536,7386769304762975962,141,10000.0,1000,95399160bd77675c28cc3d984f85174d7b3eb52bd0ee6d350571c3c4c8c8320e
A03-S22,A03,A,A03-S22,16387267417201747712,22,A03,CONTROL,2806097971093939155,12452745886917361139,141,10000.0,1000,95399160bd77675c28cc3d984f85174d7b3eb52bd0ee6d350571c3c4c8c8320e
A03-S23,A03,A,A03-S23,9291552872952191884,23,A03,CONTROL,7757362910483186954,7789307205402291230,141,10000.0,1000,95399160bd77675c28cc3d984f85174d7b3eb52bd0ee6d350571c3c4c8c8320e
A03-S24,A03,A,A03-S24,6774698307268965035,24,A03,CONTROL,1576580045019179932,4935217386166152489,141,10000.0,1000,95399160bd77675c28cc3d984f85174d7b3eb52bd0ee6d350571c3c4c8c8320e
A03-S25,A03,A,A03-S25,2397802915662912221,25,A03,CONTROL,14619151551073477646,12920588218344506273,141,10000.0,1000,95399160bd77675c28cc3d984f85174d7b3eb52bd0ee6d350571c3c4c8c8320e
A03-S26,A03,A,A03-S26,16512734406278341016,26,A03,CONTROL,14322377249768527931,13254837558786523102,141,10000.0,1000,95399160bd77675c28cc3d984f85174d7b3eb52bd0ee6d350571c3c4c8c8320e
A03-S27,A03,A,A03-S27,7759242425029944541,27,A03,CONTROL,1149342802584957422,5649797684190372106,141,10000.0,1000,95399160bd77675c28cc3d984f85174d7b3eb52bd0ee6d350571c3c4c8c8320e
A03-S28,A03,A,A03-S28,11711687275972324145,28,A03,CONTROL,1080364485313091703,6989550281425801118,141,10000.0,1000,95399160bd77675c28cc3d984f85174d7b3eb52bd0ee6d350571c3c4c8c8320e
A03-S29,A03,A,A03-S29,4354161107732199298,29,A03,CONTROL,958257433142140251,11054401464327553918,141,10000.0,1000,95399160bd77675c28cc3d984f85174d7b3eb52bd0ee6d350571c3c4c8c8320e
A04-S00,A04,A,A03-S00,7266343386191483739,0,A04,TREATMENT,12089769011917694374,1988348648956568175,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S01,A04,A,A03-S01,7327669731288643706,1,A04,TREATMENT,12962257606173152482,5324873478951682309,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S02,A04,A,A03-S02,14021529625252821637,2,A04,TREATMENT,10111987247277390914,7444505376397852194,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S03,A04,A,A03-S03,13015257401067502099,3,A04,TREATMENT,17270178139864731407,8641882922361671506,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S04,A04,A,A03-S04,4888788266148067928,4,A04,TREATMENT,2317428014290689691,5004527360990479258,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S05,A04,A,A03-S05,372686234733934361,5,A04,TREATMENT,4112462094266218956,12493455952218554452,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S06,A04,A,A03-S06,8946841158517248766,6,A04,TREATMENT,18344430265889267866,3607112505366798910,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S07,A04,A,A03-S07,9009703059525875822,7,A04,TREATMENT,17090463357186446524,16318870803467828902,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S08,A04,A,A03-S08,13763262471769672163,8,A04,TREATMENT,16125149457169702369,9691583463255889012,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S09,A04,A,A03-S09,11943450448932995834,9,A04,TREATMENT,17149423523499720600,14346439664770562953,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S10,A04,A,A03-S10,383364110206706523,10,A04,TREATMENT,523302846518345112,15696728803483267094,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S11,A04,A,A03-S11,7597450664324651830,11,A04,TREATMENT,7369064661370065246,5366810094079678820,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
