scenario_id,metric,seed_index,value
P01_POCOL_STAGE8S_COARSE,useful deficit area,9,36341.083333333554
P01_POCOL_STAGE8S_COARSE,useful deficit area,10,39962.833333333394
P01_POCOL_STAGE8S_COARSE,useful deficit area,11,46818.4166666669
P01_POCOL_STAGE8S_COARSE,useful deficit area,MEAN,41310.562500000204
P02_POCOL_SINGLE_HANDOFF,useful deficit area,0,23547.3333333333
P02_POCOL_SINGLE_HANDOFF,useful deficit area,1,21845.6666666667
P02_POCOL_SINGLE_HANDOFF,useful deficit area,2,22500.666666666693
P02_POCOL_SINGLE_HANDOFF,useful deficit area,3,23995.58333333332
P02_POCOL_SINGLE_HANDOFF,useful deficit area,4,25353.666666666686
P02_POCOL_SINGLE_HANDOFF,useful deficit area,5,22313.25000000002
P02_POCOL_SINGLE_HANDOFF,useful deficit area,6,22488.999999999964
P02_POCOL_SINGLE_HANDOFF,useful deficit area,7,22426.249999999876
P02_POCOL_SINGLE_HANDOFF,useful deficit area,8,22928.333333333234
P02_POCOL_SINGLE_HANDOFF,useful deficit area,9,21210.25000000006
P02_POCOL_SINGLE_HANDOFF,useful deficit area,10,22677.66666666667
P02_POCOL_SINGLE_HANDOFF,useful deficit area,11,25005.999999992917
P02_POCOL_SINGLE_HANDOFF,useful deficit area,MEAN,23024.47222222162
