accepted_block_interval_s,accepted_main_blocks,active_mining_time_s,aggregate_hashrate_THs,aggregate_power_W,co2_kg,config_hash,confirmation_time_6blk_s,created_block_interval_s,created_blocks,energy_kWh,energy_per_accepted_block_kWh,energy_per_tx_kWh,exhausted_rounds,idle_after_range,idle_miner_seconds,n_miners,pct_time_active,per_miner_energy_kwh_max,per_miner_energy_kwh_min,protocol,seed,sim_time,stale_blocks,stale_rate_pct,throughput_tx_per_s,total_hashes
639.5586468953147,14,3000000.0,141.0,3031.5000000000045,3.7472708333333586,ba9649cc2ba5d2d6,3837.3518813718883,714.2857142857143,14,8.420833333333293,0.6014880952380924,0.00032728956948708827,3,False,0.0,300,100.0,0.028069444444444445,0.028069444444444445,PoCol,20,10000.0,0,0.0,2.5729,1.4099999999999997e+18
572.4853928315385,16,3000000.0,141.0,3031.5000000000045,3.7472708333333586,ba9649cc2ba5d2d6,3434.9123569892313,625.0,16,8.420833333333293,0.5263020833333308,0.00028521993406494016,2,False,0.0,300,100.0,0.02806944444444445,0.02806944444444445,PoCol,21,10000.0,0,0.0,2.9524,1.41e+18
788.3832838986243,12,1850116.42226907,141.0,3031.5000000000045,2.310962435813272,ba9649cc2ba5d2d6,4730.299703391745,833.3333333333334,12,5.19317401306357,0.4327645010886308,0.0002343913167116614,1,True,1149883.5777309323,300,61.67054740896901,0.01731058004354525,0.01731058004354525,PoCol,22,10000.0,0,0.0,2.2156,8.695547184664607e+17
771.526376937078,11,1751027.9194207166,141.0,3031.5000000000045,2.187191950265876,ba9649cc2ba5d2d6,4629.158261622468,909.0909090909091,11,4.915038090485094,0.44682164458955403,0.00024148961285732295,1,True,1248972.0805792834,300,58.36759731402388,0.016383460301617,0.016383460301617,PoCol,21,10000.0,0,0.0,2.0353,8.22983122127734e+17
878.2906615873976,9,2282343.9952759393,141.0,3031.5000000000045,2.850853695043655,ba9649cc2ba5d2d6,5269.743969524386,1111.111111111111,9,6.4064127978509635,0.7118236442056626,0.0003881733396661999,3,True,717656.0047240597,300,76.07813317586465,0.021354709326169802,0.021354709326169802,PoCol,23,10000.0,0,0.0,1.6504,1.072701677779697e+18
659.2697946595208,13,3000000.0,141.0,3031.5000000000045,3.7472708333333586,ba9649cc2ba5d2d6,3955.618767957125,769.2307692307693,13,8.420833333333293,0.6477564102564072,0.00035286763884232706,5,False,0.0,300,100.0,0.028069444444444445,0.028069444444444445,PoCol,23,10000.0,0,0.0,2.3864,1.41e+18
441.0831101441497,19,3000000.0,141.0,3031.5000000000045,3.7472708333333586,ba9649cc2ba5d2d6,2646.4986608648983,526.3157894736842,19,8.420833333333293,0.4432017543859628,0.00024170015308074894,2,False,0.0,300,100.0,0.02806944444444445,0.02806944444444445,PoCol,22,10000.0,0,0.0,3.484,1.41e+18
580.4793624667382,11,3000000.0,141.0,3031.5000000000045,3.7472708333333586,ba9649cc2ba5d2d6,3482.876174800429,909.0909090909091,11,8.420833333333293,0.7655303030302995,0.000404381162760915,3,False,0.0,300,100.0,0.028069444444444445,0.028069444444444445,PoCol,24,10000.0,0,0.0,2.0824,1.41e+18
987.2068831375584,10,1742545.4468351726,141.0,3031.5000000000045,2.1765965762277526,ba9649cc2ba5d2d6,5923.241298825351,1000.0,10,4.8912282611859705,0.48912282611859703,0.0002579353615559759,1,True,1257454.553164821,300,58.08484822783908,0.016304094203953234,0.016304094203953234,PoCol,24,10000.0,0,0.0,1.8963,8.189963600125407e+17
663.414249131018,15,3000000.0,141.0,3031.5000000000045,3.7472708333333586,ba9649cc2ba5d2d6,3980.4854947861077,666.6666666666666,15,8.420833333333293,0.5613888888888863,0.0003058673253181248,2,False,0.0,300,100.0,0.02806944444444445,0.02806944444444445,PoCol,26,10000.0,0,0.0,2.7531,1.41e+18
513.9655578508493,19,3000000.0,141.0,3031.5000000000045,3.7472708333333586,ba9649cc2ba5d2d6,3083.793347105096,526.3157894736842,19,8.420833333333293,0.4432017543859628,0.00023807167830520182,2,False,0.0,300,100.0,0.02806944444444445,0.02806944444444445,PoCol,25,10000.0,0,0.0,3.5371,1.41e+18
