mode,N,seed,M,p_success,total_attempts,total_energy,completion_time,solution_found,winner_id,duplicate_header_evaluations
independent_candidate_headers,200,1,4294967296,4.656612873077393e-10,3214580000,3214580000.0,16072900.0,True,40,0
duplicate_full_domain,200,2,4294967296,4.656612873077393e-10,19310824800,19310824800.0,96554124.0,True,0,19214270676
disjoint_partition,200,2,4294967296,4.656612873077393e-10,2130955200,2130955200.0,10654776.0,True,4,0
independent_candidate_headers,200,2,4294967296,4.656612873077393e-10,565775800,565775800.0,2828879.0,True,33,0
duplicate_full_domain,200,3,4294967296,4.656612873077393e-10,616599782400,616599782400.0,3082998912.0,True,0,613516783488
disjoint_partition,200,3,4294967296,4.656612873077393e-10,2419453600,2419453600.0,12097268.0,True,143,0
independent_candidate_headers,200,3,4294967296,4.656612873077393e-10,640881000,640881000.0,3204405.0,True,83,0
duplicate_full_domain,200,4,4294967296,4.656612873077393e-10,620072900200,620072900200.0,3100364501.0,True,0,616972535699
disjoint_partition,200,4,4294967296,4.656612873077393e-10,1597604200,1597604200.0,7988021.0,True,144,0
independent_candidate_headers,200,4,4294967296,4.656612873077393e-10,1016305400,1016305400.0,5081527.0,True,113,0
duplicate_full_domain,200,5,4294967296,4.656612873077393e-10,203309392000,203309392000.0,1016546960.0,True,0,202292845040
disjoint_partition,200,5,4294967296,4.656612873077393e-10,1445924200,1445924200.0,7229621.0,True,47,0
independent_candidate_headers,200,5,4294967296,4.656612873077393e-10,300775400,300775400.0,1503877.0,True,124,0
duplicate_full_domain,200,6,4294967296,4.656612873077393e-10,99429907000,99429907000.0,497149535.0,True,0,98932757465
disjoint_partition,200,6,4294967296,4.656612873077393e-10,645656800,645656800.0,3228284.0,True,23,0
independent_candidate_headers,200,6,4294967296,4.656612873077393e-10,52145800,52145800.0,260729.0,True,71,0
duplicate_full_domain,200,7,4294967296,4.656612873077393e-10,484269611800,484269611800.0,2421348059.0,True,0,481848263741
disjoint_partition,200,7,4294967296,4.656612873077393e-10,3233266200,3233266200.0,16166331.0,True,112,0
independent_candidate_headers,200,7,4294967296,4.656612873077393e-10,2972621800,2972621800.0,14863109.0,True,143,0
duplicate_full_domain,200,8,4294967296,4.656612873077393e-10,637416901800,637416901800.0,3187084509.0,True,0,634229817291
disjoint_partition,200,8,4294967296,4.656612873077393e-10,1761737000,1761737000.0,8808685.0,True,148,0
independent_candidate_headers,200,8,4294967296,4.656612873077393e-10,374452800,374452800.0,1872264.0,True,6,0
duplicate_full_domain,200,9,4294967296,4.656612873077393e-10,330717779000,330717779000.0,1653588895.0,True,0,329064190105
disjoint_partition,200,9,4294967296,4.656612873077393e-10,5289200,5289200.0,26446.0,True,77,0
independent_candidate_headers,200,9,4294967296,4.656612873077393e-10,875230400,875230400.0,4376152.0,True,70,0
duplicate_full_domain,200,10,4294967296,4.656612873077393e-10,240372675800,240372675800.0,1201863379.0,True,0,239170812421
disjoint_partition,200,10,4294967296,4.656612873077393e-10,4149468800,4149468800.0,20747344.0,True,55,0
independent_candidate_headers,200,10,4294967296,4.656612873077393e-10,129711400,129711400.0,648557.0,True,150,0
duplicate_full_domain,200,11,4294967296,4.656612873077393e-10,340691293400,340691293400.0,1703456467.0,True,0,338987836933
disjoint_partition,200,11,4294967296,4.656612873077393e-10,1388868800,1388868800.0,6944344.0,True,79,0
independent_candidate_headers,200,11,4294967296,4.656612873077393e-10,275986200,275986200.0,1379931.0,True,163,0
duplicate_full_domain,200,12,4294967296,4.656612873077393e-10,320123118800,320123118800.0,1600615594.0,True,0,318522503206
disjoint_partition,200,12,4294967296,4.656612873077393e-10,2295531200,2295531200.0,11477656.0,True,74,0
independent_candidate_headers,200,12,4294967296,4.656612873077393e-10,646821200,646821200.0,3234106.0,True,99,0
duplicate_full_domain,200,13,4294967296,4.656612873077393e-10,580204740200,580204740200.0,2901023701.0,True,0,577303716499
disjoint_partition,200,13,4294967296,4.656612873077393e-10,384149000,384149000.0,1920745.0,True,135,0
independent_candidate_headers,200,13,4294967296,4.656612873077393e-10,896963800,896963800.0,4484819.0,True,103,0
duplicate_full_domain,200,14,4294967296,4.656612873077393e-10,858993459200,858993459200.0,4294967296.0,False,,854698491904
disjoint_partition,200,14,4294967296,4.656612873077393e-10,4294967296,4294967296.0,21474837.0,False,,0
independent_candidate_headers,200,14,4294967296,4.656612873077393e-10,1507568400,1507568400.0,7537842.0,True,184,0
duplicate_full_domain,200,15,4294967296,4.656612873077393e-10,15193999000,15193999000.0,75969995.0,True,0,15118029005
disjoint_partition,200,15,4294967296,4.656612873077393e-10,2309096800,2309096800.0,11545484.0,True,3,0
independent_candidate_headers,200,15,4294967296,4.656612873077393e-10,78934200,78934200.0,394671.0,True,9,0
duplicate_full_domain,200,16,4294967296,4.656612873077393e-10,436982960000,436982960000.0,2184914800.0,True,0,434798045200
disjoint_partition,200,16,4294967296,4.656612873077393e-10,3191253600,3191253600.0,15956268.0,True,101,0
independent_candidate_headers,200,16,4294967296,4.656612873077393e-10,1104697400,1104697400.0,5523487.0,True,180,0
duplicate_full_domain,200,17,4294967296,4.656612873077393e-10,279223776400,279223776400.0,1396118882.0,True,0,277827657518
disjoint_partition,200,17,4294967296,4.656612873077393e-10,50895400,50895400.0,254477.0,True,65,0
independent_candidate_headers,200,17,4294967296,4.656612873077393e-10,667524800,667524800.0,3337624.0,True,17,0
duplicate_full_domain,200,18,4294967296,4.656612873077393e-10,733492789800,733492789800.0,3667463949.0,True,0,729825325851
disjoint_partition,200,18,4294967296,4.656612873077393e-10,3348346600,3348346600.0,16741733.0,True,170,0
independent_candidate_headers,200,18,4294967296,4.656612873077393e-10,1572635000,1572635000.0,7863175.0,True,178,0
duplicate_full_domain,200,19,4294967296,4.656612873077393e-10,167459986400,167459986400.0,837299932.0,True,0,166622686468
disjoint_partition,200,19,4294967296,4.656612873077393e-10,4251225200,4251225200.0,21256126.0,True,38,0
independent_candidate_headers,200,19,4294967296,4.656612873077393e-10,1369295600,1369295600.0,6846478.0,True,5,0
duplicate_full_domain,200,20,4294967296,4.656612873077393e-10,42569036000,42569036000.0,212845180.0,True,0,42356190820
disjoint_partition,200,20,4294967296,4.656612873077393e-10,3914329400,3914329400.0,19571647.0,True,9,0
independent_candidate_headers,200,20,4294967296,4.656612873077393e-10,1720424400,1720424400.0,8602122.0,True,54,0
duplicate_full_domain,200,21,4294967296,4.656612873077393e-10,774002943200,774002943200.0,3870014716.0,True,0,770132928484
disjoint_partition,200,21,4294967296,4.656612873077393e-10,908828000,908828000.0,4544140.0,True,180,0
independent_candidate_headers,200,21,4294967296,4.656612873077393e-10,1048732200,1048732200.0,5243661.0,True,18,0
duplicate_full_domain,200,22,4294967296,4.656612873077393e-10,18334771200,18334771200.0,91673856.0,True,0,18243097344
disjoint_partition,200,22,4294967296,4.656612873077393e-10,1154901600,1154901600.0,5774508.0,True,4,0
independent_candidate_headers,200,22,4294967296,4.656612873077393e-10,588533000,588533000.0,2942665.0,True,3,0
duplicate_full_domain,200,23,4294967296,4.656612873077393e-10,33546798200,33546798200.0,167733991.0,True,0,33379064209
disjoint_partition,200,23,4294967296,4.656612873077393e-10,3482026400,3482026400.0,17410132.0,True,7,0
independent_candidate_headers,200,23,4294967296,4.656612873077393e-10,5090566000,5090566000.0,25452830.0,True,75,0
duplicate_full_domain,200,24,4294967296,4.656612873077393e-10,145683469200,145683469200.0,728417346.0,True,0,144955051854
disjoint_partition,200,24,4294967296,4.656612873077393e-10,3949545000,3949545000.0,19747725.0,True,33,0
independent_candidate_headers,200,24,4294967296,4.656612873077393e-10,738240000,738240000.0,3691200.0,True,3,0
duplicate_full_domain,200,25,4294967296,4.656612873077393e-10,419021343200,419021343200.0,2095106716.0,True,0,416926236484
disjoint_partition,200,25,4294967296,4.656612873077393e-10,2409505600,2409505600.0,12047528.0,True,97,0
independent_candidate_headers,200,25,4294967296,4.656612873077393e-10,5988892600,5988892600.0,29944463.0,True,79,0
duplicate_full_domain,200,26,4294967296,4.656612873077393e-10,125112507000,125112507000.0,625562535.0,True,0,124486944465
disjoint_partition,200,26,4294967296,4.656612873077393e-10,558452400,558452400.0,2792262.0,True,29,0
independent_candidate_headers,200,26,4294967296,4.656612873077393e-10,448610000,448610000.0,2243050.0,True,189,0
duplicate_full_domain,200,27,4294967296,4.656612873077393e-10,186013986600,186013986600.0,930069933.0,True,0,185083916667
disjoint_partition,200,27,4294967296,4.656612873077393e-10,1330388400,1330388400.0,6651942.0,True,43,0
independent_candidate_headers,200,27,4294967296,4.656612873077393e-10,1162846200,1162846200.0,5814231.0,True,40,0
duplicate_full_domain,200,28,4294967296,4.656612873077393e-10,858993459200,858993459200.0,4294967296.0,False,,854698491904
disjoint_partition,200,28,4294967296,4.656612873077393e-10,4294967296,4294967296.0,21474837.0,False,,0
independent_candidate_headers,200,28,4294967296,4.656612873077393e-10,626028800,626028800.0,3130144.0,True,149,0
duplicate_full_domain,200,29,4294967296,4.656612873077393e-10,258240390800,258240390800.0,1291201954.0,True,0,256949188846
disjoint_partition,200,29,4294967296,4.656612873077393e-10,542346800,542346800.0,2711734.0,True,60,0
independent_candidate_headers,200,29,4294967296,4.656612873077393e-10,541459600,541459600.0,2707298.0,True,12,0
duplicate_full_domain,300,0,4294967296,4.656612873077393e-10,108943833300,108943833300.0,363146111.0,True,0,108580687189
disjoint_partition,300,0,4294967296,4.656612873077393e-10,1569648300,1569648300.0,5232161.0,True,25,0
independent_candidate_headers,300,0,4294967296,4.656612873077393e-10,373539000,373539000.0,1245130.0,True,215,0
duplicate_full_domain,300,1,4294967296,4.656612873077393e-10,1288490188800,1288490188800.0,4294967296.0,False,,1284195221504
disjoint_partition,300,1,4294967296,4.656612873077393e-10,4294967296,4294967296.0,14316558.0,False,,0
independent_candidate_headers,300,1,4294967296,4.656612873077393e-10,4821870000,4821870000.0,16072900.0,True,40,0
duplicate_full_domain,300,2,4294967296,4.656612873077393e-10,28966237200,28966237200.0,96554124.0,True,0,28869683076
disjoint_partition,300,2,4294967296,4.656612873077393e-10,3196432800,3196432800.0,10654776.0,True,6,0
independent_candidate_headers,300,2,4294967296,4.656612873077393e-10,848663700,848663700.0,2828879.0,True,33,0
duplicate_full_domain,300,3,4294967296,4.656612873077393e-10,924899673600,924899673600.0,3082998912.0,True,0,921816674688
disjoint_partition,300,3,4294967296,4.656612873077393e-10,1481688300,1481688300.0,4938961.0,True,215,0
independent_candidate_headers,300,3,4294967296,4.656612873077393e-10,961321500,961321500.0,3204405.0,True,83,0
duplicate_full_domain,300,4,4294967296,4.656612873077393e-10,930109350300,930109350300.0,3100364501.0,True,0,927008985799
disjoint_partition,300,4,4294967296,4.656612873077393e-10,2396397900,2396397900.0,7987993.0,True,216,0
independent_candidate_headers,300,4,4294967296,4.656612873077393e-10,1524458100,1524458100.0,5081527.0,True,113,0
duplicate_full_domain,300,5,4294967296,4.656612873077393e-10,304964088000,304964088000.0,1016546960.0,True,0,303947541040
disjoint_partition,300,5,4294967296,4.656612873077393e-10,21402600,21402600.0,71342.0,True,71,0
independent_candidate_headers,300,5,4294967296,4.656612873077393e-10,451163100,451163100.0,1503877.0,True,124,0
duplicate_full_domain,300,6,4294967296,4.656612873077393e-10,149144860500,149144860500.0,497149535.0,True,0,148647710965
disjoint_partition,300,6,4294967296,4.656612873077393e-10,3115968900,3115968900.0,10386563.0,True,34,0
independent_candidate_headers,300,6,4294967296,4.656612873077393e-10,78218700,78218700.0,260729.0,True,71,0
duplicate_full_domain,300,7,4294967296,4.656612873077393e-10,726404417700,726404417700.0,2421348059.0,True,0,723983069641
disjoint_partition,300,7,4294967296,4.656612873077393e-10,554927100,554927100.0,1849757.0,True,169,0
independent_candidate_headers,300,7,4294967296,4.656612873077393e-10,4458932700,4458932700.0,14863109.0,True,143,0
