N,alpha_case,alpha,alpha_note,P_low_W_per_miner,pairs,PoW_energy_kWh_mean,PoCol_energy_kWh_mean,PoCol_active_energy_kWh_mean,PoCol_low_power_energy_kWh_mean,paired_energy_difference_kWh_mean,energy_saving_fraction_mean,energy_saving_fraction_median,energy_saving_fraction_sd,energy_saving_ci95_low,energy_saving_ci95_high,energy_saving_pct_mean,PoW_energy_per_block_kWh_mean,PoCol_energy_per_block_kWh_mean,low_power_fraction_mean
300,LP25,0.25,25% of active power; not a vendor-certified mode,877.5,30,2925.0,2919.6598915271484,2917.879855369531,1.7800361576172847,-5.340108472851292,0.0018256781103764533,0.0017773090613377,0.00037402114870345926,0.0016860163181732677,0.0019653399025796386,0.18256781103764533,208.86021969376478,209.18456365971244,0.0024342374805022137
300,LP50,0.5,50% of active power; not a vendor-certified mode,1755.0,30,2925.0,2921.4399276847666,2917.879855369531,3.5600723152345695,-3.560072315234023,0.0012171187402509032,0.0011848727075585,0.00024934743246895835,0.0011240108787821182,0.0013102266017196882,0.12171187402509032,208.86021969376478,209.31924968197984,0.0024342374805022137
400,LP0,0.0,idealized lower bound (0 W); not a vendor-certified mode,0.0,30,3900.0,3890.949235254045,3890.949235254045,0.0,-9.050764745954515,0.00232070890921906,0.0023154398506786498,0.0005924469657900697,0.002099485576489332,0.0025419322419487885,0.23207089092190603,245.44744978776473,246.10946065389734,0.0023207089092189765
400,LP10,0.1,10% of active power; not a vendor-certified mode,351.0,30,3900.0,3891.8543117286413,3890.949235254045,0.905076474595422,-8.14568827135913,0.002088638018297164,0.0020838958656107,0.0005332022692110913,0.0018895370188403982,0.00228773901775393,0.2088638018297164,245.44744978776473,246.17032723645704,0.0023207089092189765
400,LP25,0.25,25% of active power; not a vendor-certified mode,877.5,30,3900.0,3893.211926440534,3890.949235254045,2.2626911864885555,-6.78807355946592,0.00174053168191427,0.0017365798880089002,0.0004443352243425787,0.0015746141823669642,0.001906449181461576,0.17405316819142702,245.44744978776473,246.26162711029653,0.0023207089092189765
400,LP50,0.5,50% of active power; not a vendor-certified mode,1755.0,30,3900.0,3895.474617627023,3890.949235254045,4.525382372977111,-4.5253823729774165,0.0011603544546095368,0.0011577199253391,0.00029622348289508126,0.0010497427882446555,0.001270966120974418,0.11603544546095368,245.44744978776473,246.4137935666957,0.0023207089092189765
500,LP0,0.0,idealized lower bound (0 W); not a vendor-certified mode,0.0,30,4875.0,4862.478650378058,4862.478650378058,0.0,-12.52134962194241,0.0025684819737317307,0.0025794082474583,0.0006504641010958967,0.0023255946866416817,0.0028113692608217797,0.25684819737317305,310.3413351116398,310.0217393317886,0.0025684819737315195
500,LP10,0.1,10% of active power; not a vendor-certified mode,351.0,30,4875.0,4863.730785340251,4862.478650378058,1.2521349621941353,-11.269214659748226,0.0023116337763585734,0.0023214674227123996,0.0005854176909862989,0.0020930352179775323,0.0025302323347396144,0.23116337763585734,310.3413351116398,310.1068034849371,0.0025684819737315195
500,LP25,0.25,25% of active power; not a vendor-certified mode,877.5,30,4875.0,4865.608987783542,4862.478650378058,3.1303374054853377,-9.391012216457147,0.0019263614802988468,0.00193455618559375,0.00048784807582186716,0.0017441960149813308,0.002108526945616363,0.19263614802988469,310.3413351116398,310.2343997146599,0.0025684819737315195
500,LP50,0.5,50% of active power; not a vendor-certified mode,1755.0,30,4875.0,4868.739325189028,4862.478650378058,6.260674810970675,-6.260674810971765,0.0012842409868659733,0.00128970412372915,0.00032523205054784413,0.0011627973433209879,0.0014056846304109588,0.12842409868659732,310.3413351116398,310.44706009753116,0.0025684819737315195
