N,metric,family,n_pairs,mean_control,mean_treatment,mean_difference,median_difference,sd_difference,iqr_difference,q1_difference,q3_difference,ci95_mean_low,ci95_mean_high,ci95_median_low,ci95_median_high,relative_difference,n_negative,n_zero,n_positive,shapiro_p,normality_ok,ttest_t,ttest_p,wilcoxon_W,wilcoxon_p,recommended_test,recommended_p,p_holm,cohen_dz,rank_biserial
200,median_block_interval,latency,30,432.9547625235044,434.96539224887783,2.0106297253734016,0.0,11.059411517282728,0.7266514432654958,0.0,0.7266514432654958,-2.1190224041131773,6.14028185485998,0.0,1.1368683772161603e-13,0.004643971840508967,1,19,10,7.766042366513665e-11,False,0.9957738290653717,0.32759669507196204,10.0,0.04085984371280629,Wilcoxon signed-rank,0.04085984371280629,0.19126456911746467,0.18180259611746583,0.696969696969697
200,energy_kWh_LP0,energy_LP0,30,1950.0,1945.7722362347017,-4.227763765298361,-4.140241169995875,0.874628773974716,1.0228891847710884,-4.7377240348826035,-3.714834850111515,-4.5543555168857335,-3.901172013710989,-4.453865927412351,-3.8567882805658655,-0.002168083982204288,30,0,0,0.6881394770591027,True,-26.47570776266081,7.279989519927504e-22,0.0,1.862645149230957e-09,paired t-test,7.279989519927504e-22,2.9119958079710014e-21,-4.833780789174653,-1.0
200,energy_kWh_LP10,energy_LP10,30,1950.0,1946.1950126112313,-3.8049873887684726,-3.7262170529961622,0.7871658965772389,0.9206002662934907,-4.2639516313939225,-3.343351365100432,-4.098919965197106,-3.51105481233984,-4.008479334670889,-3.4711094525093813,-0.0019512755839838321,30,0,0,0.6881394770589357,True,-26.475707762660626,7.279989519928927e-22,0.0,1.862645149230957e-09,paired t-test,7.279989519928927e-22,2.911995807971571e-21,-4.833780789174619,-1.0
200,energy_kWh_LP25,energy_LP25,30,1950.0,1946.8291771760264,-3.1708228239737157,-3.105180877496764,0.6559715804810912,0.7671668885780605,-3.5532930261617253,-2.786126137583665,-3.415766637664265,-2.9258790102831664,-3.3403994455589805,-2.8925912104241434,-0.0016260629866531875,30,0,0,0.6881394770587743,True,-26.475707762658157,7.279989519947858e-22,0.0,1.862645149230957e-09,paired t-test,7.279989519947858e-22,2.911995807979143e-21,-4.833780789174169,-1.0
200,energy_kWh_LP50,energy_LP50,30,1950.0,1947.8861181173509,-2.1138818826490935,-2.070120584997653,0.43731438698746716,0.5114445923855442,-2.368862017441188,-1.857417425055644,-2.27717775844282,-1.9505860068553666,-2.2269329637058375,-1.9283941402826486,-0.0010840419911020993,30,0,0,0.6881394770581452,True,-26.4757077626531,7.279989519986637e-22,0.0,1.862645149230957e-09,paired t-test,7.279989519986637e-22,2.9119958079946546e-21,-4.833780789173247,-1.0
300,accepted_blocks,service,30,15.733333333333333,15.666666666666666,-0.06666666666666667,0.0,0.2537081317024625,0.0,0.0,0.0,-0.16140283998979837,0.028069506656465057,0.0,0.0,-0.00423728813559322,2,28,0,4.401719843571043e-11,False,-1.4392458342578487,0.16078820842587663,0.0,0.15729920705028502,Wilcoxon signed-rank,0.15729920705028502,0.4718976211508551,-0.26276913640612176,-1.0
300,total_evaluations,work,30,7.020000000000001e+20,7.002911652886873e+20,-1.708834711312597e+18,-1.663561281412137e+18,3.5008379518648634e+17,4.320885168410788e+17,-1.9159741121314488e+18,-1.48388559529037e+18,-1.8395581488147968e+18,-1.5781112738103972e+18,-1.8735458923248353e+18,-1.546195847181697e+18,-0.0024342374805022744,30,0,0,0.9151790987269643,True,-26.735522503552524,5.54400774515377e-22,0.0,1.862645149230957e-09,paired t-test,5.54400774515377e-22,2.772003872576885e-21,-4.881216253960903,-1.0
300,unique_evaluations,work,30,7.020000000000001e+20,7.002911652886873e+20,-1.708834711312597e+18,-1.663561281412137e+18,3.5008379518648634e+17,4.320885168410788e+17,-1.9159741121314488e+18,-1.48388559529037e+18,-1.8395581488147968e+18,-1.5781112738103972e+18,-1.8735458923248353e+18,-1.546195847181697e+18,-0.0024342374805022744,30,0,0,0.9151790987269643,True,-26.735522503552524,5.54400774515377e-22,0.0,1.862645149230957e-09,paired t-test,5.54400774515377e-22,2.772003872576885e-21,-4.881216253960903,-1.0
300,duplicate_evaluations,work,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,30,0,,False,,,,,Wilcoxon signed-rank,,0.0,,0.0
300,active_miner_seconds,active_time,30,3000000.0,2992697.287558494,-7302.71244150619,-7109.236245350679,1496.0845948139126,1846.5321232529823,-8187.92355611606,-6341.391432863078,-7861.35961031896,-6744.0652726934195,-8006.606377456104,-6607.674560606945,-0.002434237480502063,30,0,0,0.9151790987267768,True,-26.735522503552552,5.5440077451536035e-22,0.0,1.862645149230957e-09,paired t-test,5.5440077451536035e-22,2.7720038725768017e-21,-4.8812162539609085,-1.0
