run_id,phase,protocol,protocol_label,N,seed,seed_index,tag,miner_hashrate_THs,aggregate_hashrate_THs,active_power_W_per_miner,aggregate_full_power_W,difficulty,target,q_per_candidate,simulation_seconds,epoch_sweep_s,nonce_domain,range_per_miner,accepted_blocks,closed_rounds,blocks_created,blocks_per_hour,total_evaluations,unique_evaluations,duplicate_evaluations,duplicate_ratio,distinct_nonce_values,nonce_value_reuse_ratio,n_templates,active_miner_seconds,low_power_miner_seconds,low_power_fraction,mean_block_interval,median_block_interval,sd_block_interval,p95_block_interval,stale_blocks,stale_rate,range_completions,epoch_exhaustions,exhaustion_count,domain_artifact_exhaustions,active_to_low_transitions,low_to_active_transitions,low_episodes,mean_low_duration_s,median_low_duration_s,max_low_duration_s,miners_entering_low,fraction_miners_entering_low,mean_simultaneous_low_miners,max_simultaneous_low_miners,state_time_conservation_error_s,work_accounting_error,energy_active_J,energy_total_J_LP0,energy_total_kWh_LP0,execution_time_seconds,commit_hash,config_hash
8X_N100_POW_seed006,primary,POW,"X-PW (traditional competitive PoW, per-miner distinct templates)",100,2558760955731327512,6,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,19,19,19,6.84,234000000000000000445,234000000000000000445,0,0.0,4294967296,0.9999999999816455,2800,1000000.0,0.0,0.0,467.5982097901925,474.97952283839004,411.4911620878313,1002.0467387717653,0,0.0,800,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.012866650999967533,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POCOL_seed006,primary,POCOL,X-PC (PoCol static disjoint allocation + post-range low power),100,2558760955731327512,6,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,19,19,19,6.84,233671777959317303595,233671777959317303595,0,0.0,4294967296,0.9999999999816197,28,998597.3417064842,1402.6582935158017,0.0014026582935158017,468.2112676490325,474.97952283839004,412.46149612793596,1004.2232663318862,0,0.0,800,8,8,0,800,800,800,1.753322866894752,1.8412427037778798,4.794131261121038,100,1.0,0.14026582935158016,100,1.8189894035458565e-12,0.0,3505076669.3897595,3505076669.3897595,973.6324081638221,0.01647758499984775,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POW_seed007,primary,POW,"X-PW (traditional competitive PoW, per-miner distinct templates)",100,7890926658382884983,7,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,21,21,21,7.5600000000000005,234000000000000000489,234000000000000000489,0,0.0,4294967296,0.9999999999816455,3100,1000000.0,0.0,0.0,475.5003379074803,296.051395290967,615.4613319873716,1964.2759783437045,0,0.0,900,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.014695416999984445,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POCOL_seed007,primary,POCOL,X-PC (PoCol static disjoint allocation + post-range low power),100,7890926658382884983,7,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,20,20,20,7.2,233537686249945614877,233537686249945614877,0,0.0,4294967296,0.9999999999816092,30,998024.300213443,1975.6997865571932,0.001975699786557193,493.7059110798779,316.8489381649636,627.9470376791376,1983.8977083636057,0,0.0,900,9,9,0,900,900,900,2.195221985063548,2.2221368585505843,6.121923774149764,100,1.0,0.19756997865571932,100,1.8189894035458565e-12,1.4031140123966876e-16,3503065293.749185,3503065293.749185,973.0736927081069,0.01839627700019264,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POW_seed008,primary,POW,"X-PW (traditional competitive PoW, per-miner distinct templates)",100,3687042657521687600,8,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,16,16,16,5.76,234000000000000000855,234000000000000000855,0,0.0,4294967296,0.9999999999816455,2800,1000000.0,0.0,0.0,598.4230664754829,223.11639464264272,746.6317802817609,2044.1737755085135,0,0.0,1100,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.012442921999991086,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POCOL_seed008,primary,POCOL,X-PC (PoCol static disjoint allocation + post-range low power),100,3687042657521687600,8,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,16,16,16,5.76,233436154021104964475,233436154021104964475,0,0.0,4294967296,0.999999999981601,28,997590.4017995934,2409.5982004061398,0.00240959820040614,599.9073628487957,223.11639464264272,749.3488072981812,2050.616096664424,0,0.0,1100,11,11,0,1100,1100,1100,2.1905438185510366,2.117248591200621,6.14852882492869,100,1.0,0.24095982004061403,100,1.8189894035458565e-12,5.614897167477744e-16,3501542310.3165727,3501542310.3165727,972.6506417546035,0.017184368999551225,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POW_seed009,primary,POW,"X-PW (traditional competitive PoW, per-miner distinct templates)",100,5165136745342788261,9,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,22,22,22,7.92,233999999999999998718,233999999999999998718,0,0.0,4294967296,0.9999999999816455,3299,1000000.0,0.0,0.0,426.516200888557,245.9761879171192,452.72861446165206,1316.1573559092244,0,0.0,1000,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.018997766000211413,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POCOL_seed009,primary,POCOL,X-PC (PoCol static disjoint allocation + post-range low power),100,5165136745342788261,9,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,22,22,22,7.92,233545554612718776690,233545554612718776690,0,0.0,4294967296,0.9999999999816097,32,998057.9256953793,1942.0743046206176,0.0019420743046206176,427.3664599212088,245.9761879171192,454.22483528831737,1319.536140037064,0,0.0,900,9,9,0,900,900,900,2.1578603384673527,2.0760687346551094,5.200363530261711,100,1.0,0.19420743046206176,100,1.8189894035458565e-12,0.0,3503183319.190781,3503183319.190781,973.1064775529948,0.018472303000180545,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POW_seed010,primary,POW,"X-PW (traditional competitive PoW, per-miner distinct templates)",100,3156971904625785319,10,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,19,19,19,6.84,233999999999999998235,233999999999999998235,0,0.0,4294967296,0.9999999999816455,2787,1000000.0,0.0,0.0,510.15076672095273,396.38435181436034,436.6557185200001,1135.5106174575526,0,0.0,800,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.012717702999907488,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POCOL_seed010,primary,POCOL,X-PC (PoCol static disjoint allocation + post-range low power),100,3156971904625785319,10,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,19,19,19,6.84,233624113419107207023,233624113419107207023,0,0.0,4294967296,0.9999999999816159,28,998393.6470902018,1606.3529097982469,0.0016063529097982468,510.97538203176276,396.38435181436034,437.8155352654418,1136.5818051560377,0,0.0,800,8,8,0,800,800,800,2.0079411372478075,2.063846695358734,5.741197353966527,100,1.0,0.1606352909798246,100,1.8189894035458565e-12,1.4025949428095307e-16,3504361701.2866087,3504361701.2866087,973.4338059129468,0.01628479500004687,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
