run_id,pow_run_id,N,seed,seed_index,alpha,alpha_label,P_active_W_per_miner,P_low_W_per_miner,PoW_energy_J,PoW_energy_kWh,PoCol_energy_J,PoCol_energy_kWh,PoCol_active_energy_kWh,PoCol_low_power_energy_kWh,paired_energy_difference_kWh,paired_energy_saving_fraction,PoW_energy_per_accepted_block_kWh,PoCol_energy_per_accepted_block_kWh,PoW_energy_per_closed_round_kWh,PoCol_energy_per_closed_round_kWh,PoW_accepted_blocks,PoCol_accepted_blocks,block_retention,PoW_median_block_interval,PoCol_median_block_interval,latency_ratio,low_power_fraction,active_miner_seconds,low_power_miner_seconds,alpha_case
8X_N100_POCOL_seed007,8X_N100_POW_seed007,100,7890926658382884983,7,0.1,LP10,3510.0,351.0,3510000000.0,975.0,3503758764.3742666,973.2663234372963,973.0736927081069,0.19263072918932633,-1.7336765627037494,0.001778129807901263,46.42857142857143,48.663316171864814,46.42857142857143,48.663316171864814,21,20,0.9523809523809523,296.051395290967,316.8489381649636,1.0702497715086134,0.001975699786557193,998024.300213443,1975.6997865571932,LP10
8X_N100_POCOL_seed007,8X_N100_POW_seed007,100,7890926658382884983,7,0.25,LP25,3510.0,877.5,3510000000.0,975.0,3504798970.311889,973.5552695310803,973.0736927081069,0.48157682297331583,-1.4447304689197153,0.0014817748399176267,46.42857142857143,48.67776347655401,46.42857142857143,48.67776347655401,21,20,0.9523809523809523,296.051395290967,316.8489381649636,1.0702497715086134,0.001975699786557193,998024.300213443,1975.6997865571932,LP25
8X_N100_POCOL_seed007,8X_N100_POW_seed007,100,7890926658382884983,7,0.5,LP50,3510.0,1755.0,3510000000.0,975.0,3506532646.874593,974.0368463540535,973.0736927081069,0.9631536459466317,-0.9631536459464769,0.0009878498932784918,46.42857142857143,48.70184231770268,46.42857142857143,48.70184231770268,21,20,0.9523809523809523,296.051395290967,316.8489381649636,1.0702497715086134,0.001975699786557193,998024.300213443,1975.6997865571932,LP50
8X_N100_POCOL_seed008,8X_N100_POW_seed008,100,3687042657521687600,8,0.0,LP0,3510.0,0.0,3510000000.0,975.0,3501542310.3165727,972.6506417546035,972.6506417546035,0.0,-2.349358245396502,0.0024095982004066485,60.9375,60.79066510966272,60.9375,60.79066510966272,16,16,1.0,223.11639464264272,223.11639464264272,1.0,0.00240959820040614,997590.4017995934,2409.5982004061398,LP0
8X_N100_POCOL_seed008,8X_N100_POW_seed008,100,3687042657521687600,8,0.1,LP10,3510.0,351.0,3510000000.0,975.0,3502388079.2849154,972.8855775791432,972.6506417546035,0.23493582453959863,-2.1144224208568403,0.0021686383803659615,60.9375,60.80534859869645,60.9375,60.80534859869645,16,16,1.0,223.11639464264272,223.11639464264272,1.0,0.00240959820040614,997590.4017995934,2409.5982004061398,LP10
8X_N100_POCOL_seed008,8X_N100_POW_seed008,100,3687042657521687600,8,0.25,LP25,3510.0,877.5,3510000000.0,975.0,3503656732.737429,973.2379813159525,972.6506417546035,0.5873395613489966,-1.7620186840474616,0.0018071986503050974,60.9375,60.827373832247034,60.9375,60.827373832247034,16,16,1.0,223.11639464264272,223.11639464264272,1.0,0.00240959820040614,997590.4017995934,2409.5982004061398,LP25
8X_N100_POCOL_seed008,8X_N100_POW_seed008,100,3687042657521687600,8,0.5,LP50,3510.0,1755.0,3510000000.0,975.0,3505771155.1582856,973.8253208773016,972.6506417546035,1.1746791226979931,-1.1746791226984215,0.0012047991002035463,60.9375,60.86408255483135,60.9375,60.86408255483135,16,16,1.0,223.11639464264272,223.11639464264272,1.0,0.00240959820040614,997590.4017995934,2409.5982004061398,LP50
8X_N100_POCOL_seed009,8X_N100_POW_seed009,100,5165136745342788261,9,0.0,LP0,3510.0,0.0,3510000000.0,975.0,3503183319.190781,973.1064775529948,973.1064775529948,0.0,-1.893522447005239,0.001942074304620789,44.31818181818182,44.232112616045214,44.31818181818182,44.232112616045214,22,22,1.0,245.9761879171192,245.9761879171192,1.0,0.0019420743046206176,998057.9256953793,1942.0743046206176,LP0
8X_N100_POCOL_seed009,8X_N100_POW_seed009,100,5165136745342788261,9,0.1,LP10,3510.0,351.0,3510000000.0,975.0,3503864987.271703,973.2958297976952,973.1064775529948,0.1893522447005102,-1.7041702023047947,0.0017478668741587322,44.31818181818182,44.24071953625887,44.31818181818182,44.24071953625887,22,22,1.0,245.9761879171192,245.9761879171192,1.0,0.0019420743046206176,998057.9256953793,1942.0743046206176,LP10
8X_N100_POCOL_seed009,8X_N100_POW_seed009,100,5165136745342788261,9,0.25,LP25,3510.0,877.5,3510000000.0,975.0,3504887489.3930855,973.5798581647459,973.1064775529948,0.47338061175127555,-1.4201418352540713,0.0014565557284657027,44.31818181818182,44.253629916579364,44.31818181818182,44.253629916579364,22,22,1.0,245.9761879171192,245.9761879171192,1.0,0.0019420743046206176,998057.9256953793,1942.0743046206176,LP25
8X_N100_POCOL_seed009,8X_N100_POW_seed009,100,5165136745342788261,9,0.5,LP50,3510.0,1755.0,3510000000.0,975.0,3506591659.5953903,974.0532387764973,973.1064775529948,0.9467612235025511,-0.9467612235026763,0.0009710371523103944,44.31818181818182,44.27514721711351,44.31818181818182,44.27514721711351,22,22,1.0,245.9761879171192,245.9761879171192,1.0,0.0019420743046206176,998057.9256953793,1942.0743046206176,LP50
8X_N100_POCOL_seed010,8X_N100_POW_seed010,100,3156971904625785319,10,0.0,LP0,3510.0,0.0,3510000000.0,975.0,3504361701.2866087,973.4338059129468,973.4338059129468,0.0,-1.5661940870531907,0.0016063529097981588,51.31578947368421,51.23335820594457,51.31578947368421,51.23335820594457,19,19,1.0,396.38435181436034,396.38435181436034,1.0,0.0016063529097982468,998393.6470902018,1606.3529097982469,LP0
8X_N100_POCOL_seed010,8X_N100_POW_seed010,100,3156971904625785319,10,0.1,LP10,3510.0,351.0,3510000000.0,975.0,3504925531.157948,973.5904253216522,973.4338059129468,0.1566194087053291,-1.4095746783477807,0.0014457176188182874,51.31578947368421,51.24160133271854,51.31578947368421,51.24160133271854,19,19,1.0,396.38435181436034,396.38435181436034,1.0,0.0016063529097982468,998393.6470902018,1606.3529097982469,LP10
8X_N100_POCOL_seed010,8X_N100_POW_seed010,100,3156971904625785319,10,0.25,LP25,3510.0,877.5,3510000000.0,975.0,3505771275.9649568,973.8253544347102,973.4338059129468,0.39154852176332267,-1.1746455652897794,0.0012047646823485358,51.31578947368421,51.25396602287949,51.31578947368421,51.25396602287949,19,19,1.0,396.38435181436034,396.38435181436034,1.0,0.0016063529097982468,998393.6470902018,1606.3529097982469,LP25
8X_N100_POCOL_seed010,8X_N100_POW_seed010,100,3156971904625785319,10,0.5,LP50,3510.0,1755.0,3510000000.0,975.0,3507180850.643305,974.2169029564735,973.4338059129468,0.7830970435266453,-0.7830970435264817,0.0008031764548989129,51.31578947368421,51.274573839814394,51.31578947368421,51.274573839814394,19,19,1.0,396.38435181436034,396.38435181436034,1.0,0.0016063529097982468,998393.6470902018,1606.3529097982469,LP50
8X_N100_POCOL_seed011,8X_N100_POW_seed011,100,8079052055583561862,11,0.0,LP0,3510.0,0.0,3510000000.0,975.0,3503405473.153939,973.1681869872052,973.1681869872052,0.0,-1.8318130127947825,0.0018787825772254019,65.0,64.87787913248034,65.0,64.87787913248034,15,15,1.0,425.4460827653943,425.4460827653943,1.0,0.0018787825772255743,998121.2174227746,1878.7825772255742,LP0
8X_N100_POCOL_seed011,8X_N100_POW_seed011,100,8079052055583561862,11,0.1,LP10,3510.0,351.0,3510000000.0,975.0,3504064925.838545,973.3513682884847,973.1681869872052,0.1831813012794935,-1.6486317115153497,0.0016909043195029172,65.0,64.8900912192323,65.0,64.8900912192323,15,15,1.0,425.4460827653943,425.4460827653943,1.0,0.0018787825772255743,998121.2174227746,1878.7825772255742,LP10
8X_N100_POCOL_seed011,8X_N100_POW_seed011,100,8079052055583561862,11,0.25,LP25,3510.0,877.5,3510000000.0,975.0,3505054104.865454,973.626140240404,973.1681869872052,0.4579532531987337,-1.37385975959603,0.0014090869329189681,65.0,64.90840934936027,65.0,64.90840934936027,15,15,1.0,425.4460827653943,425.4460827653943,1.0,0.0018787825772255743,998121.2174227746,1878.7825772255742,LP25
8X_N100_POCOL_seed011,8X_N100_POW_seed011,100,8079052055583561862,11,0.5,LP50,3510.0,1755.0,3510000000.0,975.0,3506702736.5769696,974.0840934936027,973.1681869872052,0.9159065063974674,-0.9159065063972776,0.0009393912886126454,65.0,64.93893956624018,65.0,64.93893956624018,15,15,1.0,425.4460827653943,425.4460827653943,1.0,0.0018787825772255743,998121.2174227746,1878.7825772255742,LP50
8X_N100_POCOL_seed012,8X_N100_POW_seed012,100,1478038051582526088,12,0.0,LP0,3510.0,0.0,3510000000.0,975.0,3502915079.0097966,973.0319663916101,973.0319663916101,0.0,-1.9680336083898737,0.002018496008605042,75.0,74.84861279935463,75.0,74.84861279935463,13,13,1.0,325.3398273236146,325.3398273236146,1.0,0.002018496008605304,997981.503991395,2018.4960086053038,LP0
8X_N100_POCOL_seed012,8X_N100_POW_seed012,100,1478038051582526088,12,0.1,LP10,3510.0,351.0,3510000000.0,975.0,3503623571.108817,973.2287697524492,973.0319663916101,0.19680336083901712,-1.7712302475507613,0.0018166464077443711,75.0,74.86375151941917,75.0,74.86375151941917,13,13,1.0,325.3398273236146,325.3398273236146,1.0,0.002018496008605304,997981.503991395,2018.4960086053038,LP10
8X_N100_POCOL_seed012,8X_N100_POW_seed012,100,1478038051582526088,12,0.25,LP25,3510.0,877.5,3510000000.0,975.0,3504686309.2573476,973.5239747937077,973.0319663916101,0.4920084020975428,-1.47602520629232,0.0015138720064536981,75.0,74.88645959951597,75.0,74.88645959951597,13,13,1.0,325.3398273236146,325.3398273236146,1.0,0.002018496008605304,997981.503991395,2018.4960086053038,LP25
8X_N100_POCOL_seed012,8X_N100_POW_seed012,100,1478038051582526088,12,0.5,LP50,3510.0,1755.0,3510000000.0,975.0,3506457539.504899,974.0159831958052,973.0319663916101,0.9840168041950856,-0.9840168041947663,0.0010092480043023544,75.0,74.92430639967732,75.0,74.92430639967732,13,13,1.0,325.3398273236146,325.3398273236146,1.0,0.002018496008605304,997981.503991395,2018.4960086053038,LP50
8X_N100_POCOL_seed013,8X_N100_POW_seed013,100,431967532912089508,13,0.0,LP0,3510.0,0.0,3510000000.0,975.0,3503095552.193392,973.0820978314978,973.0820978314978,0.0,-1.9179021685022235,0.0019670791471817495,42.391304347826086,44.23100444688626,42.391304347826086,44.23100444688626,23,22,0.9565217391304348,226.75493905055737,280.1088999557478,1.2352934896526977,0.0019670791471811935,998032.9208528182,1967.0791471811935,LP0
8X_N100_POCOL_seed013,8X_N100_POW_seed013,100,431967532912089508,13,0.1,LP10,3510.0,351.0,3510000000.0,975.0,3503785996.9740524,973.2738880483479,973.0820978314978,0.19179021685016637,-1.7261119516521148,0.0017703712324637078,42.391304347826086,44.23972218401581,42.391304347826086,44.23972218401581,23,22,0.9565217391304348,226.75493905055737,280.1088999557478,1.2352934896526977,0.0019670791471811935,998032.9208528182,1967.0791471811935,LP10
