composition,N,protocol,alpha_case,alpha,is_idealized_alpha,EnergySaving_mean,EnergySaving_boot_ci_low,saving_gt_50pct,saving_gt_50pct_ci_lower,BlockRetention_mean,retention_ge_90pct,retention_ge_95pct,LatencyRatio_median,latency_le_1p10,outcome
H0,300,P3_ENERGY,alpha_005,0.05,False,0.381547995204792,0.3814860575359533,False,False,0.5941449992577331,False,False,2.0756606399919924,False,D
H0,300,P3_ENERGY,alpha_010,0.1,False,0.36146652177296096,0.3614078439814295,False,False,0.5941449992577331,False,False,2.0756606399919924,False,D
H0,300,P3_ENERGY,alpha_025,0.25,False,0.3012221014774674,0.30117320331785796,False,False,0.5941449992577331,False,False,2.0756606399919924,False,D
H0,300,P3_ENERGY,alpha_050,0.5,False,0.20081473431831157,0.2007821355452386,False,False,0.5941449992577331,False,False,2.0756606399919924,False,D
H0,300,P4_RESERVE,alpha_0,0.0,True,0.4296254308383411,0.41282319961374214,False,False,0.5488460977160668,False,False,2.2371387893076142,False,D
H0,300,P4_RESERVE,alpha_005,0.05,False,0.4081441592964241,0.39218203963305504,False,False,0.5488460977160668,False,False,2.2371387893076142,False,D
H0,300,P4_RESERVE,alpha_010,0.1,False,0.38666288775450697,0.3715408796523679,False,False,0.5488460977160668,False,False,2.2371387893076142,False,D
H0,300,P4_RESERVE,alpha_025,0.25,False,0.3222190731287558,0.30961739971030644,False,False,0.5488460977160668,False,False,2.2371387893076142,False,D
H0,300,P4_RESERVE,alpha_050,0.5,False,0.21481271541917063,0.2064115998068711,False,False,0.5488460977160668,False,False,2.2371387893076142,False,D
H0,500,P0_ALL,alpha_0,0.0,True,0.0025284566270068138,0.002334803303943619,False,False,0.9976190476190475,True,True,0.9863005003254663,True,D
H0,500,P0_ALL,alpha_005,0.05,False,0.002402033795656463,0.0022180631387464056,False,False,0.9976190476190475,True,True,0.9863005003254663,True,D
H0,500,P0_ALL,alpha_010,0.1,False,0.002275610964306149,0.0021013229735492665,False,False,0.9976190476190475,True,True,0.9863005003254663,True,D
H0,500,P0_ALL,alpha_025,0.25,False,0.0018963424702551,0.0017511024779576431,False,False,0.9976190476190475,True,True,0.9863005003254663,True,D
H0,500,P0_ALL,alpha_050,0.5,False,0.0012642283135034069,0.001167401651971719,False,False,0.9976190476190475,True,True,0.9863005003254663,True,D
H0,500,P3_ENERGY,alpha_0,0.0,True,0.3998001347060113,0.3996944646845981,False,False,0.5996116712428129,False,False,2.0559001040924163,False,D
H0,500,P3_ENERGY,alpha_005,0.05,False,0.3798101279707108,0.3797097414503683,False,False,0.5996116712428129,False,False,2.0559001040924163,False,D
H0,500,P3_ENERGY,alpha_010,0.1,False,0.3598201212354102,0.35972501821613834,False,False,0.5996116712428129,False,False,2.0559001040924163,False,D
H0,500,P3_ENERGY,alpha_025,0.25,False,0.2998501010295085,0.29977084851344865,False,False,0.5996116712428129,False,False,2.0559001040924163,False,D
H0,500,P3_ENERGY,alpha_050,0.5,False,0.19990006735300567,0.1998472323422991,False,False,0.5996116712428129,False,False,2.0559001040924163,False,D
