composition,N,protocol,alpha_case,alpha,is_idealized_alpha,pairs,PoW_energy_kWh_mean,PoCol_energy_kWh_mean,EnergySaving_mean,EnergySaving_median,EnergySaving_sd,EnergySaving_ci95_low,EnergySaving_ci95_high,EnergySaving_boot_ci95_low,EnergySaving_boot_ci95_high,exceeds_50pct_mean,exceeds_50pct_ci_lower,exceeds_50pct_boot_ci_lower,one_sided_p_greater_50pct,seed_fraction_exceeding_50pct
H0,300,P0_ALL,alpha_025,0.25,False,30,2925.0,2919.6976610854877,0.00181276544085866,0.0018288841002908,0.00033725496314246644,0.0016868323679691362,0.0019386985137481837,0.001692284091210893,0.0019305365605028456,False,False,False,1.0,0.0
H0,300,P0_ALL,alpha_050,0.5,False,30,2925.0,2921.4651073903265,0.0012085102939056833,0.00121925606686045,0.00022483664209491862,0.0011245549119793562,0.0012924656758320104,0.0011281893941404947,0.0012870243736684806,False,False,False,1.0,0.0
H0,300,P3_ENERGY,alpha_0,0.0,True,30,2925.0,1750.233804237877,0.40162946863662324,0.401635412689359,0.00018394513796423235,0.4015607823932806,0.4016981548799659,0.4015642710904772,0.40169340514798607,False,False,False,1.0,0.0
H0,300,P3_ENERGY,alpha_005,0.05,False,30,2925.0,1808.9721140259833,0.381547995204792,0.381553642054891,0.0001747478810660124,0.3814827432736165,0.3816132471359675,0.3814860575359533,0.3816087348905867,False,False,False,1.0,0.0
H0,300,P3_ENERGY,alpha_010,0.1,False,30,2925.0,1867.7104238140892,0.36146652177296096,0.36147187142042303,0.00016555062416780524,0.36140470415395254,0.3615283393919694,0.3614078439814295,0.36152406463318754,False,False,False,1.0,0.0
H0,300,P3_ENERGY,alpha_025,0.25,False,30,2925.0,2043.925353178408,0.3012221014774674,0.30122655951701915,0.00013795885347315452,0.30117058679496045,0.3012736161599744,0.30117320331785796,0.30127005386098954,False,False,False,1.0,0.0
H0,300,P3_ENERGY,alpha_050,0.5,False,30,2925.0,2337.6169021189376,0.20081473431831157,0.20081770634467921,9.19725689820829e-05,0.20078039119664026,0.20084907743998287,0.2007821355452386,0.200846702573993,False,False,False,1.0,0.0
H0,300,P4_RESERVE,alpha_0,0.0,True,30,2925.0,1668.3456147978518,0.4296254308383411,0.4398072904280248,0.045963215012768906,0.41246248428744114,0.44678837738924104,0.41282319961374214,0.44529417346147904,False,False,False,0.999999998477615,0.0
H0,300,P4_RESERVE,alpha_005,0.05,False,30,2925.0,1731.1783340579593,0.4081441592964241,0.41781692590662367,0.04366505426213048,0.3918393600730692,0.42444895851977904,0.39218203963305504,0.42302946478840514,False,False,False,0.9999999999987922,0.0
H0,300,P4_RESERVE,alpha_010,0.1,False,30,2925.0,1794.011053318067,0.38666288775450697,0.3958265613852223,0.041366893511491996,0.371216235858697,0.4021095396503169,0.3715408796523679,0.4007647561153311,False,False,False,0.9999999999999983,0.0
H0,300,P4_RESERVE,alpha_025,0.25,False,30,2925.0,1982.5092110983887,0.3222190731287558,0.3298554678210187,0.03447241125957669,0.30934686321558086,0.33509128304193075,0.30961739971030644,0.3339706300961093,False,False,False,1.0,0.0
H0,300,P4_RESERVE,alpha_050,0.5,False,30,2925.0,2296.672807398926,0.21481271541917063,0.21990364521401234,0.022981607506384432,0.20623124214372068,0.22339418869462058,0.2064115998068711,0.2226470867307395,False,False,False,1.0,0.0
H0,500,P0_ALL,alpha_0,0.0,True,30,4875.0,4862.673773943342,0.0025284566270068138,0.0026546155658071,0.0005449196231767259,0.002324980295672713,0.0027319329583409147,0.002334803303943619,0.002715235991222655,False,False,False,1.0,0.0
H0,500,P0_ALL,alpha_005,0.05,False,30,4875.0,4863.290085246174,0.002402033795656463,0.0025218847875166,0.000517673642017889,0.0022087312808890674,0.0025953363104238587,0.0022180631387464056,0.002579474191661514,False,False,False,1.0,0.0
H0,500,P0_ALL,alpha_010,0.1,False,30,4875.0,4863.906396549008,0.002275610964306149,0.0023891540092265,0.0004904276608590434,0.0020924822661054624,0.002458739662506836,0.0021013229735492665,0.002443712392100388,False,False,False,1.0,0.0
