composition,N,protocol,metric,family,n_pairs,mean_control,mean_treatment,mean_difference,median_difference,sd_difference,iqr_difference,ci95_mean_low,ci95_mean_high,boot_ci95_low,boot_ci95_high,relative_difference,n_negative,n_zero,n_positive,shapiro_p,normality_ok,ttest_t,ttest_p,wilcoxon_W,wilcoxon_p,recommended_test,recommended_p,p_holm,cohen_dz,rank_biserial
H2,100,P3_ENERGY,energy_kWh_alpha_010,energy_alpha_010,30,913.6111111111109,475.5409320993166,-438.0701790117946,-438.0921060630321,0.1630477313014735,0.17622724123316402,-438.13106203524706,-438.00929598834216,-438.1268463026556,-438.0118927104743,-0.4794930509098392,30,0,0,0.8752541791116275,True,-14715.992482682137,3.2053161884950286e-101,0.0,1.862645149230957e-09,paired t-test,3.2053161884950286e-101,1.9231897130970171e-100,-2686.7603462804864,-1.0
H2,100,P3_ENERGY,energy_kWh_alpha_025,energy_alpha_025,30,913.6111111111109,548.5526286012823,-365.0584825098289,-365.0767550525268,0.1358731094178889,0.14685603436078054,-365.1092183627059,-365.00774665695184,-365.105705252213,-365.00991059206206,-0.39957754242486604,30,0,0,0.8752541791111601,True,-14715.992482682748,3.2053161884911753e-101,0.0,1.862645149230957e-09,paired t-test,3.2053161884911753e-101,1.9231897130947053e-100,-2686.7603462805987,-1.0
H2,100,P3_ENERGY,energy_kWh_alpha_050,energy_alpha_050,30,913.6111111111109,670.2387894378919,-243.37232167321926,-243.38450336835115,0.09058207294526663,0.09790402290735756,-243.4061455751373,-243.33849777130123,-243.40380350147535,-243.339940394708,-0.266385028283244,30,0,0,0.8752541791122572,True,-14715.99248268156,3.205316188498668e-101,0.0,1.862645149230957e-09,paired t-test,3.205316188498668e-101,1.9231897130992008e-100,-2686.7603462803804,-1.0
H2,100,P4_RESERVE,accepted_blocks,accepted_blocks,30,16.666666666666668,9.866666666666667,-6.8,-7.0,2.708861575363857,3.0,-7.811505535869078,-5.788494464130921,-7.766666666666667,-5.833333333333333,-0.408,30,0,0,0.16834146419276563,True,-13.749367722988387,3.102502785638937e-14,0.0,1.6363965084210647e-06,paired t-test,3.102502785638937e-14,2.1717519499472556e-13,-2.510279617771394,-1.0
H2,100,P4_RESERVE,total_evaluations,total_evaluations,30,1.6899999999999993e+20,9.433081764495149e+19,-7.466918235504851e+19,-7.555620968668548e+19,5.639693652374218e+18,6.43500396203547e+18,-7.677507857428075e+19,-7.256328613581628e+19,-7.660235499889466e+19,-7.264021066207904e+19,-0.4418294813908198,30,0,0,0.1267592606565479,True,-72.51811542832546,2.4283217134523038e-34,0.0,1.862645149230957e-09,paired t-test,2.4283217134523038e-34,2.1854895421070734e-33,-13.23993588261909,-1.0
H2,100,P4_RESERVE,mean_h_active_fraction,mean_h_active_fraction,30,1.0,0.5581705186091807,-0.4418294813908195,-0.4470781638265412,0.0333709683572439,0.03807694652092092,-0.45429040576497476,-0.42936855701666427,-0.4532683727745244,-0.4298237317282785,-0.4418294813908195,30,0,0,0.12675926065654103,True,-72.51811542832543,2.4283217134523367e-34,0.0,1.862645149230957e-09,paired t-test,2.4283217134523367e-34,2.185489542107103e-33,-13.239935882619083,-1.0
H2,100,P4_RESERVE,median_block_interval,median_block_interval,30,433.3855908117234,839.453187876521,406.0675970647975,231.15321816136324,469.70793451544745,702.4446017936673,230.67577183275768,581.4594222968374,247.43783944507572,578.522427140814,0.9369660774928863,7,0,23,0.00306829006830661,False,4.735120836605616,5.294250620547769e-05,44.0,2.6885420083999634e-05,Wilcoxon signed-rank,2.6885420083999634e-05,0.00016553221615691864,0.8645108315738766,0.810752688172043
H2,100,P4_RESERVE,energy_kWh_alpha_0,energy_alpha_0,30,913.6111111111109,485.57949306503787,-428.03161804607333,-428.83898229270324,31.86724161228261,32.40445453199226,-439.93104162565277,-416.1321944664939,-439.138803464815,-416.57407362136917,-0.4685052675481497,30,0,0,0.08554036803935136,True,-73.56851759610986,1.6037419779618349e-34,0.0,1.862645149230957e-09,paired t-test,1.6037419779618349e-34,1.4433677801656514e-33,-13.4317122032017,-1.0
H2,100,P4_RESERVE,energy_kWh_alpha_005,energy_alpha_005,30,913.6111111111109,506.98107396734144,-406.6300371437697,-407.3970331780681,30.27387953166848,30.78423180539272,-417.93448954437014,-395.32558474316926,-417.1818632915743,-395.7453699403007,-0.4450800041707423,30,0,0,0.08554036803934935,True,-73.56851759610984,1.603741977961842e-34,0.0,1.862645149230957e-09,paired t-test,1.603741977961842e-34,1.4433677801656577e-33,-13.4317122032017,-1.0
H2,100,P4_RESERVE,energy_kWh_alpha_010,energy_alpha_010,30,913.6111111111109,528.3826548696452,-385.228456241466,-385.95508406343293,28.680517451054346,29.164009078792958,-395.93793746308745,-374.51897501984456,-395.22492311833355,-374.9166662592323,-0.42165474079333476,30,0,0,0.08554036803935136,True,-73.56851759610986,1.6037419779618349e-34,0.0,1.862645149230957e-09,paired t-test,1.6037419779618349e-34,1.4433677801656514e-33,-13.431712203201702,-1.0
H2,100,P4_RESERVE,energy_kWh_alpha_025,energy_alpha_025,30,913.6111111111109,592.5873975765563,-321.02371353455504,-321.6292367195275,23.900431209211952,24.303340898994236,-329.9482812192396,-312.09914584987047,-329.3541025986113,-312.43055521602696,-0.35137895066111235,30,0,0,0.08554036803934964,True,-73.56851759610987,1.6037419779618235e-34,0.0,1.862645149230957e-09,paired t-test,1.6037419779618235e-34,1.4433677801656411e-33,-13.431712203201704,-1.0
H2,100,P4_RESERVE,energy_kWh_alpha_050,energy_alpha_050,30,913.6111111111109,699.5953020880745,-214.01580902303672,-214.41949114635173,15.93362080614131,16.202227265996072,-219.96552081282644,-208.066097233247,-219.56940173240753,-208.2870368106846,-0.23425263377407493,30,0,0,0.08554036803934993,True,-73.56851759610984,1.603741977961842e-34,0.0,1.862645149230957e-09,paired t-test,1.603741977961842e-34,1.4433677801656577e-33,-13.4317122032017,-1.0
H2,300,P0_ALL,accepted_blocks,accepted_blocks,30,17.7,17.6,-0.1,0.0,0.4025778999364487,0.0,-0.25032505835945823,0.05032505835945822,-0.26666666666666666,0.0,-0.005649717514124295,2,28,0,4.243378800637372e-11,False,-1.36053806627644,0.18414134229197163,0.0,0.17971249487899976,Wilcoxon signed-rank,0.17971249487899976,1.0,-0.24839912974802167,-1.0
H2,300,P0_ALL,total_evaluations,total_evaluations,30,5.069999999999999e+20,5.0583018218424186e+20,-1.1698178157581501e+18,-1.2244649674249667e+18,2.4588381061164448e+17,3.419373054234952e+17,-1.2616323395700045e+18,-1.0780032919462957e+18,-1.257965909661717e+18,-1.0843697886483432e+18,-0.0023073329699371805,30,0,0,0.49088018853882126,True,-26.05847063571649,1.1333942309107249e-21,0.0,1.862645149230957e-09,paired t-test,1.1333942309107249e-21,6.80036538546435e-21,-4.7576040604226355,-1.0
H2,300,P0_ALL,mean_h_active_fraction,mean_h_active_fraction,30,1.0,0.9976926670300623,-0.0023073329699373666,-0.0024151182789474146,0.00048497793020011083,0.0006744325550775976,-0.0024884267052663295,-0.0021262392346084037,-0.002481195088090434,-0.0021387964273147835,-0.0023073329699373666,30,0,0,0.49088018853204635,True,-26.058470635738555,1.133394230884e-21,0.0,1.862645149230957e-09,paired t-test,1.133394230884e-21,6.800365385303999e-21,-4.757604060426664,-1.0
H2,300,P0_ALL,median_block_interval,median_block_interval,30,425.1267833904724,424.31216270824245,-0.8146206822299178,0.0,5.905932702323997,0.0,-3.019932196558047,1.3906908320982112,-3.111793620180479,0.4975874176211259,-0.0019161829224993835,4,22,4,2.7859864852230547e-11,False,-0.7554879914090429,0.45604901283346355,16.0,0.779434528427275,Wilcoxon signed-rank,0.779434528427275,1.0,-0.13793260493966733,0.1111111111111111
H2,300,P0_ALL,energy_kWh_alpha_0,energy_alpha_0,30,2740.8333333333326,2734.513460894294,-6.319872439039045,-6.61333483790645,1.3278589794081017,1.8298528683112636,-6.815703130699378,-5.824041747378713,-6.796249178645465,-5.8596066380581,-0.002305821504058029,30,0,0,0.5082452692779014,True,-26.068556594465107,1.121244526251012e-21,0.0,1.862645149230957e-09,paired t-test,1.121244526251012e-21,6.727467157506073e-21,-4.759445496129531,-1.0
H2,300,P0_ALL,energy_kWh_alpha_005,energy_alpha_005,30,2740.8333333333326,2734.8294545162466,-6.00387881708701,-6.282668096010411,1.2614660304376666,1.7383602248955867,-6.474917974164315,-5.532839660009705,-6.456436719713081,-5.566626306155153,-0.002190530428855097,30,0,0,0.5082452692780529,True,-26.068556594465367,1.121244526250705e-21,0.0,1.862645149230957e-09,paired t-test,1.121244526250705e-21,6.7274671575042295e-21,-4.759445496129579,-1.0
H2,300,P0_ALL,energy_kWh_alpha_010,energy_alpha_010,30,2740.8333333333326,2735.1454481381975,-5.68788519513505,-5.952001354115055,1.1950730814673052,1.6468675814796825,-6.134132817629355,-5.241637572640745,-6.116624260780866,-5.273645974252279,-0.0020752393536521926,30,0,0,0.5082452692782184,True,-26.06855659446439,1.121244526251871e-21,0.0,1.862645149230957e-09,paired t-test,1.121244526251871e-21,6.727467157511226e-21,-4.759445496129401,-1.0
