run_id,protocol,composition,N,seed_index,block_index,interval_s
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,9,35.46935731806025
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,10,948.95223787346
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,11,91.36389759394888
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,12,674.0340840401309
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,13,730.9581098832077
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,14,193.2875314728526
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,15,140.32687694868218
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,16,216.9754017204932
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,17,181.3286361767332
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,18,70.96900843433377
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,19,1418.7697092727176
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,20,151.5316794641767
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,21,542.1571439182208
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,22,307.85019697634743
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,23,306.72574923154025
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,24,64.4326277221553
8Y_H0_N100_P3_ENERGY_seed002,P3_ENERGY,H0,100,2,1,401.07324055795266
8Y_H0_N100_P3_ENERGY_seed002,P3_ENERGY,H0,100,2,2,363.9647655507682
8Y_H0_N100_P3_ENERGY_seed002,P3_ENERGY,H0,100,2,3,77.3101478815039
8Y_H0_N100_P3_ENERGY_seed002,P3_ENERGY,H0,100,2,4,692.1399035823777
8Y_H0_N100_P3_ENERGY_seed002,P3_ENERGY,H0,100,2,5,226.8694040712992
8Y_H0_N100_P3_ENERGY_seed002,P3_ENERGY,H0,100,2,6,650.3051162593108
8Y_H0_N100_P3_ENERGY_seed002,P3_ENERGY,H0,100,2,7,854.0010242827807
8Y_H0_N100_P3_ENERGY_seed002,P3_ENERGY,H0,100,2,8,1579.5470888191348
8Y_H0_N100_P3_ENERGY_seed002,P3_ENERGY,H0,100,2,9,91.22186775448881
8Y_H0_N100_P3_ENERGY_seed002,P3_ENERGY,H0,100,2,10,673.7403824379608
