composition,N,protocol,pairs,PoW_blocks_mean,PoCol_blocks_mean,BlockRetention_mean,BlockRetention_median,BlockRetention_sd,BlockRetention_ci95_low,BlockRetention_ci95_high,BlockRetention_boot_ci95_low,BlockRetention_boot_ci95_high,meets_90pct_mean,meets_90pct_ci_lower,meets_95pct_mean,meets_95pct_ci_lower,HashRetention_mean,PoW_stale_blocks,PoCol_stale_blocks,zero_block_runs
H2,300,P3_ENERGY,30,17.7,11.333333333333334,0.6441960491187171,0.6435294117647059,0.14147084815476643,0.591369966245354,0.6970221319920802,0.5941113637966108,0.6938870444351457,False,False,False,False,0.5984936087800413,0,0,0
H2,300,P4_RESERVE,30,17.7,10.1,0.5765040039553433,0.6,0.13128905226610804,0.5274798661500236,0.625528141760663,0.5303399449027351,0.6212988220360377,False,False,False,False,0.5639606613775999,0,0,0
H2,500,P0_ALL,30,16.533333333333335,16.466666666666665,0.9949460125930715,1.0,0.0240685402648221,0.9859586719553775,1.0039333532307655,0.9857681534152122,1.002991452991453,True,True,True,True,0.99746239167241,0,0,0
H2,500,P3_ENERGY,30,16.533333333333335,10.433333333333334,0.631473189693004,0.6282894736842105,0.11357574729610938,0.5890633086657496,0.6738830707202584,0.5910851874339684,0.6712123311558296,False,False,False,False,0.5992468846289947,0,0,0
H2,500,P4_RESERVE,30,16.533333333333335,9.733333333333333,0.5932926155371976,0.575187969924812,0.11909826771453338,0.5488205914953317,0.6377646395790635,0.5511400565271501,0.6351997970496422,False,False,False,False,0.5641889540884069,0,0,0
H4,100,P0_ALL,30,17.3,17.233333333333334,0.9969400352733686,1.0,0.024622508831702965,0.9877458393732302,1.006134231173507,0.9881657848324514,1.0055555555555555,True,True,True,True,0.9980789456418092,1,1,0
H4,100,P3_ENERGY,30,17.3,10.866666666666667,0.631242900546306,0.637218045112782,0.14499769169492918,0.5770998726516605,0.6853859284409516,0.5803326619559204,0.6824833067331131,False,False,False,False,0.6002385985820645,1,1,0
H4,100,P4_RESERVE,30,17.3,10.233333333333333,0.6018019790285013,0.5811403508771931,0.11213638399377632,0.5599295650913625,0.6436743929656401,0.5632710656574821,0.6420999619909581,False,False,False,False,0.5630839513633216,1,0,0
H4,300,P0_ALL,30,16.633333333333333,16.7,1.0039351851851852,1.0,0.015003561967694933,0.9983327630732175,1.009537607297153,1.0,1.0099537037037036,True,True,True,True,0.997699174265729,0,0,0
H4,300,P3_ENERGY,30,16.633333333333333,11.333333333333334,0.6876701722197078,0.6770833333333333,0.14065320304424378,0.6351494030483041,0.7401909413911115,0.6385547281286253,0.7368621137426672,False,False,False,False,0.600019055592725,0,0,0
H4,300,P4_RESERVE,30,16.633333333333333,10.266666666666667,0.6278428999620951,0.6485294117647059,0.14921377307672284,0.5721255614064162,0.6835602385177739,0.5748894887340902,0.6794730966065523,False,False,False,False,0.5673967371825289,0,0,0
H4,500,P0_ALL,30,17.033333333333335,16.933333333333334,0.9957896825396825,1.0,0.022446591796526742,0.9874079874135554,1.0041713776658097,0.9878214285714286,1.0034774801587303,True,True,True,True,0.9974595629082088,0,0,0
H4,500,P3_ENERGY,30,17.033333333333335,10.433333333333334,0.6228522249849482,0.6339712918660287,0.1542457657660681,0.5652559094789459,0.6804485404909505,0.5689098836105415,0.6761658811196856,False,False,False,False,0.5985070141965737,0,0,0
H4,500,P4_RESERVE,30,17.033333333333335,9.5,0.5678898638229303,0.5393939393939393,0.13248589192689297,0.518418818743558,0.6173609089023026,0.522480039718312,0.6141757794106477,False,False,False,False,0.5602105576393701,0,0,0
