run_id,pow_run_id,phase,protocol,composition,N,seed_index,tag,alpha_case,alpha,is_idealized_alpha,P_low_note,PoW_energy_J,PoW_energy_kWh,PoCol_energy_J,PoCol_energy_kWh,PoCol_active_J,PoCol_waking_J,PoCol_low_J,PoCol_standby_J,paired_energy_difference_kWh,EnergySaving,PoW_energy_per_block_kWh,PoCol_energy_per_block_kWh,PoW_energy_per_round_kWh,PoCol_energy_per_round_kWh,PoW_accepted_blocks,PoCol_accepted_blocks,BlockRetention,LatencyRatio_median,LatencyRatio_mean,HashRetention,mean_SecurityHashFraction,min_SecurityHashFraction,CapacityRemovedFraction,PowerRemovedFraction,SelectivityGain,F_low,F_standby,F_parked_power_weighted,dE_total_J,dE_participation_J,dE_selection_J,share_participation,share_selection,dE_participation_shapley_J,dE_selection_shapley_J,share_participation_shapley,share_selection_shapley,dE_postrange_J,dE_reserve_J,share_postrange,share_reserve,dE_stale_J,decomposition_residual_J,power_identity_error_Ws
8Y_H2_N500_P0_ALL_seed008,8Y_H2_N500_POW_seed008,primary,P0_ALL,H2,500,8,,alpha_005,0.05,False,"model assumption, not a manufacturer-certified mode",16445000000.0,4568.055555555556,16390947906.25146,4553.04108506985,16388103059.21206,0.0,2844847.0393972564,0.0,-15.014470485705715,0.0032868406049584298,326.28968253968253,325.21722036213214,326.28968253968253,325.21722036213214,14,14,1.0,1.0031467679588293,1.0033838354977518,0.9965391556449122,0.9965391556449122,0.0,0.0034608443550877555,0.0034598322157453065,0.9997075455470972,0.0034596179601967874,0.0,0.003459832215746131,54052093.74854786,54067906.14844723,-15812.399899370968,1.0002925400072924,-0.00029254000729242387,54059999.94849755,-7906.199949685484,1.0001462700036463,-0.00014627000364621193,54052093.74854786,0.0,1.0,0.0,0.0,0.0,5.7220458984375e-06
8Y_H2_N500_P0_ALL_seed008,8Y_H2_N500_POW_seed008,primary,P0_ALL,H2,500,8,,alpha_010,0.1,False,"model assumption, not a manufacturer-certified mode",16445000000.0,4568.055555555556,16393792753.290855,4553.831320358571,16388103059.21206,0.0,5689694.078794513,0.0,-14.22423519698441,0.003113848994171109,326.28968253968253,325.2736657398979,326.28968253968253,325.2736657398979,14,14,1.0,1.0031467679588293,1.0033838354977518,0.9965391556449122,0.9965391556449122,0.0,0.0034608443550877555,0.0034598322157453065,0.9997075455470972,0.0034596179601967874,0.0,0.003459832215746131,51207246.70915061,51222226.87747633,-14980.168325714767,1.0002925400072924,-0.00029254000729232423,51214736.79331347,-7490.0841628573835,1.0001462700036463,-0.00014627000364616211,51207246.70915061,0.0,1.0,0.0,0.0,0.0,5.7220458984375e-06
8Y_H2_N500_P0_ALL_seed008,8Y_H2_N500_POW_seed008,primary,P0_ALL,H2,500,8,,alpha_025,0.25,False,"model assumption, not a manufacturer-certified mode",16445000000.0,4568.055555555556,16402327294.409048,4556.202026224735,16388103059.21206,0.0,14224235.19698628,0.0,-11.853529330820493,0.0025948741618092575,326.28968253968253,325.4430018731954,326.28968253968253,325.4430018731954,14,14,1.0,1.0031467679588293,1.0033838354977518,0.9965391556449122,0.9965391556449122,0.0,0.0034608443550877555,0.0034598322157453065,0.9997075455470972,0.0034596179601967874,0.0,0.003459832215746131,42672705.59095884,42685189.0645636,-12483.473604761064,1.0002925400072924,-0.0002925400072922952,42678947.32776122,-6241.736802380532,1.000146270003646,-0.0001462700036461476,42672705.59095884,0.0,1.0,0.0,0.0,0.0,5.7220458984375e-06
8Y_H2_N500_P0_ALL_seed008,8Y_H2_N500_POW_seed008,primary,P0_ALL,H2,500,8,,alpha_050,0.5,False,"model assumption, not a manufacturer-certified mode",16445000000.0,4568.055555555556,16416551529.606033,4560.153202668343,16388103059.21206,0.0,28448470.39397256,0.0,-7.9023528872130555,0.0017299161078727643,326.28968253968253,325.72522876202447,326.28968253968253,325.72522876202447,14,14,1.0,1.0031467679588293,1.0033838354977518,0.9965391556449122,0.9965391556449122,0.0,0.0034608443550877555,0.0034598322157453065,0.9997075455470972,0.0034596179601967874,0.0,0.003459832215746131,28448470.39397256,28456792.70970907,-8322.31573650986,1.0002925400072924,-0.00029254000729238245,28452631.551840816,-4161.15786825493,1.000146270003646,-0.00014627000364619123,28448470.39397256,0.0,1.0,0.0,0.0,0.0,5.7220458984375e-06
8Y_H2_N500_P3_ENERGY_seed008,8Y_H2_N500_POW_seed008,primary,P3_ENERGY,H2,500,8,,alpha_0,0.0,True,"model assumption, not a manufacturer-certified mode",16445000000.0,4568.055555555556,7592211589.93305,2108.9476638702918,7592211589.93305,0.0,0.0,0.0,-2459.107891685264,0.5383270544279082,326.28968253968253,234.3275182078102,326.28968253968253,234.3275182078102,14,9,0.6428571428571429,1.2143998734243402,1.147192757530434,0.5989910524602007,0.5989910524602007,0.0,0.4010089475397993,0.5383270544279073,1.3424315285994446,0.0013953510009656685,0.566,0.5383270544279081,8852788410.066948,6594592142.292,2258196267.774948,0.7449169500982267,0.2550830499017734,7723690276.179474,1129098133.887474,0.8724584750491133,0.1275415249508867,24488410.06694748,8828300000.0,0.002766180431817447,0.9972338195681825,0.0,0.0,1.9073486328125e-06
8Y_H2_N500_P3_ENERGY_seed008,8Y_H2_N500_POW_seed008,primary,P3_ENERGY,H2,500,8,,alpha_005,0.05,False,"model assumption, not a manufacturer-certified mode",16445000000.0,4568.055555555556,8034851010.436398,2231.903058454555,7592211589.93305,0.0,1224420.503347374,441415000.0,-2336.152497101001,0.5114107017065128,326.28968253968253,247.98922871717275,326.28968253968253,247.98922871717275,14,9,0.6428571428571429,1.2143998734243402,1.147192757530434,0.5989910524602007,0.5989910524602007,0.0,0.4010089475397993,0.5383270544279073,1.3424315285994446,0.0013953510009656685,0.566,0.5383270544279081,8410148989.563601,6264862535.1774,2145286454.386201,0.7449169500982267,0.2550830499017734,7337505762.370501,1072643227.1931005,0.8724584750491133,0.1275415249508867,23263989.563600104,8386885000.0,0.002766180431817447,0.9972338195681825,0.0,0.0,1.9073486328125e-06
8Y_H2_N500_P3_ENERGY_seed008,8Y_H2_N500_POW_seed008,primary,P3_ENERGY,H2,500,8,,alpha_010,0.1,False,"model assumption, not a manufacturer-certified mode",16445000000.0,4568.055555555556,8477490430.939745,2354.858453038818,7592211589.93305,0.0,2448841.006694748,882830000.0,-2213.1971025167377,0.48449434898511734,326.28968253968253,261.65093922653534,326.28968253968253,261.65093922653534,14,9,0.6428571428571429,1.2143998734243402,1.147192757530434,0.5989910524602007,0.5989910524602007,0.0,0.4010089475397993,0.5383270544279073,1.3424315285994446,0.0013953510009656685,0.566,0.5383270544279081,7967509569.060253,5935132928.0628,2032376640.9974527,0.7449169500982267,0.2550830499017733,6951321248.561527,1016188320.4987264,0.8724584750491134,0.12754152495088664,22039569.06025273,7945470000.0,0.002766180431817447,0.9972338195681825,0.0,0.0,1.9073486328125e-06
8Y_H2_N500_P3_ENERGY_seed008,8Y_H2_N500_POW_seed008,primary,P3_ENERGY,H2,500,8,,alpha_025,0.25,False,"model assumption, not a manufacturer-certified mode",16445000000.0,4568.055555555556,9805408692.449787,2723.7246367916077,7592211589.93305,0.0,6122102.51673687,2207075000.0,-1844.330918763948,0.40374529082093114,326.28968253968253,302.63607075462306,326.28968253968253,302.63607075462306,14,9,0.6428571428571429,1.2143998734243402,1.147192757530434,0.5989910524602007,0.5989910524602007,0.0,0.4010089475397993,0.5383270544279073,1.3424315285994446,0.0013953510009656685,0.566,0.5383270544279081,6639591307.550211,4945944106.719,1693647200.831211,0.7449169500982267,0.2550830499017734,5792767707.134605,846823600.4156055,0.8724584750491133,0.1275415249508867,18366307.55021061,6621225000.0,0.002766180431817447,0.9972338195681825,0.0,0.0,1.9073486328125e-06
8Y_H2_N500_P3_ENERGY_seed008,8Y_H2_N500_POW_seed008,primary,P3_ENERGY,H2,500,8,,alpha_050,0.5,False,"model assumption, not a manufacturer-certified mode",16445000000.0,4568.055555555556,12018605794.966524,3338.5016097129233,7592211589.93305,0.0,12244205.03347374,4414150000.0,-1229.5539458426324,0.2691635272139542,326.28968253968253,370.9446233014359,326.28968253968253,370.9446233014359,14,9,0.6428571428571429,1.2143998734243402,1.147192757530434,0.5989910524602007,0.5989910524602007,0.0,0.4010089475397993,0.5383270544279073,1.3424315285994446,0.0013953510009656685,0.566,0.5383270544279081,4426394205.033474,3297296071.146,1129098133.887474,0.7449169500982267,0.2550830499017734,3861845138.089737,564549066.943737,0.8724584750491133,0.1275415249508867,12244205.03347374,4414150000.0,0.002766180431817447,0.9972338195681825,0.0,0.0,1.9073486328125e-06
8Y_H2_N500_P4_RESERVE_seed008,8Y_H2_N500_POW_seed008,primary,P4_RESERVE,H2,500,8,,alpha_0,0.0,True,"model assumption, not a manufacturer-certified mode",16445000000.0,4568.055555555556,9071467318.018526,2519.8520327829237,9027210638.018526,44256680.0,0.0,0.0,-2048.203522772632,0.4483753531153223,326.28968253968253,314.98150409786547,326.28968253968253,314.98150409786547,14,8,0.5714285714285714,2.3039359560516153,1.8360751490100586,0.5673715093303351,0.5673715093303351,0.0,0.4326284906696649,0.4483753531153213,1.0363981170571588,0.23473552767863037,0.21740609421110735,0.44837535311532184,7373532681.981467,7114575529.062639,258957152.918828,0.9648801783232567,0.03511982167674332,7244054105.522053,129478576.459414,0.9824400891616283,0.01755991083837166,4004265811.6211004,3369266870.360367,0.5430593426955621,0.45694065730443795,0.0,0.0,7.62939453125e-06
