run_id,protocol,composition,N,seed_index,block_index,interval_s
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,2,150.56603195363368
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,3,296.9353635857128
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,4,713.522680054725
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,5,373.52328349085724
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,6,57.03634464383458
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,7,222.0527002125823
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,8,555.7332422912764
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,9,16.30689903389066
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,10,141.28411817316874
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,11,443.15518304663874
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,12,1413.2191495179313
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,13,127.68393803740946
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,14,426.1459019858912
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,15,788.3952246558565
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,16,463.55044440295933
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,17,123.87806592304969
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,18,24.641837113567817
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,19,91.65642536867836
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,20,815.8243975310697
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,21,1403.9723844077735
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,22,478.3318106610168
8YS_H0_N100_P1_EQUAL_seed005_alloc,P1_EQUAL,H0,100,5,1,116.12383003027524
8YS_H0_N100_P1_EQUAL_seed005_alloc,P1_EQUAL,H0,100,5,2,1724.389105897098
8YS_H0_N100_P1_EQUAL_seed005_alloc,P1_EQUAL,H0,100,5,3,383.7746575131796
8YS_H0_N100_P1_EQUAL_seed005_alloc,P1_EQUAL,H0,100,5,4,124.50904325438842
8YS_H0_N100_P1_EQUAL_seed005_alloc,P1_EQUAL,H0,100,5,5,449.56701607757805
8YS_H0_N100_P1_EQUAL_seed005_alloc,P1_EQUAL,H0,100,5,6,29.057036733332552
8YS_H0_N100_P1_EQUAL_seed005_alloc,P1_EQUAL,H0,100,5,7,161.2192068556069
8YS_H0_N100_P1_EQUAL_seed005_alloc,P1_EQUAL,H0,100,5,8,1278.276062602697
8YS_H0_N100_P1_EQUAL_seed005_alloc,P1_EQUAL,H0,100,5,9,811.3975559954506
8YS_H0_N100_P1_EQUAL_seed005_alloc,P1_EQUAL,H0,100,5,10,311.4878900789199
8YS_H0_N100_P1_EQUAL_seed005_alloc,P1_EQUAL,H0,100,5,11,511.0457369166843
8YS_H0_N100_P1_EQUAL_seed005_alloc,P1_EQUAL,H0,100,5,12,621.0439761541265
8YS_H0_N100_P1_EQUAL_seed005_alloc,P1_EQUAL,H0,100,5,13,1952.0542445561387
8YS_H0_N100_P1_EQUAL_seed005_alloc,P1_EQUAL,H0,100,5,14,235.19381913474535
8YS_H0_N100_P1_EQUAL_seed005_alloc,P1_EQUAL,H0,100,5,15,477.5679994497368
8YS_H0_N100_P1_EQUAL_seed005_alloc,P1_EQUAL,H0,100,5,16,776.6783559563646
8YS_H0_N100_P2_HASHPROP_seed005_alloc,P2_HASHPROP,H0,100,5,1,116.12383003027524
8YS_H0_N100_P2_HASHPROP_seed005_alloc,P2_HASHPROP,H0,100,5,2,1724.389105897098
8YS_H0_N100_P2_HASHPROP_seed005_alloc,P2_HASHPROP,H0,100,5,3,383.7746575131796
8YS_H0_N100_P2_HASHPROP_seed005_alloc,P2_HASHPROP,H0,100,5,4,124.50904325438842
8YS_H0_N100_P2_HASHPROP_seed005_alloc,P2_HASHPROP,H0,100,5,5,449.56701607757805
8YS_H0_N100_P2_HASHPROP_seed005_alloc,P2_HASHPROP,H0,100,5,6,29.057036733332552
8YS_H0_N100_P2_HASHPROP_seed005_alloc,P2_HASHPROP,H0,100,5,7,161.2192068556069
8YS_H0_N100_P2_HASHPROP_seed005_alloc,P2_HASHPROP,H0,100,5,8,1278.276062602697
8YS_H0_N100_P2_HASHPROP_seed005_alloc,P2_HASHPROP,H0,100,5,9,811.3975559954506
8YS_H0_N100_P2_HASHPROP_seed005_alloc,P2_HASHPROP,H0,100,5,10,311.4878900789199
8YS_H0_N100_P2_HASHPROP_seed005_alloc,P2_HASHPROP,H0,100,5,11,511.0457369166843
8YS_H0_N100_P2_HASHPROP_seed005_alloc,P2_HASHPROP,H0,100,5,12,621.0439761541265
8YS_H0_N100_P2_HASHPROP_seed005_alloc,P2_HASHPROP,H0,100,5,13,1952.0542445561387
8YS_H0_N100_P2_HASHPROP_seed005_alloc,P2_HASHPROP,H0,100,5,14,235.19381913474535
8YS_H0_N100_P2_HASHPROP_seed005_alloc,P2_HASHPROP,H0,100,5,15,477.5679994497368
8YS_H0_N100_P2_HASHPROP_seed005_alloc,P2_HASHPROP,H0,100,5,16,776.6783559563646
8YS_H0_N100_P1_EQUAL_seed006_alloc,P1_EQUAL,H0,100,6,1,505.4334241188391
8YS_H0_N100_P1_EQUAL_seed006_alloc,P1_EQUAL,H0,100,6,2,764.6788434055077
8YS_H0_N100_P1_EQUAL_seed006_alloc,P1_EQUAL,H0,100,6,3,24.880521675850332
8YS_H0_N100_P1_EQUAL_seed006_alloc,P1_EQUAL,H0,100,6,4,53.5629168788696
8YS_H0_N100_P1_EQUAL_seed006_alloc,P1_EQUAL,H0,100,6,5,380.61694498688394
8YS_H0_N100_P1_EQUAL_seed006_alloc,P1_EQUAL,H0,100,6,6,1039.2189220174089
8YS_H0_N100_P1_EQUAL_seed006_alloc,P1_EQUAL,H0,100,6,7,353.2541119772932
8YS_H0_N100_P1_EQUAL_seed006_alloc,P1_EQUAL,H0,100,6,8,361.2204089486304
