composition,N,protocol,runs,F_active,F_low,F_standby,F_waking,F_parked_minertime,F_parked_power_weighted,mean_h_active_fraction,mean_p_drawn_fraction,min_h_active_fraction,wake_events_mean,reserve_activations_mean,mean_low_episode_s,max_low_episode_s,miners_entering_low_mean,miners_entering_standby_mean,state_time_conservation_error_max_s
H4,100,P3_ENERGY,30,0.4690234202114274,0.0009765797885725133,0.5299999999999999,0.0,0.5309765797885726,0.5184604095378507,0.6002385985820645,0.48153959046214934,0.0,0.0,0.0,1.8179451001392455,7.80042633694211,47.0,0.0,1.8189894035458565e-12
H4,100,P4_RESERVE,30,0.5353490507012576,0.22954517278724268,0.23204412566235533,0.0030616508491443303,0.461589298449598,0.4590905392644546,0.5630839513633216,0.5409094607355451,0.0,308.53333333333336,308.53333333333336,424.0680133826189,913.9430667690996,100.0,53.0,1.8189894035458565e-12
H4,100,POW,30,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H4,300,P0_ALL,30,0.9977001154721225,0.002299884527877503,0.0,0.0,0.002299884527877503,0.002300013851332093,0.997699174265729,0.9976999861486676,0.0,0.0,0.0,2.4616065989611533,8.493192230502245,300.0,0.0,1.8189894035458565e-12
H4,300,P3_ENERGY,30,0.46885212493544254,0.00114787506455726,0.5299999999999999,0.0,0.5311478750645573,0.5186363546458651,0.600019055592725,0.48136364535413473,0.0,0.0,0.0,2.191845760376365,7.211573871277778,141.0,0.0,1.8189894035458565e-12
H4,300,P4_RESERVE,30,0.5394850472375597,0.22518313116280528,0.23232828318615045,0.003003538413484504,0.45751141434895587,0.454996076463111,0.5673967371825289,0.5450039235368889,0.0,909.6666666666666,909.6666666666666,402.2311698522708,914.519200554604,300.0,159.0,1.8189894035458565e-12
H4,300,POW,30,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H4,500,P0_ALL,30,0.9974597317832001,0.0025402682168000302,0.0,0.0,0.0025402682168000302,0.002540296128123863,0.9974595629082088,0.9974597038718754,0.0,0.0,0.0,2.7550648055402447,10.006671899239336,500.0,0.0,1.8189894035458565e-12
H4,500,P3_ENERGY,30,0.468697195198084,0.0013028048019160464,0.5299999999999999,0.0,0.531302804801916,0.5191129171268742,0.5985070141965737,0.480887082873126,0.0,0.0,0.0,2.4040797294052374,7.2221716142985315,235.0,0.0,1.8189894035458565e-12
H4,500,P4_RESERVE,30,0.5357504075194053,0.23685854738386017,0.22434289197288865,0.003048153123845857,0.46120143935674884,0.45903083050575494,0.5602105576393701,0.5409691694942448,0.0,1533.1,1533.1,406.889098560452,914.2782208865956,500.0,265.0,1.8189894035458565e-12
H4,500,POW,30,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
