tag,arm,N,seed,round,duration_s,block,round_C_nonce,round_U_nonce,round_R_nonce,round_rho_nonce,round_M_ge2,round_M_ge3,round_m_max,round_mean_mult_reused,round_O_mean,round_O_median,round_O_p95,round_O_max,round_C_exact,round_U_exact,round_R_exact,round_rho_exact,subsweep_C_nonce,subsweep_U_nonce,subsweep_R_nonce,subsweep_rho_nonce,subsweep_M_ge2,subsweep_M_ge3,subsweep_m_max,subsweep_mean_mult_reused,subsweep_O_mean,subsweep_O_median,subsweep_O_p95,subsweep_O_max,subsweep_C_exact,subsweep_U_exact,subsweep_R_exact,subsweep_rho_exact
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,8,346.72557736181756,1,8113378510266530900,4294967296,8113378505971563604,0.9999999994706315,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,8113378510266530900,8113378510266530900,0,0.0,2147483600,1652029825,495453775,0.2307136478248309,401537040,82153029,4,2.23389307995098,121441.25575757575,0.0,0.0,21464398,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,9,598.4384648108733,1,14003460076574433300,4294967296,14003460072279466004,0.9999999996932925,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,14003460076574433300,14003460076574433300,0,0.0,2147483600,1652029825,495453775,0.2307136478248309,401537040,82153029,4,2.23389307995098,121441.25575757575,0.0,0.0,21464398,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,10,243.32232128348878,1,5693742318033637400,4294967296,5693742313738670104,0.9999999992456688,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,5693742318033637400,5693742318033637400,0,0.0,2147483600,1652029825,495453775,0.2307136478248309,401537040,82153029,4,2.23389307995098,121441.25575757575,0.0,0.0,21464398,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,11,1731.5372893975264,1,40517972571902115900,4294967296,40517972567607148604,0.9999999998939985,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,40517972571902115900,40517972571902115900,0,0.0,2147483600,1652029825,495453775,0.2307136478248309,401537040,82153029,4,2.23389307995098,121441.25575757575,0.0,0.0,21464398,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,12,1328.9602227239482,1,31097669211740389400,4294967296,31097669207445422104,0.9999999998618878,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,31097669211740389400,31097669211740389400,0,0.0,2147483600,1652029825,495453775,0.2307136478248309,401537040,82153029,4,2.23389307995098,121441.25575757575,0.0,0.0,21464398,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,13,398.224404204941,1,9318451058395619400,4294967296,9318451054100652104,0.99999999953909,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,9318451058395619400,9318451058395619400,0,0.0,2147483600,1652029825,495453775,0.2307136478248309,401537040,82153029,4,2.23389307995098,121441.25575757575,0.0,0.0,21464398,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,14,507.0316873473487,1,11864541483927959600,4294967296,11864541479632992304,0.9999999996379997,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,11864541483927959600,11864541483927959600,0,0.0,2147483600,1652029825,495453775,0.2307136478248309,401537040,82153029,4,2.23389307995098,121441.25575757575,0.0,0.0,21464398,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,15,227.99491550336975,1,5335081022778852400,4294967296,5335081018483885104,0.9999999991949574,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,5335081022778852400,5335081022778852400,0,0.0,2147483600,1652029825,495453775,0.2307136478248309,401537040,82153029,4,2.23389307995098,121441.25575757575,0.0,0.0,21464398,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,16,252.22875732632667,1,5902152921436044300,4294967296,5902152917141077004,0.999999999272305,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,5902152921436044300,5902152921436044300,0,0.0,2147483600,1652029825,495453775,0.2307136478248309,401537040,82153029,4,2.23389307995098,121441.25575757575,0.0,0.0,21464398,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-OFFSET,100,7068745346940014165,17,408.06700788995903,1,9548767984625041500,4294967296,9548767980330074204,0.9999999995502071,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,9548767984625041500,9548767984625041500,0,0.0,2147483600,1652029825,495453775,0.2307136478248309,401537040,82153029,4,2.23389307995098,121441.25575757575,0.0,0.0,21464398,2147483600,2147483600,0,0.0
