tag,arm,N,seed,alpha_case,alpha,energy_J,energy_kWh,baseline_conv_offset_J,saving_vs_conv_offset
pilot,XNR-PC,300,1676186997283559608,LP50,0.5,10529999872.511257,2924.9999645864605,10530000000.0,1.2107193025912011e-08
pilot,XNR-PW-CONV-ZERO,500,7068745346940014165,LP0,0.0,17550000000.0,4875.0,,
pilot,XNR-PW-CONV-ZERO,500,7068745346940014165,LP10,0.1,17550000000.0,4875.0,,
pilot,XNR-PW-CONV-ZERO,500,7068745346940014165,LP25,0.25,17550000000.0,4875.0,,
pilot,XNR-PW-CONV-ZERO,500,7068745346940014165,LP50,0.5,17550000000.0,4875.0,,
pilot,XNR-PW-CONV-OFFSET,500,7068745346940014165,LP0,0.0,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-CONV-OFFSET,500,7068745346940014165,LP10,0.1,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-CONV-OFFSET,500,7068745346940014165,LP25,0.25,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-CONV-OFFSET,500,7068745346940014165,LP50,0.5,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-MT-ZERO,500,7068745346940014165,LP0,0.0,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-MT-ZERO,500,7068745346940014165,LP10,0.1,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-MT-ZERO,500,7068745346940014165,LP25,0.25,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-MT-ZERO,500,7068745346940014165,LP50,0.5,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-MT-OFFSET,500,7068745346940014165,LP0,0.0,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-MT-OFFSET,500,7068745346940014165,LP10,0.1,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-MT-OFFSET,500,7068745346940014165,LP25,0.25,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-MT-OFFSET,500,7068745346940014165,LP50,0.5,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PC,500,7068745346940014165,LP0,0.0,17549999166.41977,4874.999768449936,17550000000.0,4.7497449084943355e-08
pilot,XNR-PC,500,7068745346940014165,LP10,0.1,17549999249.777794,4874.999791604942,17550000000.0,4.2747704043222257e-08
pilot,XNR-PC,500,7068745346940014165,LP25,0.25,17549999374.814827,4874.999826337452,17550000000.0,3.5623086813707516e-08
pilot,XNR-PC,500,7068745346940014165,LP50,0.5,17549999583.209885,4874.999884224968,17550000000.0,2.3748724542471678e-08
pilot,XNR-PW-CONV-ZERO,500,1676186997283559608,LP0,0.0,17550000000.0,4875.0,,
pilot,XNR-PW-CONV-ZERO,500,1676186997283559608,LP10,0.1,17550000000.0,4875.0,,
pilot,XNR-PW-CONV-ZERO,500,1676186997283559608,LP25,0.25,17550000000.0,4875.0,,
pilot,XNR-PW-CONV-ZERO,500,1676186997283559608,LP50,0.5,17550000000.0,4875.0,,
pilot,XNR-PW-CONV-OFFSET,500,1676186997283559608,LP0,0.0,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-CONV-OFFSET,500,1676186997283559608,LP10,0.1,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-CONV-OFFSET,500,1676186997283559608,LP25,0.25,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-CONV-OFFSET,500,1676186997283559608,LP50,0.5,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-MT-ZERO,500,1676186997283559608,LP0,0.0,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-MT-ZERO,500,1676186997283559608,LP10,0.1,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-MT-ZERO,500,1676186997283559608,LP25,0.25,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-MT-ZERO,500,1676186997283559608,LP50,0.5,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-MT-OFFSET,500,1676186997283559608,LP0,0.0,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-MT-OFFSET,500,1676186997283559608,LP10,0.1,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-MT-OFFSET,500,1676186997283559608,LP25,0.25,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PW-MT-OFFSET,500,1676186997283559608,LP50,0.5,17550000000.0,4875.0,17550000000.0,0.0
pilot,XNR-PC,500,1676186997283559608,LP0,0.0,17549999166.41977,4874.999768449936,17550000000.0,4.7497449084943355e-08
pilot,XNR-PC,500,1676186997283559608,LP10,0.1,17549999249.777794,4874.999791604942,17550000000.0,4.2747704043222257e-08
pilot,XNR-PC,500,1676186997283559608,LP25,0.25,17549999374.814827,4874.999826337452,17550000000.0,3.5623086813707516e-08
pilot,XNR-PC,500,1676186997283559608,LP50,0.5,17549999583.209885,4874.999884224968,17550000000.0,2.3748724542471678e-08
