tag,arm,N,seed,rounds,accepted_blocks,stale_blocks,mean_interval_s,median_interval_s,p95_interval_s,C_total_evaluations,t_active_miner_s,t_low_miner_s,f_low_time,template_epochs_completed,nonce_domain_exhaustions,nonce_resets,state_time_conservation_rel,work_identity_rel,run_C_nonce,run_U_nonce,run_R_nonce,run_rho_nonce,run_M_ge2,run_M_ge3,run_m_max,run_mean_mult_reused,run_O_mean,run_O_median,run_O_p95,run_O_max,run_C_exact,run_U_exact,run_R_exact,run_rho_exact,epoch_C_nonce,epoch_U_nonce,epoch_rho_nonce,epoch_C_exact,epoch_U_exact,epoch_rho_exact,epoch_M_ge2,epoch_M_ge3,epoch_m_max,epoch_mean_mult_reused,epoch_R_nonce,epoch_R_exact,epoch_O_mean,epoch_O_median,epoch_O_p95,epoch_O_max,mean_round_rho_nonce,mean_round_rho_exact,mean_round_U_nonce,mean_round_M_ge2,mean_round_M_ge3,mean_round_m_max,mean_round_mean_mult_reused,mean_round_O_mean,mean_round_O_median,mean_round_O_p95,mean_round_O_max,mean_subsweep_rho_nonce,mean_subsweep_rho_exact,mean_subsweep_M_ge2,mean_subsweep_M_ge3,mean_subsweep_m_max,mean_subsweep_mean_mult_reused,mean_subsweep_O_mean,mean_subsweep_O_median,mean_subsweep_O_p95,mean_subsweep_O_max,mean_subsweep_U_nonce,mean_subsweep_C_nonce
primary,XNR-PW-CONV-ZERO,100,8770642015975544875,17,16,0,619.6665721344755,588.1624636441288,1554.4978415623966,234000000000000000000,1000000.0,0.0,0.0,54482369700,54482369700,54482371400,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,234000000000000000000,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.999999998543193,0.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.9900000000000001,0.0,21474836.0,21474836.0,100.0,100.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,2147483600.0
primary,XNR-PW-CONV-OFFSET,100,8770642015975544875,17,16,0,619.6665721344755,588.1624636441288,1554.4978415623966,234000000000000000000,1000000.0,0.0,0.0,54482369700,54482369700,0,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,234000000000000000000,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.999999998543193,0.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.22555341470360937,0.0,427068323.0,56837411.0,4.0,2.1341797855609164,109523.7818181818,0.0,0.0,21302197.0,1663111341.0,2147483600.0
primary,XNR-PW-MT-ZERO,100,8770642015975544875,1,0,0,,,,234000000000000000000,1000000.0,0.0,0.0,544823706,54482370600,54482370700,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,2340000000000000000,231660000000000000000,0.99,429496729600,4294967296,0.99,429496729600,4294967296,0.99,4294967296,4294967296,100,100.0,425201762304,425201762304,4294967296.0,4294967296.0,4294967296.0,4294967296,0.9999999999816455,0.99,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.99,0.99,21474836.0,21474836.0,100.0,100.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,2147483600.0
primary,XNR-PW-MT-OFFSET,100,8770642015975544875,1,0,0,,,,234000000000000000000,1000000.0,0.0,0.0,544823706,54482370600,0,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,429496729600,4294967296,0.99,429496729600,4294967296,0.99,4294967296,4294967296,100,100.0,425201762304,425201762304,4294967296.0,4294967296.0,4294967296.0,4294967296,0.9999999999816455,0.9899999999843996,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.22555341470360937,0.22555341470360937,427068323.0,56837411.0,4.0,2.134179785560916,109523.78181818181,0.0,0.0,21302197.0,1663111341.0,2147483600.0
primary,XNR-PC,100,8770642015975544875,17,16,0,619.6665727517471,588.1624641646996,1554.4978430528288,233999999782070517788,999999.9990686774,0.0009313225735555555,9.313225735555555e-10,54482370553,5448237055300,5448237055300,0.0,0.0,233999999782070517788,4294967296,233999999777775550492,0.9999999999816455,0,0,1,0.0,0.0,0.0,0.0,0,233999999782070517788,233999999782070517788,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.999999998543193,0.0,4294967296.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2147483600.0,2147483600.0
primary,XNR-PW-CONV-ZERO,100,9576473659758073777,17,16,0,560.8731758753132,321.0903498747434,902.2143200380707,234000000000000000000,1000000.0,0.0,0.0,54482369700,54482369700,54482371400,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,234000000000000000000,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.9999999955125868,0.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.9900000000000001,0.0,21474836.0,21474836.0,100.0,100.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,2147483600.0
primary,XNR-PW-CONV-OFFSET,100,9576473659758073777,17,16,0,560.8731758753132,321.0903498747434,902.2143200380707,234000000000000000000,1000000.0,0.0,0.0,54482369700,54482369700,0,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,234000000000000000000,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.9999999955125868,0.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.218961944109841,0.0,388900788.0,80631020.0,4.0,2.209092906234996,111559.38505050502,0.0,0.0,21311010.0,1677266416.0,2147483600.0
primary,XNR-PW-MT-ZERO,100,9576473659758073777,1,0,0,,,,234000000000000000000,1000000.0,0.0,0.0,544823706,54482370600,54482370700,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,2340000000000000000,231660000000000000000,0.99,429496729600,4294967296,0.99,429496729600,4294967296,0.99,4294967296,4294967296,100,100.0,425201762304,425201762304,4294967296.0,4294967296.0,4294967296.0,4294967296,0.9999999999816455,0.99,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.99,0.99,21474836.0,21474836.0,100.0,100.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,2147483600.0
primary,XNR-PW-MT-OFFSET,100,9576473659758073777,1,0,0,,,,234000000000000000000,1000000.0,0.0,0.0,544823706,54482370600,0,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,429496729600,4294967296,0.99,429496729600,4294967296,0.99,4294967296,4294967296,100,100.0,425201762304,425201762304,4294967296.0,4294967296.0,4294967296.0,4294967296,0.9999999999816455,0.9899999999843996,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.21896194410984093,0.21896194410984093,388900788.0,80631020.0,4.0,2.209092906234996,111559.38505050505,0.0,0.0,21311010.0,1677266416.0,2147483600.0
primary,XNR-PC,100,9576473659758073777,17,16,0,560.8731764119202,321.09035020395663,902.2143208204593,233999999782070517780,999999.9990686774,0.0009313225735897436,9.313225735897435e-10,54482370555,5448237055500,5448237055500,0.0,0.0,233999999782070517780,4294967296,233999999777775550484,0.9999999999816455,0,0,1,0.0,0.0,0.0,0.0,0,233999999782070517780,233999999782070517780,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.999999995512587,0.0,4294967296.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2147483600.0,2147483600.0
