tag,arm,N,seed,round,duration_s,block,round_C_nonce,round_U_nonce,round_R_nonce,round_rho_nonce,round_M_ge2,round_M_ge3,round_m_max,round_mean_mult_reused,round_O_mean,round_O_median,round_O_p95,round_O_max,round_C_exact,round_U_exact,round_R_exact,round_rho_exact,subsweep_C_nonce,subsweep_U_nonce,subsweep_R_nonce,subsweep_rho_nonce,subsweep_M_ge2,subsweep_M_ge3,subsweep_m_max,subsweep_mean_mult_reused,subsweep_O_mean,subsweep_O_median,subsweep_O_p95,subsweep_O_max,subsweep_C_exact,subsweep_U_exact,subsweep_R_exact,subsweep_rho_exact
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,1,697.2551645749901,1,16315770851054768200,4294967296,16315770846759800904,0.9999999997367598,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,16315770851054768200,16315770851054768200,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,2,700.6242268017342,1,16394606907160580100,4294967296,16394606902865612804,0.9999999997380256,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,16394606907160580100,16394606907160580100,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,3,405.4671736538048,1,9487931863499032600,4294967296,9487931859204065304,0.9999999995473231,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,9487931863499032600,9487931863499032600,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,4,744.7268234144852,1,17426607667898955800,4294967296,17426607663603988504,0.9999999997535397,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,17426607667898955800,17426607667898955800,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,5,495.51063367640836,1,11594948828027955300,4294967296,11594948823732988004,0.9999999996295829,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,11594948828027955300,11594948828027955300,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,6,121.70780312339247,1,2847962593087383600,4294967296,2847962588792416304,0.9999999984919158,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,2847962593087383600,2847962593087383600,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,7,1174.7699546849776,1,27489616939628478500,4294967296,27489616935333511204,0.9999999998437604,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,27489616939628478500,27489616939628478500,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,8,1957.0597790301767,1,45795198829306134600,4294967296,45795198825011167304,0.9999999999062136,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,45795198829306134600,45795198829306134600,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,9,983.6328139935204,1,23017007847448375300,4294967296,23017007843153408004,0.9999999998134003,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,23017007847448375300,23017007847448375300,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,10,159.78072906698543,1,3738869060167458900,4294967296,3738869055872491604,0.9999999988512657,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,3738869060167458900,3738869060167458900,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,11,645.3034213225689,1,15100100058948112400,4294967296,15100100054653145104,0.999999999715567,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,15100100058948112400,15100100058948112400,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,12,26.98873328395039,1,631536358844439100,4294967296,631536354549471804,0.9999999931991765,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,631536358844439100,631536358844439100,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,13,0.45812069396691024,1,10720024238825700,4294967296,10720019943858404,0.9999995993509716,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,10720024238825700,10720024238825700,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
