tag,arm,N,seed,template_epochs_completed,nonce_domain_exhaustions,nonce_resets
primary,XNR-PW-MT-ZERO,200,4171531546602603804,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,4171531546602603804,544823706,108964741200,0
primary,XNR-PC,200,4171531546602603804,108964738581,21792947716200,21792947716200
primary,XNR-PW-CONV-ZERO,200,6773169848162830496,108964739400,108964739400,108964742600
primary,XNR-PW-CONV-OFFSET,200,6773169848162830496,108964739400,108964739400,0
primary,XNR-PW-MT-ZERO,200,6773169848162830496,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,6773169848162830496,544823706,108964741200,0
primary,XNR-PC,200,6773169848162830496,108964738584,21792947716800,21792947716800
primary,XNR-PW-CONV-ZERO,200,13259265031399199819,108964739000,108964739000,108964743200
primary,XNR-PW-CONV-OFFSET,200,13259265031399199819,108964739000,108964739000,0
primary,XNR-PW-MT-ZERO,200,13259265031399199819,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,13259265031399199819,544823706,108964741200,0
primary,XNR-PC,200,13259265031399199819,108964738583,21792947716600,21792947716600
primary,XNR-PW-CONV-ZERO,200,7383040523285475032,108964739000,108964739000,108964743600
primary,XNR-PW-CONV-OFFSET,200,7383040523285475032,108964739000,108964739000,0
primary,XNR-PW-MT-ZERO,200,7383040523285475032,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,7383040523285475032,544823706,108964741200,0
primary,XNR-PC,200,7383040523285475032,108964738582,21792947716400,21792947716400
primary,XNR-PW-CONV-ZERO,200,8469065342115915783,108964739000,108964739000,108964743400
primary,XNR-PW-CONV-OFFSET,200,8469065342115915783,108964739000,108964739000,0
primary,XNR-PW-MT-ZERO,200,8469065342115915783,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,8469065342115915783,544823706,108964741200,0
primary,XNR-PC,200,8469065342115915783,108964738583,21792947716600,21792947716600
primary,XNR-PW-CONV-ZERO,200,11167473384098259577,108964739600,108964739600,108964742800
primary,XNR-PW-CONV-OFFSET,200,11167473384098259577,108964739600,108964739600,0
primary,XNR-PW-MT-ZERO,200,11167473384098259577,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,11167473384098259577,544823706,108964741200,0
primary,XNR-PC,200,11167473384098259577,108964738583,21792947716600,21792947716600
primary,XNR-PW-CONV-ZERO,200,3927382471087979842,108964740000,108964740000,108964742200
primary,XNR-PW-CONV-OFFSET,200,3927382471087979842,108964740000,108964740000,0
primary,XNR-PW-MT-ZERO,200,3927382471087979842,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,3927382471087979842,544823706,108964741200,0
primary,XNR-PC,200,3927382471087979842,108964738587,21792947717400,21792947717400
primary,XNR-PW-CONV-ZERO,200,12250540210932396121,108964739600,108964739600,108964742800
primary,XNR-PW-CONV-OFFSET,200,12250540210932396121,108964739600,108964739600,0
primary,XNR-PW-MT-ZERO,200,12250540210932396121,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,12250540210932396121,544823706,108964741200,0
primary,XNR-PC,200,12250540210932396121,108964738583,21792947716600,21792947716600
primary,XNR-PW-CONV-ZERO,200,12687317089305426264,108964739800,108964739800,108964743600
primary,XNR-PW-CONV-OFFSET,200,12687317089305426264,108964739800,108964739800,0
primary,XNR-PW-MT-ZERO,200,12687317089305426264,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,12687317089305426264,544823706,108964741200,0
primary,XNR-PC,200,12687317089305426264,108964738584,21792947716800,21792947716800
primary,XNR-PW-CONV-ZERO,200,3068354826123602611,108964739200,108964739200,108964743400
primary,XNR-PW-CONV-OFFSET,200,3068354826123602611,108964739200,108964739200,0
primary,XNR-PW-MT-ZERO,200,3068354826123602611,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,3068354826123602611,544823706,108964741200,0
primary,XNR-PC,200,3068354826123602611,108964738581,21792947716200,21792947716200
primary,XNR-PW-CONV-ZERO,200,6452565723836495873,108964740000,108964740000,108964742200
