tag,arm,N,seed,scope,C_exact,U_exact,R_exact,rho_exact
primary,XNR-PW-CONV-ZERO,100,4701815876319261908,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,4701815876319261908,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,4701815876319261908,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,4701815876319261908,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,4701815876319261908,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,4701815876319261908,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,4701815876319261908,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,4701815876319261908,NR-global-run,233999999782070517776,233999999782070517776,0,0.0
primary,XNR-PC,100,4701815876319261908,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,7822082833909267661,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,7822082833909267661,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,7822082833909267661,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,7822082833909267661,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,7822082833909267661,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,7822082833909267661,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,7822082833909267661,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,7822082833909267661,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,7822082833909267661,NR-global-run,233999999782070517788,233999999782070517788,0,0.0
primary,XNR-PC,100,7822082833909267661,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,12102592183121031244,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,12102592183121031244,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,12102592183121031244,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,12102592183121031244,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,12102592183121031244,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,12102592183121031244,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,12102592183121031244,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,12102592183121031244,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,12102592183121031244,NR-global-run,233999999782070517792,233999999782070517792,0,0.0
primary,XNR-PC,100,12102592183121031244,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,4849566379269777204,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,4849566379269777204,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,4849566379269777204,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,4849566379269777204,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,4849566379269777204,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,4849566379269777204,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,4849566379269777204,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,4849566379269777204,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,4849566379269777204,NR-global-run,233999999782070517776,233999999782070517776,0,0.0
primary,XNR-PC,100,4849566379269777204,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,4171531546602603804,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,4171531546602603804,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,4171531546602603804,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,4171531546602603804,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,4171531546602603804,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,4171531546602603804,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,4171531546602603804,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,4171531546602603804,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,4171531546602603804,NR-global-run,233999999782070517780,233999999782070517780,0,0.0
primary,XNR-PC,100,4171531546602603804,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,6773169848162830496,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,6773169848162830496,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,6773169848162830496,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,6773169848162830496,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,6773169848162830496,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,6773169848162830496,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,6773169848162830496,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,6773169848162830496,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,6773169848162830496,NR-global-run,233999999782070517780,233999999782070517780,0,0.0
primary,XNR-PC,100,6773169848162830496,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,13259265031399199819,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,13259265031399199819,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,13259265031399199819,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,13259265031399199819,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,13259265031399199819,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,13259265031399199819,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,13259265031399199819,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,13259265031399199819,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,13259265031399199819,NR-global-run,233999999782070517784,233999999782070517784,0,0.0
primary,XNR-PC,100,13259265031399199819,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,7383040523285475032,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,7383040523285475032,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,7383040523285475032,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,7383040523285475032,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,7383040523285475032,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
