tag,arm,N,seed,scope,C_nonce,U_nonce,R_nonce,rho_nonce,M_ge2,m_max,O_mean,O_median,O_max
primary,XNR-PW-CONV-ZERO,100,4701815876319261908,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-ZERO,100,4701815876319261908,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-OFFSET,100,4701815876319261908,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-OFFSET,100,4701815876319261908,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-MT-ZERO,100,4701815876319261908,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-ZERO,100,4701815876319261908,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,4701815876319261908,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,4701815876319261908,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PC,100,4701815876319261908,NR-global-run,233999999782070517776,4294967296,233999999777775550480,0.9999999999816455,0,1,0.0,0.0,0
primary,XNR-PC,100,4701815876319261908,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-ZERO,100,7822082833909267661,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-ZERO,100,7822082833909267661,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-OFFSET,100,7822082833909267661,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-OFFSET,100,7822082833909267661,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-MT-ZERO,100,7822082833909267661,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-ZERO,100,7822082833909267661,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,7822082833909267661,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,7822082833909267661,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PC,100,7822082833909267661,NR-global-run,233999999782070517788,4294967296,233999999777775550492,0.9999999999816455,0,1,0.0,0.0,0
primary,XNR-PC,100,7822082833909267661,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-ZERO,100,12102592183121031244,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-ZERO,100,12102592183121031244,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-OFFSET,100,12102592183121031244,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-OFFSET,100,12102592183121031244,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-MT-ZERO,100,12102592183121031244,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-ZERO,100,12102592183121031244,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,12102592183121031244,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,12102592183121031244,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PC,100,12102592183121031244,NR-global-run,233999999782070517792,4294967296,233999999777775550496,0.9999999999816455,0,1,0.0,0.0,0
primary,XNR-PC,100,12102592183121031244,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-ZERO,100,4849566379269777204,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-ZERO,100,4849566379269777204,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-CONV-OFFSET,100,4849566379269777204,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-CONV-OFFSET,100,4849566379269777204,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
primary,XNR-PW-MT-ZERO,100,4849566379269777204,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-ZERO,100,4849566379269777204,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,4849566379269777204,NR-global-run,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PW-MT-OFFSET,100,4849566379269777204,NR-template-epoch,429496729600,4294967296,425201762304,0.99,4294967296,100,4294967296.0,4294967296.0,4294967296
primary,XNR-PC,100,4849566379269777204,NR-global-run,233999999782070517776,4294967296,233999999777775550480,0.9999999999816455,0,1,0.0,0.0,0
primary,XNR-PC,100,4849566379269777204,NR-template-epoch,4294967296,4294967296,0,0.0,0,1,0.0,0.0,0
